,Instrument,Business Description
0,POOL.OQ,"Pool Corporation is a distributor of swimming pool supplies, equipment and related leisure products. The Company is a distributor of irrigation and landscape products in the United States. The Company operates sales centers in North America, Europe and Australia through its distribution networks, which includes SCP Distributors (SCP), Superior Pool Products (Superior), Horizon Distributors (Horizon), and National Pool Tile (NPT). The Company's NPT network primarily serves the swimming pool market but does provide some overlap with the irrigation and landscape industries as it offers its brand of pool tile, composite pool finish products and hardscapes. It also offers virtual tools for homeowners to select and design their pool and outdoor environments, working with their chosen contractors to install these products."
1,CHRW.OQ,"C.H. Robinson Worldwide, Inc. a is provider of transportation services and logistics solutions operating through a network of offices located in North America, Europe, Asia, Oceania, and South America. The Company operates through three segments: North American Surface Transportation (NAST), Global Forwarding, and All Other and Corporate. NAST segment provides freight transportation services across North America through a network of offices in the United States, Canada, and Mexico. Global Forwarding segment provides ocean freight services, air freight services and customs brokerage. All Other and Corporate segment includes its Robinson Fresh and Managed Services segments, as well as Other Surface Transportation outside of North America. Robinson Fresh provides sourcing services, including the buying, selling, marketing of fresh fruits, vegetables, and other perishable items. Managed Services provides transportation management services, or managed TMS."
2,AJG.N,"Arthur J. Gallagher & Co. and its subsidiaries are engaged in providing insurance brokerage and consulting services, and third-party claims settlement and administration services to both domestic and international entities. The Company operates through three segments: brokerage, risk management and corporate. The brokerage segment primarily consists of retail and wholesale insurance brokerage operations. The brokerage segment operations provide brokerage and consulting services to businesses and organizations of all types, including commercial, not-for-profit and public entities. The risk management segment provides contract claim settlement and administration services for enterprises that choose to self-insure some or all of their property/casualty coverages and for underwriting enterprises that choose to outsource some, or all of their property/casualty claims departments. It also provides claims management, loss control consulting and insurance property appraisal services."
3,CNP.N,"CenterPoint Energy, Inc is a public utility holding company. The Company, through its subsidiaries, owns and operates electric transmission, distribution and generation facilities and natural gas distribution facilities and provides energy performance contracting and sustainable infrastructure services. The Company provides electric transmission service to transmission service customers in the Electric Reliability Council of Texas (ERCOT) region and distribution service to retail electric providers (REPs) serving the Texas Gulf Coast area that includes the city of Houston. It owns and operates natural gas distribution facilities in states and owns and operates pipeline connections through interconnects with various interstate and intrastate pipeline companies and provide temporary delivery of liquefied natural gas (LNG) and compressed natural gas (CNG) throughout the states."
4,AMCR.N,"Amcor plc is a packaging company. The Company’s segments include Flexibles and Rigid Plastics. The Company offers a range of packaging related products and services, including packaging for beverages, food, healthcare, and personal and home care, tobacco and industrial applications. The Flexibles consists of operations that manufacture flexible and film packaging in the food and beverage, medical and pharmaceutical, fresh produce, snack food, personal care and other industries. The Rigid Plastics consists of operations that manufacture rigid plastic containers for a range of predominantly beverage and food products, including carbonated soft drinks, water, juices, sports drinks, milk-based beverages, spirits and beer, sauces, dressings, spreads and personal care item and plastic caps for a variety of applications."
5,WM.N,"Waste Management, Inc. (WM) is a holding company. The Company provides waste management environmental services in North America, providing services throughout the United States and Canada. Through its subsidiaries, the Company provides collection, transfer, disposal services, and recycling and resource recovery. It also develops, operates and owns landfill gas-to-energy facilities in the United States. The Company’s customers include residential, commercial, industrial, and municipal customers throughout North America. The Company's segments include Solid Waste and Other. The Company's Solid Waste segment includes its solid waste business. The Other segment includes its Strategic Business Solutions (WMSBS) organization; its landfill gas-to-energy operations and third-party subcontract and administration services managed by its Energy and Environmental Services (EES) and WM Renewable Energy businesses."
6,BA.N,"The Boeing Company is an aerospace firm. The Company operates in four segments: Commercial Airplanes (BCA); Defense, Space & Security (BDS); Global Services (BGS), and Boeing Capital (BCC). BCA segment develops, produces and markets commercial jet aircraft and provides fleet support services, principally to the commercial airline industry. BDS segment is engaged in the research, development, production and modification of manned and unmanned military aircraft and weapons systems for strike, surveillance and mobility. BGS segment provides services to commercial and defense customers. BCC's segment portfolio consists of equipment under operating leases, finance leases, notes and other receivables and assets held for sale."
7,FOX.OQ,"Fox Corporation is a news, sports and entertainment company. The Company's segments include Cable Network Programming, Television and Other, Corporate and Eliminations. The Cable Network Programming segment consists of the production and licensing of news and sports content distributed primarily through cable television systems, direct broadcast satellite operators, telecommunication companies and online video distributors, primarily in the United States. The Company’s Television segment consists of the acquisition, marketing and distribution of broadcast network programming nationally under the FOX brand. Its Other, Corporate and Eliminations segment includes FOX Studios lot, which provides television and film production services along with office space, studio operation services."
8,LIN.N,"Linde plc is an industrial gases and engineering company that operates through its subsidiaries. The Company provides atmospheric gases (oxygen, nitrogen, argon and rare gases) and process gases (carbon dioxide, helium, hydrogen, electronic gases, specialty gases and acetylene). It designs, engineers and builds equipment that produces industrial gases primarily for internal use. It also offers gaseous medication and related medical products and devices for patients and medical staff. The Company serves the customers in various industries, including healthcare, petroleum refining, manufacturing, food, beverage carbonation, fiber-optics, steel making, aerospace, chemicals and water treatment."
9,WY.N,"Weyerhaeuser Company is a timber, land and forest products company. The Company owns or controls timberlands, primarily in the United States, and manages additional timberlands under long-term licenses in Canada. The Company's segments include Timberlands; Real Estate, Energy and Natural Resources (Real Estate & ENR), and Wood Products. The Timberlands segment offers logs, timber, recreational leases and other products. The Real Estate & ENR segment includes sales of timberlands; rights to explore for and extract hard minerals, construction materials, oil and natural gas production, wind and solar. The Wood Products segment includes the manufacturing and distribution of wood products. The Wood Products segment manufactures structural lumber, oriented strand board, engineered wood products and building material distribution."
