,Instrument,Business Description
0,PRX.AS,"Prosus NV, formerly Myriad International Holdings NV, is a Netherland-based global consumer Internet group. The Company is organized into six business areas: Classifieds, Payments & Fintech, Food delivery, Etail, Ventures and Travel. It also holds investments in listed Social & Internet assets. The Classifieds business area manages mobile and digital marketplaces. The Payments & Fintech business area includes PayU, a Payment Service Platform. The Food delivery business area manages food delivery companies. The Travel business area operates a travel online platform. The Etail business area includes business to consumer e-commerce companies. The Venture business area looks for and invests in early stage companies."
1,MT.AS,"ArcelorMittal SA is a Luxembourg-based holding company. The Company, via its subsidiaries, owns and operates steel, iron ore manufacturing and coal mining facilities in Europe, North and South America, Asia, and Africa. The Company is organized in five operating segments: NAFTA; Brazil; Europe; Africa and Commonwealth of Independent States (ACIS), and Mining. The NAFTA, Brazil, Europe, and ACIS segments produce flat, long, and tubular products including slabs, hot-rolled coil, cold-rolled coil, coated steel products, among others. The Mining segment provides steel operations and comprises all mines owned by the Company in the Americas, Europe, Africa, and countries of the Commonwealth of Independent States (CIS)."
2,BESI.AS,"BE Semiconductor Industries N.V. (Besi) is a holding company. The Company is engaged in the development, manufacturing, marketing, sales and service of semiconductor assembly equipment for the global semiconductor and electronics industries. It operates through three segments: Die Attach, Packaging and Plating. It develops assembly processes and equipment for leadframe, substrate and wafer level packaging applications in a range of end user markets, including electronics, computer, automotive, industrial and solar energy. The Company offers products, such as Die attach equipment, which include single chip, multi-chip, multi module, flip chip, thermo-compression bonding (TCB) and enhanced wafer level ball grid array (eWLB) die bonding systems, and die sorting systems; Packaging equipment, which include wafer level molding and singulation systems, and Plating equipment, which include metal plating systems and related process chemicals."
3,ASRNL.AS,"ASR Nederland NV is a multiline insurance company based in the Netherlands. The Company operates through six segments: Non-Life, comprising non-life insurances, including motor vehicle, fire, travel and leisure, transport, liability, agricultural, construction motorized vehicles and construction all risk and assistance insurance products, among others; Life, offering insurance policies that involve asset-building, asset protection, term life insurance and funeral expenses for consumers and business owners; Banking and Asset Management, providing banking activities and activities related to asset management, including investment property management; Distribution and Services, including the distribution of insurance contracts and intermediary services; Holding and Other, providing primarily holding activities of the Company, as well as Real Estate Development, specialized in the development of real estate properties. The Company operates in the Netherlands and internationally."
4,ULVR.AS,"Unilever PLC is a fast-moving consumer goods (FMCG) company. The Company's segments include Personal Care, which primarily includes sales of skin care and hair care products, deodorants and oral care products; Foods, which primarily includes sales of soups, bouillons, sauces, snacks, mayonnaise, salad dressings and margarines; Home Care, which primarily includes sales of home care products, such as powders, liquids and capsules, soap bars and a range of cleaning products, and Refreshment, which primarily includes sales of ice cream and tea-based beverages. The Company's geographical segments include Asia/AMET/RUB, The Americas and Europe. Its brands include Axe, Dirt is Good (Omo), Dove, Hellmann's, Knorr, Lipton, Lux, Magnum, Rexona, Sunsilk and Surf. The Company operates in more than 100 countries, selling its products in more than 190 countries. The Company operates approximately 310 factories in over 70 countries."
5,RAND.AS,"Randstad NV, formerly Randstad Holding NV, is a staffing services provider based in the Netherlands. It has three main service concepts: The Staffing concept recruits workers with secondary education through temporary or permanent placement, as well as offers human resources (HR) solutions, including payroll services, outplacement, outsourcing and consultancy, among others; the Inhouse services concept provides on-site workforce solutions for managing employees with specific skills, primarily in the manufacturing and logistics segments, and the Professionals concept covers the recruitment of supervisors, managers, professionals, interim specialists and consultants with professional qualifications, in fields such as engineering, information technology (IT), finance, HR, legal, and marketing and communication. The Company operates in the Netherlands, Germany, the United Kingdom and the United States, among others. It also owns twago, an online freelance marketplace."
6,ASMI.AS,"ASM International N.V. is a supplier of wafer processing equipment, primarily for semiconductor manufacturing industry. The Company designs, manufactures and sells equipment and services to its customers for the production of semiconductor devices, or integrated circuits (ICs). The Company operates in two segments, which include Front-end and Back-end. The Front-end segment manufactures and sells equipment used in wafer processing, encompassing the fabrication steps in which silicon wafers are layered with semiconductor devices. The front-end segment includes manufacturing, service, and sales operations in Europe, the United States, Japan and South East Asia. The Back-end segment manufactures and sells equipment and materials used in assembly and packaging, encompassing the processes in which silicon wafers are separated into individual circuits. The Company supplies equipment to the manufacturers of analog semiconductor devices primarily for the deposition of thin films."
7,ASML.AS,"ASML Holding N.V. is a holding company. The Company is a manufacturer of chip-making equipment. The Company is engaged in the development, production, marketing, selling and servicing of semiconductor equipment systems, consisting of lithography systems. The Company's products include systems, and installed base products and services. The Company's principal operations are in the Netherlands, the United States and Asia. The Company offers TWINSCAN systems, equipped with lithography system with a mercury lamp as light source (i-line), Krypton Fluoride (KrF) and Argon Fluoride (ArF) light sources for 300 millimeter processing wafers for manufacturing environments for which imaging at a small resolution is required. TWINSCAN systems also include immersion lithography systems (TWINSCAN immersion systems). The Company also offers NXE systems, which are equipped with extreme ultraviolet (EUV) light source technology. The Company offers YieldStar, a wafer metrology system."
8,AEGN.AS,"Aegon N.V. (Aegon) is an international life insurance, pensions and asset management company. The Company's segments include the Americas, which includes the United States, Mexico and Brazil; the Netherlands; the United Kingdom; Central & Eastern Europe; Spain & Portugal; Asia, and Aegon Asset Management. It offers protection against mortality, morbidity and longevity risks, including traditional and universal life. It offers products with mortality, morbidity, and longevity risks, including traditional and universal life; mortgages; annuity products, and banking products. It offers individual protection products, such as annuities, term insurance, income protection and international/offshore bonds. It has activities in Hungary, Poland, Romania and Turkey. It offers life insurance marketed to high-net-worth individuals in Hong Kong and Singapore. It also offers investment products covering third-party customers, insurance-linked solutions."
9,RDSa.AS,"The Royal Dutch Shell plc is a company based in the Netherlands that explores for crude oil and natural gas around the world, both in conventional fields and from sources, such as tight rock, shale and coal formations. Its segments include Integrated Gas, Upstream, Downstream and Corporate. The Integrated Gas segment is engaged in the liquefaction and transportation of gas and the conversion of natural gas to liquids to provide fuels and other products, as well as projects with an integrated activity, ranging from producing to commercializing gas. The Upstream segment includes the operations of Upstream, which is engaged in the exploration for and extraction of crude oil, natural gas and natural gas liquids, and the marketing and transportation of oil and gas, and Oil Sands, which is engaged in the extraction of bitumen from mined oil sands and conversion into synthetic crude oil. The Downstream segment is engaged in oil products and chemicals manufacturing, and marketing activities."
