,Instrument,Business Description
0,BAWG.VI,"BAWAG Group AG is an Austria-based bank holding company engaged in providing financial products and services through a multi-channel strategy. It serves retail, small business and corporate customers in Austria. The Company’s product and related service offerings include comprehensive savings, payment, corporate lending, investment, leasing, building society and insurance. Its business activities are divided into five segments: BAWAG P.S.K. Retail, easygroup, DACH Corporates & Public Sector, International Business and Treasury Services & Markets. The main operating subsidiaries of the Company are BAWAG PSK Bank fuer Arbeit und Wirtschaft und Oesterreichische Postsparkasse AG, Easybank AG, Start Bausparkasse AG and Suedwestbank AG."
1,CAIV.VI,"CA Immobilien Anlagen AG is an Austria-based holding company engaged the real estate sector. The Company's core business involves leasing, managing and developing office buildings. The Company aggregates its portfolio properties into reportable business segments by regions into Austria, Germany, Eastern Europe core regions (Hungary, Poland, Romania, the Czech Republic and Serbia) and Eastern Europe other regions (Bulgaria, Croatia, Slovenia, Russia, Ukraine and Slovakia), and within the regions by Income producing properties and Properties under development. The total leasable area of the Company's properties, which in addition to offices include hotels, retail premises and residential buildings, amounts to approximately 1,3 million square meters."
2,RBIV.VI,"Raiffeisen Bank International AG (RBI) is an Austria-based company and a part of the Raiffeisen Banking Group Austria (RBG). It serves commercial customers and financial institutions in Austria and Central and Eastern Europe through its network of subsidiary banks, leasing companies and specialized financial service providers. It operates through five segments: Central Europe, which encompasses Czech Republic, Hungary, Poland, Slovakia and Slovenia; Southeastern Europe, comprising Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Kosovo, Romania and Serbia; Eastern Europe, encompassing Belarus, Russia and Ukraine; Group Corporates & Markets, which covers operations in Austria, including Austrian and international corporate customers, business with the RBG and specialized financial institution subsidiaries, and Corporate Center, which fulfills central control functions in RBI, such as Treasury, and includes other Group units and minority interests."
3,WBSV.VI,"Wienerberger AG is an international building materials company. The Company is the parent company of a building materials group whose business activities are classified into six segments: Clay Building Materials Eastern Europe, Clay Building Materials Western Europe, Pipes & Pavers Eastern Europe, Pipes & Pavers Western Europe, North America and Holding & Others. The Clay Building Materials Europe division covers activities in the areas of clay blocks, facing bricks and roof tiles. The Pipes & Pavers Europe division's product portfolio covers system solutions for building installations, fresh water supply, irrigation, wastewater and rainwater management, drainage, energy supply and data transfer, as well as special products for industrial applications and pavers. The North America division covers activities in the areas of facing bricks, plastic pipes and concrete products. The Holding & Others division covers activities in the areas of clay blocks and others."
4,SBOE.VI,"Schoeller Bleckmann Oilfield Equipment AG is an Austria-based company engaged in the industrial manufacturing of components and parts for the oil and gas industry. The Company’s activities are structured into two divisions: the High-precision components division, which covers applications in the Measurement While Drilling/Logging While Drilling (MWD/LWD) technology sector, collars and internals made of alloyed steel and other non-magnetic metals are required, and the Oilfield supplies and services division, which comprises a range of products, including Non-Magnetic Drill Collars (NMDC), steel bars, which are used to prevent magnetic interference during MWD Operations; Drilling motors, which drive the bit for directional drilling operations; Circulation tools steer the flow direction of drilling muds in the drill string, and various other tools for the oilfield. The Company's manufacturing facilities are located in the United States, Austria and the United Kingdom, among others."
5,UNIQ.VI,"UNIQA Insurance Group AG is an Austria-based holding company that is a provider of insurance products and related services. The Company operates in three business segments: property and casualty insurance, life insurance and health insurance. It is active through such subsidiaries as: Raiffeisen Versicherung AG, UNIQA Austria Versicherungen AG and UNIQA International Versicherungs-Holding AG. The Company’s core markets are: Austria and Central and Eastern Europe (CEE). The Company offers its products and services through a range of sales channels, including brokers, general agencies, banks and direct sales. The Company’s major shareholder is Raiffeisen Zentralbank with a stake of 31.4%."
6,SIAG.VI,"S Immo AG is an Austria-based company engaged in the real estate sector. The Company specializes in the acquisition, letting and sale of properties. Furthermore, It offers real estate project developments, which includes Einsteinova office, Quartier Belvedere Central, and The Mark office project, among others, renovation of existing properties, asset and portfolio management and a range of services, such as facility management and brokerage. The Company's real estate portfolio comprises residential, office, retail and hotel properties. It operates four geographical segments: Austria, Germany, Central Europe (CEE) and Southeastern Europe (SEE). In addition, the Company is a parent of CEE Immobilien GmbH, Hansa Immobilien EOOD, Rega Property Invest sro, Ikaruspark GmbH, SC Societate Dezvoltare Comercial Sudului (SDCS) SRL, Maior Domus Hausverwaltung GmbH, and Eurocenter doo, among others."
7,EVNV.VI,"EVN AG is an energy and environmental services provider. The Company operates in three business areas, including energy business, environmental services business and other business activities. The Company operates in six segments: Generation, which is engaged in electricity generation from thermal sources and renewable energies at Austrian and international locations; Energy Trade and Supply, which is engaged in procurement of electricity and primary energy sources, and trading and sale of electricity and natural gas; Network Infrastructure Austria, which is engaged in the operation of regional electricity and natural gas networks; Energy Supply South East Europe, which is engaged in the operation of electricity networks and electricity sales in Bulgaria and Macedonia; Environmental Services, which is engaged in drinking water supply, wastewater disposal and thermal waste utilization, and Strategic Investments and Other Business, which is engaged in strategic and other investments."
8,ERST.VI,"Erste Group Bank AG is an Austria-based savings bank. The Company offers a range of banking and other financial services, such as savings accounts, asset management (including investment funds), consumer credit and mortgage lending, investment banking, securities and derivatives trading, portfolio management, project finance, foreign trade financing, corporate finance, capital market and money market services, foreign exchange trading, leasing and factoring. The Company operates through nine segments: Retail, SME, Asset/Liability Management & Local Corporate Center (ALM & Local CC), Savings Banks, Large Corporates, Commercial Real Estate, Other Corporate, Group Markets and Group Corporate Center (GCC). The Company operates approximately 2,800 branches. The Company offers services in Austria, Central and Eastern Europe (CEE), Czech Republic, Slovakia, Romania, Hungary, Croatia and Serbia. The Company offers personal, corporates and private banking services."
9,POST.VI,"Oesterreichische Post AG (Austrian Post) is an Austria-based logistics and services company in letter mail and parcel segments. The Company operates, along with its subsidiaries, in three business divisions: the Mail & Branch Network Division focuses on letters, and offers services, including acceptance, sorting and delivery of letters, addressed and unaddressed direct mail items, newspapers and regional media, as well as a range of complementary services relating to letters; the Parcel & Logistics division covers acceptance, sorting and delivery of parcels and express mail items, an offering of specialty logistics, such as combined freight, pharmaceutical and temperature-controlled logistics and value logistics, and the Corporate division involves the management of commercial properties owned by the Company , information technology (IT) support services, financing and administrative activities, as well as the administration of the internal labor market of Austrian Post."
