,Instrument,Business Description
0,ABEV3.SA,"Ambev SA, formerly Inbev Participacoes Societarias SA, is a Brazil-based company engaged in the brewing sector. The Company produces, distributes and sells beer, carbonated soft drinks (CSDs) and other non-alcoholic and non-carbonated (NANC) beverages across the Americas. The Company's activities are divided into three segments: Latin America North, including sell of beer, CSD and NANC drinks in Brazil, as well as operations in the Dominican Republic, Saint Vincent, Antigua, Dominica, Cuba, Guatemala, El Salvador, Honduras, Nicaragua, Barbados and Panama; Latin America South, distributing products in Argentina, Bolivia, Paraguay, Uruguay, Chile; and Canada, represented by Labatt’s operations, which comprises sales in Canada and some exports to the U.S. market. The Company markets products under various brand names, such as Adriatica, Brahma, Leffe, Budweiser, Corona, PepsiCo and Lipton. It is a subsidiary of Interbrew International BV."
1,BBDC4.SA,"Banco Bradesco S.A. is a commercial bank. The Bank offers a range of banking and financial products and services in Brazil and abroad to individuals, large, mid-sized and small companies, and local and international corporations and institutions. Its segments include Financial; Insurance and Capitalization bonds; Pension plans, and Other Activities. The Financial segment consists of financial institutions and holding companies, which are responsible for managing financial resources, and credit card, consortium and asset management companies. The Insurance Group segment comprises insurance, pension plan and capitalization bond companies. It offers banking services, including deposit-taking activities, individual and corporate banking services, credit and debit cards, leasing operations, investment banking, asset management, consortium services and others. Its insurance services include health insurance, life and personal accident insurance, automobile, casualty and pension plans."
2,NTCO3.SA,"Natura & Co Holding SA is a Brazil-based cosmetics manufacturing company. It owns research and development labs and produces its products in proprietary plants and in third party facilities. It operates globally by distributing its products through a network of sellers, owned and franchised stores. The Company’s brand portfolio includes Natura, The Body Shop and Aesop, which represent also the Company’s business segments. The segment Natura, additionally, is divided into three geographical subsegments: Natura Brasil, Natura LATAM and Natura Others covering the rest of the world."
3,TIMS3.SA,"Tim SA is a Brazil-based telecommunications company. It provides mobile and fixed telephony services and access to the Internet via modems, tablets, and mobile phones running on the 3G and 4G technologies to both individual and business customers. The Company, with its solutions, aim to meet its customer needs. The Company is active in Brazil."
4,BPAC11.SA,"Banco BTG Pactual SA is a Brazil-based bank primarily engaged in the investment banking and investment management activities. Together with its subsidiaries, the Bank offers a range of financial services, including investment banking, corporate lending, brokerage and clearing services, asset management, wealth management, commercial and consumer banking services, merchant banking and real estate investments. Through the platform BTG Pactual digital, the Bank facilitates online retail investments. It also provides property and casualty insurance and reinsurance services. The bank has a number of subsidiaries in Brazil and abroad, with present in many Latin American countries, the United States, the United Kingdom, Luxembourg and Hong Kong."
5,ENGI11.SA,"Energisa SA is a Brazil-based holding company involved in the energy sector. Through its subsidiaries, the Company is mainly engaged in the distribution and marketing of electric energy. It distributes energy for residential, industrial, commercial and rural consumption. The Company operates in the states of Rio de Janeiro, Sao Paulo, Parana, Minas Gerais, Sergipe, Paraiba, Mato Grosso, Mato Grosso do Sul, Tocantins, Rondonia and Acre. In addition to entities engaged in the electric energy distribution, the Company's subsidiaries include Energisa Solucoes SA, which provides services related to generation and distribution of electric power; Energisa Servicos Aereos SA, which provides thermographic inspection services; and Energisa Planejamento e Corretagem Seguros Ltda, involved in the insurance brokerage, among others."
6,CRFB3.SA,"Atacadao SA, also known as Grupo Carrefour Brasil, is a Brazil-based company engaged in the food distribution sector. The Company's activities are divided into three business lines: Wholesale, Retail and Financial Solutions. The Wholesale area focuses on self-service stores and delivery establishments, under the Atacadao brand name, for wholesale customers. The Retail segment operates hypermarkets, supermarkets, convenience shops, pharmacies and fuel service stations, as well as e-commerce platform, under the Carrefour brand name. It includes also Property Division, which manages the property portfolio and leasable areas. Financial Solutions division acts on in the insurance market and offers consumer credit solutions through Carrefour and Atacadao credit cards."
7,ENBR3.SA,"EDP Energias do Brasil SA is a Brazil-based company primarily engaged in the electricity distribution. The Company's activities are divided into four business segments: Distribution, Generation, Sales and Others. The Distribution division focuses on supplying electric power to households, as well as commercial and industrial customers in the states of Sao Paulo and Espirito Santo, Brazil. The Generation division produces electricity by operating hydroelectric power plants (HPPs), small hydroelectric power plants (SHPPs) and thermal power plants (TPPs). The Sales division is responsible for the commercialization of electric power. The Others division includes infrastructure construction work, power efficiency projects and advisory services, among others. The Company owns a number of subsidiaries, such as Bandeirante Energia SA, Espirito Santo Centrais Eletricas SA, Energest SA and EDP GRID Gestao de Redes Inteligentes de Distribuicao SA."
8,EMBR3.SA,"Embraer SA is a Brazil-based jets manufacturer. The Company produces aircraft for commercial and executive aviation, as well as for defense and security purposes and related services. Its segments include Commercial aviation business, which involves the development, production and sale of commercial jets, and rendering of support services, particularly in the regional aviation segment and aircraft leases; Executive Jet business, which markets its executive jets to companies, including fractional ownership companies, charter and air-taxi companies, high-net-worth individuals and to flight academies; Defense and Security Business segment, which conceives, designs, develops, manufactures and supports a range of integrated solutions for the defense and security market; and Other Related Businesses segment, which provides fuel systems, structural parts, and mechanical and hydraulic systems to Sikorsky Aircraft Corporation for its production of helicopters."
9,JHSF3.SA,"JHSF Participacoes SA is a Brazil-based holding company engaged in the real estate industry. The Company’s activities are divided into four business segments: Real Estate Development, involved in in the development, construction, purchase and sale, as well as lease of residential and commercial properties; Recurring Income, focused on development, administration and operation of shopping centers; Hospitality and Gastronomy, engaged in the operation of hotels, restaurants and bars; and Executive Airport, involved in the operation of Sao Paulo Catarina Executive Airport. The Company operates through a number of subsidiaries, including JHSF Incorporacoes Ltda, Polonia Incorporacoes Ltda, Boa Vista de Desenvolvimento Imobiliario e Servicos de Concierge Ltda and Aveiro Incorporacoes Ltda, among others."
10,CPLE6.SA,"Companhia Paranaense de Energia, also known as Copel, is a Brazil-based electric utilities company. The Firm’s activities are divided into five segments: Power Generation and Transmission (GeT); Power Distribution and Sales (DiS); Telecommunications (TEL); Gas; and Holding (HOL). The GeT segment includes the generation of electric energy from hydraulic, wind and thermal projects; the transport and transformation of the power generated by the Company; and the construction, operation and maintenance of all power transmission substations and lines. The DiS segment is focused on the distribution and sale of electric energy, and the operation and maintenance of the distribution infrastructure. The TEL segment provides telecommunications services. The Gas segment is involved in the public service of piped natural gas distribution. The HOL segment consists of the participation in other companies. The Company operates in the state of Parana."
11,AMER3.SA,"Americanas SA, formerly known as B2W - Companhia Global do Varejo SA, is a Brazil-based company engaged in the retail sector. The Firm operates through several sales channels: e-commerce, marketplace, catalogs, kiosks and physical stores. The Company offers products from different categories, including food, toys, tools, books, telephones and hardware. The Company provides also additional services, including consumer loans, payment solutions, loyalty program, ticketing, photo processing, as well as technology, logistics and distribution services. It operates through a number of brands, such as Americanas, Shoptime, Submarino, Ingresso.com, Ame and LET’s, among others. The Company is present in all Brazilian states."
12,HAPV3.SA,"Hapvida Participacoes e Investimentos SA (Hapvida) is a Brazil-based holding healthcare company. The Company and its subsidiaries main activities are the coverage of costs of medical, hospital and dental care of its associates, the provision of medical, hospital and dentistry services and examinations and diagnoses per image. Hapvida has different healthcare facilities such as hospitals, clinics or diagnostic imaging units. The Company operates in the Northeast of Brazil, in more than 10 states such as Alagoas, Amazonas, Bahia, Pernambuco, Rio Grande do Norte, Sergipe, among others."
13,BRAP4.SA,"Bradespar SA is a Brazil-based holding company. The Company's main activity is to participate in other companies as a partner or shareholder. Through its affiliate Valepar SA, the Company holds stake in Vale SA, an entity that specializes in the research, manufacture and sell of iron ore and pellets, nickel, fertilizer, copper, coal, manganese, iron alloys, cobalt, platinum group metals and precious metal, among others. Through its subsidiary Antares Holdings Ltda, the Company holds stake in CPFL Energia SA, an entity that focuses on the distribution, generation and commercialization of electric energy in Brazil."
14,GOAU4.SA,"Metalurgica Gerdau SA, formerly Metalurgica Hugo Gerdau SA, is a Brazil-based company engaged in the steel production industry. The Company focuses on manufacturing long steel and flat steel items, principally through the process of fabrication in electrical furnaces from scrap metal and purchased pig iron, as well as by producing steel from iron ore in the blast furnace and by direct reduction. Its activities are divided into four segments: Operations in Brazil, Operations in North America, Operations in Latin America and Special Steel Unit. Its products are distributed in various sectors, such as civil construction, agriculture, industrial automotive and The Company operates production plants in Brazil, Argentina, Chile, Colombia, Mexico, Peru, Venezuela, the United States, Canada, Spain and India, among others."
15,MULT3.SA,"Multiplan Empreendimentos Imobiliarios SA is a Brazil-based company primarily engaged in the real estate sector. The Company's activities are divided into four business segments: Rental, Real estate, Projects and Management. The Rental division focuses on leasing of shopping malls and their parking lots. The Real estate division includes sale of properties, such as multifamily homes, built in the surroundings of shopping malls. The Projects division specializes in the planning, development and construction of commercial centers for lease. The Management division primarily offers management services to storeowners. The Company holds and administers numerous shopping malls in Brazil, such as BH Shopping, BarraShopping, RibeiraoShopping, MorumbiShopping, ParkShopping, DiamondMall, Shopping Analia Franco, BarraShopping Sul, New York City Center and Shopping Santa Ursula."
