,Instrument,Business Description
0,MICP.PA,"Compagnie Generale des Etablissements Michelin SCA is a France-based mobility company. It operates through three segments: Automotive, Road Transportation and Specialty Businesses. Automotive, which comprises the business lines Automotive business to customers (B2C) Global Brands, Automotive B2C Regional Brands, Automotive Original Equipment and Mobility Experiences. Road Transportation comprises the business lines Long Distance Transportation, Urban Transportation and Services & Solutions. Specialty Businesses comprises the business lines Mining, Off-Highway Transportation, Two-Wheel, Aircraft and High-Tech Materials. The Company provides different kind of tires and related products and services through a dealership network. Its service offering includes truck driver assistance with Michelin Euro Assist, fleet tire advice, maintenance and management services and mobility assistance services, among others. Additionally, it provides branded lifestyle products and high-tech materials."
1,LEGD.PA,"Legrand SA, formerly Legrand SNC, is a France-based company that specializes in the design, manufacture and distribution of products and systems for electrical installations and information networks. Its activity is organized around four product families: products for monitoring and controlling electrical energy, including switches, electrical connectors, thermostats, dimmers, burglar alarms, smoke detectors, audio and video connectors; energy distribution products, including circuit breakers, electrical boxes, electrical cabinets; cable management systems, including channels, mouldings, conduits, floor boxes, and structured wiring systems (voice-data-image), including wall sockets for high-speed transmission, optical fiber and copper splitters and connection panels used in telephone and computer networks. It operates through Solarfective and OCL1, the specialist in architectural lighting solutions and Afco System. Legrand operates worldwide."
2,BNPP.PA,"BNP Paribas SA is a France-based international banking institution. The Company organizes its businesses into two main fields of activity: Retail Banking & Services (RBS) and Corporate Institutional Banking (CIB). RBS covers Domestic Markets and International Financial Services. Domestic Markets include retail banking networks in France, Italy, Belgium, and Luxembourg, as well as certain specialized retail banking divisions. International Financial Services is composed of all the retail banking businesses out of the Eurozone, split between Europe Mediterranean and BancWest in the United States, as well as personal finance, insurance, wealth and asset management activities. CIB provides corporate banking, global markets (fixed income, currency and commodities, as well as equity and prime services), and securities services to management companies, financial institutions and other corporations. BNP Paribas SA is the parent company of the BNP Paribas Group."
3,MT.AS,"ArcelorMittal SA is a Luxembourg-based holding company. The Company, via its subsidiaries, owns and operates steel, iron ore manufacturing and coal mining facilities in Europe, North and South America, Asia, and Africa. The Company is organized in five operating segments: NAFTA; Brazil; Europe; Africa and Commonwealth of Independent States (ACIS), and Mining. The NAFTA, Brazil, Europe, and ACIS segments produce flat, long, and tubular products including slabs, hot-rolled coil, cold-rolled coil, coated steel products, among others. The Mining segment provides steel operations and comprises all mines owned by the Company in the Americas, Europe, Africa, and countries of the Commonwealth of Independent States (CIS)."
4,PUBP.PA,"Publicis Groupe SA is a France-based communication group. It provides a full range of advertising and communications services organized into four solutions hubs: Publicis Communications, Publicis Media, Publicis Sapient, and Publicis Health. Publicis Communications, the creative communications hub, includes the Leo Burnett, Saatchi & Saatchi, Publicis Worldwide, BBH, Marcel, Fallon, MSLGROUP and Prodigious networks. Publicis Sapient specializes in digital transformation services. Publicis Media is a global media agency with capabilities across investment, strategy, insights and analytics, data and technology, commerce, performance marketing and content. Publicis Health focuses on health and wellness business transformation. The Group operates in five geographical regions: Europe, North America, Asia Pacific, Latin America Middle East & Africa."
5,BOUY.PA,"Bouygues SA is a France-based diversified services group. It operates through its subsidiaries focusing on three sectors: Construction, Media and Telecom. Construction includes Bouygues Construction, which designs, builds and operates building, infrastructure and industrial projects; Bouygues Immobilier, a private property developer specialized in residential, office building, retail and sustainable neighborhood projects and Colas specialized in transport infrastructure construction and maintenance. Media covers the activities of TF1, which offers a variety of entertainment content and a wide range of associated services as well as is active in the television (TV) production and digital sectors. Telecom operates in the French electronic communications market via Bouygues Telecom. The Group operates worldwide."
6,VIE.PA,"Veolia Environnement SA is a France-based optimized resource management group. It designs and provides water, waste and energy management solutions. Water solutions cover potable water plants and supply systems, wastewater systems and treatment plants, among others. Waste solutions include waste collection services on behalf of local authorities, management of specialist sorting centers and platforms, among others. Energy solutions offer power generation and related services, such as consulting and plant design. The Group operates through five geographical segments France, Europe excluding France, Rest of the World, Global Businesses and Other, including the various Group holding companies."
7,PRTP.PA,"Kering SA is a France-based luxury group. It owns a portfolio of fashion brands, such as Saint Laurent, Gucci, Bottega Veneta, Alexander McQueen, Balenciaga, Boucheron, Brioni, Pomellato, Qeelin and Ulysse Nardin, among others. The Group manufactures and sell, mostly through managed retail stores, a wide range of products, including leather goods, apparel, accessories, footwear, watches and jewelry, among others, for man, woman and child. The Group is active globally."
8,LVMH.PA,"LVMH Moet Hennessy Louis Vuitton SE is a France-based luxury group active in six sectors: Wines and Spirits, Fashion and Leather Goods, Perfumes and Cosmetics, Watches and Jewelry, Selective Retailing and Other Activities. Wines and Spirits owns brands, such as Moet & Chandon, Krug, Veuve Clicquot, Hennessy and Chteau d’Yquem, among others. Fashion and Leather Goods owns brands, such as Luis Vuitton, Christian Dior and Givenchy, among others. Perfumes and Cosmetics owns brands, such as Parfums Christian Dior, Parfums Givenchy Guerlain, Benefit Cosmetics, Fresh and Make Up For Ever, among others. Watches and Jewelry owns brands, including TAG Heuer, Hublo, Zenith, Bulgari, Chaumet and Fred, among others. Selective Retailing owns the brands DFS, Miami Cruiseline, Sephora and Le Bon Marche Rive Gauche, among others. Other Activities includes lifestyle, culture and the arts brands, such as Les Echos, Royal Van Lent, and Cheval Blanc. The Company is active worldwide."
9,AXAF.PA,"AXA SA (AXA) is a France-based holding company engaged in the business of financial protection. AXA offers a broad range of products through business segments: Life & Savings, Property & Casualty, Health, Asset Management, and Banking. Its offering covers motor, household, property and general liability insurance, banking, savings vehicles, and other investment-based products for both Personal/Individual and Commercial/Group customers, as well as health, protection, and retirement products for individual or professional customers. AXA operates in seven geographical segments: France, Europe, Asia, AXA XL, the United States, International and Transversal & Central Holdings. AXA SA is the holding company of AXA Group."
10,ALSO.PA,"Alstom SA is a France-based manufacturer of infrastructures for rail transport sector. The Company’s offer includes a range of solutions including rolling stock, systems, services as well as signaling for passenger and freight railway transportation. The Company’s railway services include maintenance, modernization, management of spare parts, support and technical assistance services included. The Company’s railway infrastructures include infrastructures for the track laying, lines electrical power systems, electromechanical equipment, telecommunication devices and traveler information in station, terminals for automatic purchase of tickets, access to escalators, lifts for disabled, automatic landing doors on platforms, ventilation, air conditioning, and lighting systems, among others. Alstom markets its products and services worldwide."
11,CAGR.PA,"Credit Agricole SA is a France-based banking group that offers banking and insurance services through a network of regional, local banks and branches. The Bank's principal lines of business include: Asset gathering, French Retail banking LCL, International Retail banking, Specialised financial services, and Large customers. Asset gathering includes insurance, asset management activities of the Amundi Group, wealth management. French retail banking LCL is organized in four business lines: retail banking for individual customers, retail banking for small businesses, private banking, and corporate banking. International Retail banking include foreign subsidiaries located in Europe and around the Mediterranean. Specialised financial services provide financial products and services to individual customers, small businesses, corporates, and local authorities in France and abroad. Large customers business includes Corporate and Investment bank."
12,SOGN.PA,"Societe Generale SA is a France-based financial services group. The Group offers a wide range of advisory services and tailored financial solutions to secure transactions, protect and manage assets and savings, and help its clients finance their projects. It operates through three segments: French Retail Banking, International Retail Banking & Financial Services and Global Banking and Investor Solutions. French Retail Banking includes the domestic networks Societe Generale, Credit du Nord and Boursorama. International Retail Banking & Financial Services consists of International Retail Banking (consumer finance activities), Financial Services to Corporates (operational vehicle leasing and fleet management, equipment and vendor finance) and Insurance Activities. Global Banking and Investor Solutions comprises Global Markets and Investors Services, Financing and Advisory, Asset and Wealth Management. The Group is active globally."
13,SCHN.PA,"Schneider Electric SE is a France-based company that provides energy-related solutions globally. It operates through two segments: Energy Management and Industrial Automation. Energy Management includes the subsegments Low Voltage, Medium Voltage and Secure Power. Low Voltage targets residential and commercial buildings, spanning across industries, infrastructures and data centers offering protection functions, power monitoring and control, power meters and electrical enclosures, among others. Medium Voltage provides products and software for the integrated management of mission-critical infrastructure, advanced grid solutions and asset performance management, among others. Secure Power specializes in critical power products and solutions for data centers and networks where power continuity and quality are essential. Industrial Automation provides comprehensive solutions for the automation and control of machines, manufacturing plants and industrial sites."
14,SASY.PA,"Sanofi SA is a healthcare company based in France. The Company focuses on patient needs and engages in the research, development, manufacture, and marketing of therapeutic solutions. Its three operating segments are: Pharmaceuticals, Consumer Healthcare (CHC), and Vaccines. The Pharmaceuticals includes: Immunology, Multiple Sclerosis / Neurology, Oncology, Rare Diseases, Rare Blood Disorders, Cardiovascular, Diabetes, Established Prescription Products. The Vaccines segment comprises, for all geographical territories, the commercial operations of Sanofi Pasteur, together with research, development, and production activities dedicated to vaccines. The CHC segment comprises the commercial operations for Sanofi’s Consumer Healthcare products, together with research, development and production activities dedicated to those products. The Company’s products developed in collaboration or franchise include Dupixent, Aubagio, Lemtrada, Cerezyme, Lumizyme, Jevtana, Fabrazyme, among others."
15,WLN.PA,"Worldline SA, formerly Atos Worldline SAS, is a France-based company providing payment and transaction services. The Company creates and operates digital platforms which handle all transactions between companies, their partners and customers. Its solutions are divided into three segments: Merchant Services & Terminals, comprising services, solutions and implementation in the areas of payment terminals, multichannel payment acceptance, non-cash payments, private label cards, loyalty services and e-commerce; Mobility & eTransactional Services, engaged in creation of digital products such as e-tickets, e-government collection platforms, and contact and consumer cloud platforms, among others; and Financial Processing & Software Licensing, which provides payment processing, acquiring and issuing processing, online banking solutions, and software solutions. The Company is active internationally through subsidiaries such as, Worldline Euro SA, Santeos SA, Worldline BV, among others."
16,RENA.PA,"Renault SA is a France-based company that designs, manufactures and sells passenger cars and light commercial vehicles and related services. Its brand portfolio consists of Renault, Dacia (both operating globally), Alpine (active in Europe, Japan and Australia), Renault Samsung Motors (operates only in South Korea) and Lada (operates only in Russia). The Group operating segments are three: Automotive excluding AVTOVAZ, Sales Financing and AVTOVAZ. Automotive excluding AVTOVAZ consists of the Group’s automotive activities comprising the production, sales, and distribution of passenger and light commercial vehicles, automobile service for the Renault, Dacia and Samsung brands and investments in Nissan, among others. Sales Financing, carried out by RCI Banque, covers the financing operations for sales of vehicles to dealers and end-users. AVTOVAZ, consists of the Russian automotive group AVTOVAZ and its parent company, the joint venture lliance Rostec Auto b.v."
17,ENGIE.PA,"Engie SA is a France-based global energy and services group. It operates through four business segments: Client Solutions, Renewables, Thermal and Networks. Client Solutions develops integrated solutions to support companies and local authorities in the zero- carbon transition. Networks operates in the gas and electricity value chain (hydrogen, natural gas and biogas) upstream of supply to customers. Renewables covers both generation and marketing of electricity from all renewable energy sources. Thermal provides generation and marketing of electricity from other energy sources, such as gas and coal. Networks comprehend Supply that combines the activities of purchases-wholesale sales and activities business to customers client solutions and Nuclear, dedicated to nuclear activities."
