,Instrument,Business Description
0,002371.SZ,"NAURA Technology Group Co Ltd is a China-based company mainly engaged in the research and development, production, sales and technical services of basic electronic products. The Company's main products are electronic process equipment and electronic components. The Company's electronic process equipment mainly includes semiconductor equipment, vacuum equipment and lithium battery equipment. Its electronic components mainly include resistors, capacitors, crystal devices, microwave components, module power supplies and hybrid integrated circuits. Its products are used in integrated circuits, semiconductor lighting, power devices, micro-electromechanical systems, advanced packaging, photovoltaics, new displays, vacuum electronics, new materials, lithium-ion batteries, aerospace, precision instrumentation, automatic control and other industries. The Company mainly conducts its businesses in the China market."
1,600900.SS,"China Yangtze Power Co., Ltd. is a China-based company, principally engaged in hydroelectricity business. The Company is engaged in operations management and Three Gorges Power Station, Gezhouba Power Station, Xiluodu Power Station and Xiangjiaba Power Station. The Company also provides technology of electrical power generation, and water and electricity engineering maintenance services. Its main clients consist of State Grid Corporation of China and China Southern Power Grid Company, among others."
2,002463.SZ,"WUS PRINTED CIRCUIT (KUNSHAN) CO., LTD. is a China-based company, principally engaged in the manufacture, distribution and after-sale services of printed circuit boards (PCBs). Its products include enterprise communication market boards, office and industrial equipment boards, automobile boards, consumer electronic boards and other products. The Company is also engaged in the wholesaling, import and export trading, after-sale maintenance and technology services of related products. The Company distributes its products within domestic market and to overseas markets."
3,000425.SZ,"XCMG Construction Machinery Co Ltd is a China-based company principally engaged in the research and development, manufacturing, sales and service of construction machinery and spare parts. The Company's main products include hoisting machinery, shoveling machinery, compaction machinery, road machinery, piling machinery, fire-fighting machinery, sanitation machinery and other construction machinery and spare parts. The Company's products are mainly used in the fields of infrastructure construction, real estate development, large-scale projects, disaster relief, transportation and natural resource extraction. The Company distributes its products both in the domestic market and to overseas markets."
4,002384.SZ,"Suzhou Dongshan Precision Manufacturing Co., Ltd is a China-based company, principally engaged in the research and development, manufacture and distribution of precision metal products and precision electronic products. The Company's main products include precision sheet metals, precision die-castings, light-emitting diodes (LEDs) and its display components, touch panels, liquid crystal display module (LCM) modules and flexible circuit boards. Its precision sheet metals are applied in mobile communications and automobiles. Its precision electronic products are applied in consumer electronics and others. The Company distributes its products within domestic market and to overseas markets."
5,300601.SZ,"Shenzhen Kangtai Biological Products Co.,Ltd. is a China-based company and mainly engaged in research and development, manufacture and sale of vaccine. The main products of the company are recombinant hepatitis B virus, haemophilus influenzae type b combined vaccine, measles rubella combined attenuated live vaccine, non-cell Bai Bai Po haemophilus influenzae combined vaccine and other products. The Company operates its businesses primary in domestic market."
6,300124.SZ,"Shenzhen Inovance Technology Co.,Ltd is a China-based company principally engaged in the research, development, manufacture and distribution of industrial automatic control products and new energy related products. The Company’s main products include inverters, servo systems, control systems, industrial visual systems, sensors, motor controllers, auxiliary power systems, traction converters, auxiliary converters, high voltage boxes, traction motors and Train Control and Management Systems (TCMSs), among others. The Company distributes its products in domestic market and to overseas markets."
7,000166.SZ,"Shenwan Hongyuan Group Co Ltd is a China-based investment holding company principally involved in securities business. The Company operates four segments. Enterprise Finance segment is engaged in investment banking and principal investment businesses. Personal Finance segment is engaged in the provision of securities and futures brokerage, margin financing and securities lending, stock-backed lending, sales of financial products and investment advisory for personal finance clients. Institutional Services and Trading segment is engaged in the provision of prime brokerage and research services and proprietary trading. Investment Management segment is engaged in asset management, mutual fund management and private equity fund management."
8,000066.SZ,"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD., formerly CHINA GREAT WALL COMPUTER SHENZHEN CO., LTD., is a China-based company primarily engaged in the manufacture and distribution of power products, computers and relevant equipment. The Company’s main products include industrial power products, consumer power products, photovoltaic power systems, computer and computer peripherals, liquid crystal display (LCD) televisions, display screens, printers, consumable items and solar inverters, among others. The Company distributes its products in domestic market and to overseas markets, including the Americas, Europe, Australia, Africa and others."
9,002508.SZ,"HANGZHOU ROBAM APPLIANCES CO., LTD. is a China-based company, principally engaged in the research and development, production and distribution of kitchen appliances. The Company mainly provides smoke exhausters, gas ovens, disinfection cabinets, electric pressure cookers, induction cookers, electric kettles and electric juicers, among others. The Company distributes its products under the brand name of Robam. The Company distributes its products within domestic market and to overseas markets."
10,600886.SS,"SDIC Power Holdings CO., LTD. is a China-based company, principally engaged in the investment, construction, operation and management of electric power plants. The Company operates hydropower plants, thermal power plants, wind power plants and photovoltaic power plants. The Company also provides consulting services. The Company conducts its businesses within domestic markets."
11,002001.SZ,"ZHEJIANG NHU COMPANY LTD. is a China-based company principally engaged in the manufacture and sales of nutrition products. The Company is also involved in the production and sales of flavors and fragrances, high polymer new materials, as well as bulk pharmaceutical chemicals. The Company's main products include vitamin E, vitamin A, astaxanthin, raspberry ketone and linalool. The Company distributes its products within domestic market and to overseas markets."
12,002050.SZ,"ZHEJIANG SANHUA INTELLIGENT CONTROLS CO., LTD., formerly ZHEJIANG SANHUA Co., Ltd., is principally engaged in the manufacture and sales of air conditioning parts, refrigerator parts and other products. The Company's main products include cross change valves for air conditioners, stop valves, electronic expansion valves, electromagnetic valves, ball valves, square valves, liquid reservoirs for compressors, draining pumps, check valves, packaged tubes, electromagnetic valves for bridges, as well as dry filters, among others. The Company's products are applied in the manufacture of air conditioners and refrigerators. The Company is also involved in the manufacture of components for coffee machines, dish-washing machines and washing machines. The Company distributes its products within domestic market and to overseas markets"
13,002304.SZ,"Jiangsu Yanghe Brewery Joint-Stock Co., Ltd. is a China-based company, principally engaged in the production and distribution of liquor and related products. The Company produces liquor products and red wine products. The Company's major liquor offerings include Yanghe, Shuanggou and Siyang series. The Company primarily distributes its products within domestic markets, with Jiangsu Province as its main market."
14,600383.SS,"Gemdale Corp is a China-based company principally engaged in the development and sales of real estate. The Company's main businesses include residential real estate development, commercial real estate and industrial real estate development and operation, real estate finance, property leasing and property management services. The Company mainly conducts its businesses in the domestic market."
15,603338.SS,"ZHEJIANG DINGLI MACHINERY CO.,LTD is a China-based company principally engaged in the research and development, manufacture, sales and provision of services of aerial work platforms. The Company's main products include three types of aerial work platforms, which include scissor type, arm type and mast type. The Company's products are applied in various industries, such as aircraft and ship building and maintenance, building construction and installation, highway and bridge construction, municipal engineering projects, warehousing and supermarket."
16,000656.SZ,"JINKE PROPERTY GROUP CO.,LTD. is a China-based company principally engaged in the development and distribution of real estates. The Company mainly operates through three segments. Real Estate segment is primarily engaged in the development of residential and commercial properties, as well as the development and operation of industrial estates. Community Integrated Services segment mainly provides property management services. New Energy segment consists of wind power and photovoltaic power generation. The Company is also involved in hotel management, gardening and architecture decoration businesses. The Company operates its business in domestic market, mainly in Chongqing and Jiangsu Province, China."
17,002202.SZ,"Xinjiang Goldwind Science & Technology Co Ltd is a China-based company that provides overall solutions for wind turbines, wind power services and wind farm development. The Company operates its businesses through four segments. The Wind Turbine Manufacturing and Sales segment is mainly engaged in the research and development, manufacturing and sales of wind turbines and their parts. The Wind Power Service segment mainly provides wind power-related consultants, wind farm construction and maintenance and transportation services. The Wind Farm Development segment is mainly engaged in the development and operation of wind farms. Other segment is mainly engaged in financial leasing and water treatment development and operation business. The Company conducts its businesses both in the domestic market and overseas markets."
