,Instrument,Business Description
0,BASFn.DE,"BASF SE is a Germany-based chemical company. The Company operates through six segments, which include Chemicals, Materials, Industrial Solutions, Surface Technologies, Nutrition & Care and Agricultural Solutions. The Chemicals segment consists of the Petrochemicals and Intermediates divisions. The Materials segment consists of Performance Materials and Monomers divisions. The Industrial Solutions segment consists of Dispersions & Pigments and Performance Chemicals divisions. The Surface Technologies segment consists of Catalysts and Coatings divisions. The Nutrition & Care segment consists of Care Chemicals and Nutrition & Health divisions. The Agricultural Solutions segment consists of Agricultural Solutions division, which focuses on provision of crop protection products and seeds."
1,IFXGn.DE,"Infineon Technologies AG is a Germany-based designer, developer and manufacturer of semiconductors and related system solutions. The Company operates through four segments: Automotive, Industrial Power Control, Power Management & Multimarket, and Chip Card & Security. The Automotive segment designs, develops, manufactures and markets semiconductors for use in automotive applications. The Industrial Power Control segment designs, develops, manufactures and markets semiconductors for the conversion of electric energy in the medium to high power range. The Power Management & Multimarket segment designs, develops, manufactures and markets semiconductors for power supplies, and for mobile devices and cellular infrastructure, as well as offers a range of Class-D amplifiers for home audio applications. The Chip Card & Security segment designs, develops, manufactures and markets hardware-based security products for card applications and connected systems."
2,SIEGn.DE,"Siemens AG is a Germany-based technology company. It operates through seven segments: Digital Industries, which offers products and system solutions for automation used in discrete and process industries; Smart Infrastructure, which supplies and intelligently connects energy systems and building technologies; Gas and Power, which offers products, solutions and services for generating electricity, for producing and transporting oil and gas, as well as for downstream and oil and gas-related operations; Mobility, which combines all Siemens businesses in the area of passenger and freight transportation; Siemens Healthineers, which supplies technology to the healthcare industry and engages in diagnostic imaging and laboratory diagnostics; Siemens Gamesa Renewable Energy, which designs,and produces wind turbines, and sales wind farms, and Financial Services (SFS), which offers leasing solutions and equipment, project and structured financing in the form of debt and equity investments."
3,EONGn.DE,"E.ON SE is a Germany-based energy company. The Company's business activities are divided into four core segments: Energy Networks, Customer Solutions, innogy and Renewables. The Energy Networks segment consists of its power and gas distribution networks and related activities. The Customer Solutions segment serves as the platform for working with its customers to shape Europe's energy transition, supplying power, gas and heat. The Innogy segment consists of the network and sales businesses, as well as the corporate functions and internal services of the innogy Group. The Renewables segment builds, operates and manages wind and solar generation assets. In addition, it has a nuclear power business in Germany, which is operated by its subsidiary PreussenElektra and is not a strategic business. The Company’s customers are residential, small and medium-sized enterprises, industrial and commercial and public entities."
4,DWNG.DE,"Deutsche Wohnen SE is a Germany-based real estate company that focuses on the management and development of its residential property portfolio. The Company divides its activities into three segments: Residential Property Management; Disposals, and Nursing and Assisted Living. The Residential Property Management segment's core activity is the management of residential properties, including modernization and maintenance of the property portfolio. The Disposals segment includes all aspects of the preparation and execution of the sale of apartments within the Company's portfolio. The Nursing and Assisted Living segment is operated by KATHARINENHOF Seniorenwohn- und Pflegeanlage GmbH and offers residential and care facilities in Berlin, Brandenburg, Saxony and Lower Saxony in Germany."
5,DBKGn.DE,"Deutsche Bank AG is a Germany-based investment bank and financial services company. The Company offers a range of investment, financial and related products and services to private individuals, corporate entities and institutional clients. Its business activities are divided into three segments: Corporate & Investment Bank (CIB), which offers investment and transaction banking products and services for corporate and institutional clients; Private & Commercial Bank (PCB), which provides private, corporate and wealth management clients with a broad range of products from standard banking services to individual investment and financing advice; and Asset Management (AM), whose investment capabilities span both active and passive strategies and an array of asset classes, including equities, fixed income, real estate and sustainable investments."
6,SATG_p.DE,"Sartorius AG is a Germany-based supplier of pharmaceutical and laboratory equipment. It operates through two segments: Bioprocess Solutions and Lab Products and Services. The Bioprocess Solutions segment offers integrated solutions for biopharmaceutical manufacture, such as filters for sterilization of biopharmaceutical media, single-use bags for cell cultivation and storage of biopharmaceuticals, membrane adsorbers for purification in bioprocesses, and filter technology for clarification, among others. The Lab Products and Services segment provides instruments, consumables and services for laboratories, including laboratory balances, laboratory water systems for storage of purified water, electronic pipettes, filter systems for sample preparation and membrane filter systems for sterility testing of parenterals."
7,SAPG.DE,"SAP SE (SAP) is a Germany-based company that offers enterprise application software. The Company operates through three segments: Applications, Technology & Services segment, which is engaged in the sale of software licenses, subscriptions to its cloud applications, and related services, primarily support services and various professional services, and support services, as well as implementation services of its software products and education services on the use of its products; the SAP Business Network segment, which includes its cloud-based collaborative business networks and services relating to the SAP Business Network, including cloud applications, professional services and education services, as well as the Company markets and sells the cloud offerings developed by SAP Ariba, SAP Fieldglass and Concur, and the Customer Experience segment, which comprises on-premise and cloud-based products that run front office functions across the customer experience."
8,BAYGn.DE,"Bayer AG is a German-based life science company. The Company's segments are Pharmaceuticals, Consumer Health, Crop Science and Animal Health. The Pharmaceuticals segment focuses on researching, developing and marketing prescription products and specialty therapeutics especially in the areas of cardiology, oncology, gynecology, hematology and ophthalmology, as well as radiopharmacology and others. The company is focusing on their oncology platform o Targeted Alpha Therapies for treating prostate cancer. Th Consumer Health segment develops, produces and markets nonprescription over-the-counter products in the dermatology, dietary supplement, analgesic, gastrointestinal, cold, allergy, sinus and flu, foot care and sun protection categories, among others. The Crop Science segment researches, develops and markets crop protection solutions and seeds, and includes the subsidiary Monsanto. The Animal Health segment is engaged in the development, production and marketing of prescription and non"
9,RWEG.DE,"RWE AG (RWE) is a Germany-based holding company. The Company is engaged in the generation, transmission, distribution, and trading of electricity and gas. Its activities are divided into three segments: Lignite & Nuclear, European Power and Supply & Trading. The Lignite & Nuclear segment focuses on electricity generation in Germany using lignite and nuclear power. The European Power segment includes the electricity generation business in Germany, the United Kingdom, the Netherlands, and Belgium using gas and hard coal power plants. The Supply & Trading segment comprises trading in electricity, natural gas, coal, oil, carbon dioxide certificates and biomass."
10,1COV.DE,"Covestro AG is a Germany-based company engaged in the manufacturing of polymer materials. It develops, produces and markets polyurethanes, polycarbonates and raw materials, as well as coatings, adhesives and other specialties. The Company's activities are divided into three segments: Polyurethanes, offering precursors, such as flexible polyurethane foam primarily used in the furniture and automotive industries, and rigid foam used as insulating material in the construction industry and in refrigeration chains; Polycarbonates, providing plastic polycarbonates in the form of granules, composite materials, and semi-finished products for use in the automotive, construction, medical technology, lighting industries, among others; and Coatings, Adhesives, Specialties, producing precursors for coatings, adhesives, sealants and specialties, as well as polymer materials and aqueous dispersions for use in automotive and transportation, wood processing and furniture applications, among others."
11,HNKG_p.DE,"Henkel AG & Co KGaA is engaged in the consumer and industrial business. The Company's segments include adhesives for consumers, craftsmen and building, industrial adhesives, beauty care and laundry and home care. The Company has operations in Western Europe, Eastern Europe, Africa/Middle East, North America, Latin America and Asia-Pacific. The Company's Adhesives for Consumers, Craftsmen and Building operating segment markets a range of brand name products for private users, craftsmen and the construction industry. The Industrial Adhesives segments include packaging and consumer goods adhesives, transport and metal, general industry, and electronics. The Beauty Care segment covers active branded consumer goods operating segment with hair care, hair colorants, hair styling, body care, skin care and oral care. The laundry and home care segment covers the activities of Henkel in laundry and home care branded consumer goods."
12,ZALG.DE,"Zalando SE is a Germany-based online shoes and fashion retailer. The Company offers a portfolio of women, men and children clothing. Its assortment comprises a range of shoes, clothes, accessories, beauty products and sports goods from more than 1,500 brands, including fashion companies, designer work and products of zLabels, a private labels arm of the Company. Zalando SE also offers free shipping and 100 days long free return policy. Its offering can be purchased through desktops, tablets and smartphones in approximately 15 European countries. The Company is active in two geographical segments: DACH, comprising the sales in Germany, Austria and Switzerland; and Rest of Europe."
13,DTEGn.DE,"Deutsche Telekom AG is a Germany-based company that provides information technology (IT) and telecommunications services. The Company's operating segments include Germany, consisting of fixed-network and mobile activities in Germany; United States, which consists of mobile activities in the United States market; Europe, consisting of fixed-network and mobile operations of the national companies in various European countries, such as Greece, Romania, Hungary, Poland, the Czech Republic, Croatia, Slovakia, Austria, Albania, Macedonia and Montenegro; Systems Solutions, which operates information and communication technology (ICT) systems for multinational corporations and public sector institutions; Group Development, comprising the entities T-Mobile Netherlands and Deutsche Funkturm (DFMG) and its equity investment in Stroeer SE & Co. KGaA, and Group Headquarters & Group Services, which consists of the operations of service headquarters and various other subsidiaries of the Company."
