,Instrument,Business Description
0,IPN.PA,"Ipsen SA is a France-based biopharmaceutical group specialized in specialty care. The Company operates globally through two segments: Specialty Care and Consumer Healthcare. In Specialty Care, the Company is focused on various therapeutic areas, including oncology, neurosciences and rare diseases. Its oncology portfolio includes Somatuline, Decapeptyl, Cabometyx and Onivyde. Its neuroscience portfolio includes Dysport, and in rare diseases key products are NutropinAq and Increlex. Its primary care portfolio includes Smecta, Forlax, Fortrans, Eziclen, and Tanakan. In oncology Ipsen focuses on a number of disease areas, which include neuroendocrine tumors, renal cell carcinoma, hepatocellular carcinoma and pancreatic cancer. In addition, the Company has specialism in neurotoxin research and operates three research and development centers located in France, the United Kingdom and the United States."
1,SKG.I,"Smurfit Kappa Group plc is a provider of paper-based packaging products. The Company manufactures, distributes and sells containerboard, corrugated containers and other paper-based packaging products. It operates through two segments: Europe and the Americas. The Europe segment includes a system of mills and plants that produces a line of containerboard that is converted into corrugates containers. In addition, to other types of paper-based packaging and bag-in-box operations. The Americas segment, which includes forestry and other types of paper, such as boxboard, sack paper and graphic paper, and paper-based packaging, such as folding cartons and paper sacks."
2,JDEP.AS,"JDE Peets NV is a company based in the Netherlands that produces and supplies coffee and tea beverages. The Company markets its products and solutions through a go-to-market approach across the consumer-packaged goods (CPG), out-of-home, retail and online sales channels. Its portfolio includes Jacobs, Tassimo, Gevalia, Maxwell House, Prima, Ali, Cafax, among others."
3,VERB.VI,"VERBUND AG is an Austria-based energy company. The Company is engaged in the generation and transmission of electricity in Austria. It is also active in the energy trading markets. Through its trading platform, VERBUND Energy4Business GmbH, which trades power and energy derivatives over-the-counter and at the major power exchanges across Europe. VERBUND generates electricity via its large network of hydroelectric power plants, which accounts for approximately 90% of the power generated, supplemented by wind, solar and thermal power plants, powered by fossil fuels. The Company's transmission business is run by VERBUND-Austrian Power Grid AG, which operates, maintains and extends Austria's high-voltage and extra-high-voltage power grids. Verbund has further subsidiary operations in Germany, Italy, Poland, Hungary and Slovenia. Furthermore, the Company acquired Gas Connect Austria GmbH to operate its infrastructure."
4,ORAN.PA,"Orange SA is a France-based multi-service telecommunications operator. The Company operates seven segments: France, Spain, Europe, Africa & Middle East, Enterprise, International Carriers & Shared Services, Orange Bank. France includes all fixed and mobile communication services to consumers and companies as well as services for carriers. Spain covers fixed line and mobile telephony and fiber. Europe (Poland, Belgium, Luxembourg, Romania, Slovakia and Moldova) provides high-speed fixed and mobile broadband. Africa & Middle East primarily operates in the mobile markets but also provides telephony and fixed Internet services. Enterprise provides digital transformation support. International Carriers & Shared Services includes international carrier and the activities of OCS and Orange Studio in content, among others. Orange Bank provides mobile financial services. Orange SA is the parent company of the Orange group."
5,PSMGn.DE,"Prosiebensat 1 Media SE is a Germany-based company engaged in the media sector. The Company's core business is advertising-financed free television (TV). Its TV stations include: SAT.1, ProSieben, kabel eins, sixx, SAT.1 Gold and ProSieben MAXX. The Company operates in three business segments, including Broadcasting German-Speaking segment, Digital and Adjacent segment as well as Content Production and Global Sales segment. The Broadcasting German-Speaking segment includes the TV activities in Germany, Austria and Switzerland. The Digital and Adjacent segment bundles the business units Online Video, Online Games, Ventures and Commerce, as well as Music. The Content Production and Global Sales segment covers the international program production and distribution business. The Company operates as the parent company of the ProSiebenSat.1 Group and operates ProSiebenSat.1 TV Germany GmbH, SevenOne Brands GmbH, SevenOne Media GmbH, Seven One AdFactory GmbH as subsidiaries."
6,ENEI.MI,"Enel SpA is an Italy-based multinational power company and an integrated operator in the global power, gas and renewables markets. It is active in Europe and is present in more than 30 countries, producing energy with over 86 gigawatt (GW) of installed capacity. Enel distributes electricity through a network of over 2.2 million kilometers, supplying 74 million business and household end users globally. Enel's renewables arm Enel Green Power supplies energy with more than 46 GW of wind, solar, geothermal and hydropower plants installed in Europe, the Americas, Africa, Asia and Oceania. Enel X is Enel's global business line focusing on energy-related products and services including distribution systems and batteries, smart lighting and energy and electric mobility."
7,BIRG.I,"Bank of Ireland Group plc is an Ireland-based financial services company. The Company provides a broad range of banking and other financial services. Its services include current account and deposit services, overdrafts, term loans, business and corporate lending, international asset financing, leasing, installment credit, invoice discounting, foreign exchange facilities, interest and exchange rate hedging instruments, life assurance, pension and protection products. It operates through five operating segments: Retail Ireland, Bank of Ireland Life, Retail UK, Corporate and Treasury and Group Centre. It operates through approximately 250 branches and approximately 1,750 self-service devices in the Republic of Ireland. The Company also operates in the United Kingdom through approximately 11,500 branches and approximately 2,500 ATMs via the Company’s relationship as financial services partner with the United Kingdom Post Office. It also operates in the United States and European markets."
8,IG.MI,"Italgas SpA is an Italy-based company active in the natural gas distribution. It operates a national distribution network of about 70,000 kilometers serving more than 7,5 million customers. Its services include also network monitoring, maintenance and digitalization and consume measuring. The Company is active locally."
9,RENA.PA,"Renault SA is a France-based company that designs, manufactures and sells passenger cars and light commercial vehicles and related services. Its brand portfolio consists of Renault, Dacia (both operating globally), Alpine (active in Europe, Japan and Australia), Renault Samsung Motors (operates only in South Korea) and Lada (operates only in Russia). The Group operating segments are three: Automotive excluding AVTOVAZ, Sales Financing and AVTOVAZ. Automotive excluding AVTOVAZ consists of the Group’s automotive activities comprising the production, sales, and distribution of passenger and light commercial vehicles, automobile service for the Renault, Dacia and Samsung brands and investments in Nissan, among others. Sales Financing, carried out by RCI Banque, covers the financing operations for sales of vehicles to dealers and end-users. AVTOVAZ, consists of the Russian automotive group AVTOVAZ and its parent company, the joint venture lliance Rostec Auto b.v."
