,Instrument,Business Description
0,STAN.L,"Standard Chartered PLC is an international banking company. The Banks's segments include Corporate & Institutional Banking, Retail Banking, Commercial Banking and Private Banking. Its Corporate & Institutional Banking segment allows companies and financial institutions to operate and trade globally, and its Private Banking segment supports high net worth individuals with their banking needs across borders and offers access to global investment opportunities. Its Retail Banking segment offers clients, as well as small businesses a range of banking support solutions, and its Commercial Banking segment provides mid-sized companies with financial solutions and services. Its personal banking offerings include investments and employee banking. Its business banking capabilities include transaction banking, Islamic banking and global research. Its private banking offerings include online services."
1,CRDA.L,"Croda International Plc is a United Kingdom-based specialty chemical company. Its marketing and research activities are organized into four global market sectors: Personal Care, Life Sciences, Performance Technologies and Industrial Chemicals. Personal Care sector focuses on ingredients for skin, hair, sun protection and color cosmetic products. Life Sciences sector comprises three businesses, Health Care, Crop Protection and Seed Enhancement. Performance Technologies sector targets technologies in Smart Materials and Energy Technologies and develops in Home Care & Water. Industrial Chemicals sector focuses on developing applications, selling co-streams and undertaking toll processing. It manufactures fragrances and flavours. Its products and markets include adhesives, agrochemicals, beauty and personal care, dietary supplements, food ingredients, furniture and wood, lubricants, oleochemicals, paints and coatings, pharmaceuticals, polymers and additives, skin health and water treatment"
2,ANTO.L,"Antofagasta plc is a copper mining company. The Company operates four copper mines in Chile, two of which produce by-products. In addition to mining, the Company has a transport division providing rail and road cargo services in northern Chile predominantly to mining customers, which include the Company’s own operations. The Company’s segments include Los Pelambres, Centinela, Antucoya, Zaldivar, Exploration and evaluation, Corporate and other items, and Transport division. Los Pelambres produces primarily copper concentrate and molybdenum as a by-product. Centinela produces copper concentrate containing gold as a by-product, molybdenum concentrates and copper cathodes. Antucoya and Zaldivar produce copper cathodes. The transport division provides rail cargo and road cargo transport together with its ancillary services."
3,MRW.L,"Wm Morrison Supermarkets PLC is engaged in the operation of retail supermarket stores under the Morrisons brand and associated activities. The Company’s brands include Naturally Wonky, Free From, Nutmeg, Home Cook, V Taste and Little Kitchen. It has food manufacturing capabilities in meat, fish, bakery, fruit and veg, deli and flowers. Its Morrisons branded beef, lamb, pork, chicken, milk and eggs are sourced in the United Kingdom. The Company serves customers across the United Kingdom through approximately 497 stores and an online home delivery service. The Company operates over seven regional distribution centers and one national distribution center. Its subsidiaries include Bos Brothers Fruit and Vegetables B.V., Chippindale Foods Limited, Safeway Stores Limited, Erith Pier Company Limited, Firsdell Limited, Kiddicare Properties Limited, Neerock Farming Limited, Neerock Limited and Rathbone Kear Limited."
4,BNZL.L,"Bunzl plc is an international distribution and services company. The Company’s segments include North America, Continental Europe, UK & Ireland, Rest of the World, and Corporate. The Company supplies a range of consumable products such as food packaging, disposable tableware and catering equipment, cleaning and hygiene supplies, guest amenities, personal protection equipment, packaging and healthcare consumables to various customer markets including grocery, foodservice, cleaning and hygiene, safety, non-food retail and healthcare. The Company also supplies goods not for resale to grocery stores, supermarkets, retail chains, convenience stores, food wholesalers, ethnic grocers and organic food outlets, amongst others. The Company supplies a range of disposable healthcare consumables to the healthcare sector including hospitals, retirement and nursing homes and doctors' surgeries and clinics. It is also engaged in the distribution of gloves, eye protection and workwear."
5,SGE.L,"Sage Group plc is a United Kingdom-based company, which provides accounting and business management software. The Company’s segments include Northern Europe, Central and Southern Europe and North America. The Company offers software and services for small or medium business, people and payroll, business management, payments and banking, and accountants and partners. Its accounting, finance and payroll solutions include Accounting, Sage 50cloud Accounting, Sage Timeslips, Sage HR, Sage X3 and Sage Intacct. Its construction and real estate solutions include Sage Intacct Construction, Sage 100 Contractor and Sage 300 CRE. Its business management solutions include Sage X3, Sage 100cloud, Sage 300cloud and Sage Fixed Assets. Its human resources and customer relationship management (CRM) solutions include Sage HRMS, Sage People and Sage CRM."
6,SVT.L,"Severn Trent Plc treats and provides water and removes wastewater in the United Kingdom and internationally. It provides solutions through two businesses: Regulated Water and Waste Water, and Severn Trent Business Services. The Company’s Regulated Water and Waste Water business includes the wholesale water and waste water activities. Its regulated water and waste water business focuses on wholesale operations and engineering, and household customer services. Its Severn Trent Business Services focuses on bioresources, green power, operating services and property development. Bioresources includes the sludge treatment and related renewable energy generating activities within Severn Trent Water. Business Services, through Severn Trent Green Power, generates renewable energy from anaerobic digestion, crop, hydropower, wind turbines and solar technology."
7,MGGT.L,"Meggitt PLC is an engineering company. The Company designs and manufactures high performance components and sub-systems for aerospace, defense and other specialist markets, including energy, medical, industrial, test and automotive. The Company's segments are Meggitt Aircraft Braking Systems (MABS), Meggitt Control Systems (MCS), Meggitt Polymers & Composites (MPC), Meggitt Sensing Systems (MSS) and the Meggitt Equipment Group (MEG). Its MABS supplies aircraft wheels, brakes and brake control systems. Its MCS supplies pneumatic, fluid control, thermal management and electro-mechanical equipment and sub-systems. Its MPC specializes in fuel containment and systems, sealing solutions and advanced composites. Its MSS provides sensing, monitoring, power and motion systems, which specializes in products designed to operate in demanding conditions across a range of applications. Its MEG enables a set of technologically distinct businesses to market their offerings to specialist customers."
8,BLND.L,"The British Land Company PLC is a United Kingdom-based real estate company that owns and manages commercial property. The Company is engaged in London Campuses and Retail & Fulfilment assets throughout the United Kingdom. The Company’s segments include Offices, Retail and Canada Water. The Retail sector includes leisure, as this is often incorporated into Retail schemes. The Other/unallocated sector includes residential properties. The Company portfolio includes Campuses and Retail & Fulfilment. The Company's Campuses at Broadgate, Paddington Central and Regent’s Place offer sustainable space in London. The Company is also delivering campus at Canada Water, including residential, commercial, retail and community space over 53 acres."
9,ICAG.L,"International Consolidated Airlines Group, S.A. is an airline company that holds the interests in airline and ancillary operations. Its segments include British Airways, Iberia, Vueling, Aer Lingus and Other Group companies. It combines the airlines in the United Kingdom, Spain and Ireland. It has approximately 573 aircrafts to over 268 destinations. The Company operates various aircraft fleet services, including Airbus A318, Airbus A319, Airbus A340-600, Boeing 787-800, Embraer E190 and Boeing 777-200, among others. The Company, through its subsidiaries, is engaged in providing airline marketing, airline operations, insurance, aircraft maintenance, storage and custody services, air freight operations and cargo transport services. The Company offers its services in cities, including London, Madrid, Barcelona, Rome and Dublin. The Company's brands include British Airways, Iberia, LEVEL, Vueling, Aer Lingus, IAG Cargo and Avios."
