,Instrument,Business Description
0,YAZG.SI,"Yangzijiang Shipbuilding (Holdings) Ltd. is a China-based investment holding company. The Company operates four segments. Shipbuilding segment is engaged in shipbuilding, offshore marine equipment construction and ship design. Investment segment consists of micro-financing and debt investments at amortized cost and other investments. Trading segment is engaged in the trading of goods. Other segment is involved in ship demolition and vessel owning companies. The Company conducts its businesses in domestic market and overseas markets."
1,SGXL.SI,"Singapore Exchange Ltd is a Singapore-based market infrastructure. The Company operates equity, fixed income and derivatives markets. It operates through three business units: Fixed Income, Currencies and Commodities; Equities (Cash and Derivatives); and Data, Connectivity and Indices. It provides listing, trading, clearing, settlement, depository and data services. The Equities and Fixed Income unit comprises issuer services, securities trading and clearing, and post trade services. It provides derivatives trading and clearing services, membership and collateral management. It also offers market data and connectivity service. Fixed income includes retail fixed income securities and wholesale fixed income securities. Its market data services include real-time data feeds, post trade data feeds, news and corporate actions and data services for listed companies."
2,TBEV.SI,"Thai Beverage PLC is a Thailand-based company engaged in the production and distribution of alcoholic and non- alcoholic beverages and food. The Company’s segments include Spirits, Beer, Non-alcoholic beverages and Food. The Spirits segment in engaged in the production and sale of branded spirits products and soda. The beer segment is engaged in the production and sale of raw materials, branded beer products, Chang soda and Chang water. The Non-alcoholic beverages segment is focused on the production and sale of branded water, ready-to-drink coffee, energy drink, green tea and fruit flavored drinks. The Food segment includes restaurant and distribution of foods and beverages. Its subsidiaries include Beer Thai (1991) Plc, Beer Thip Brewery (1991) Co, Ltd, Cosmos Brewery (Thailand) Co, Ltd and Sangsom Co, Ltd."
3,DBSM.SI,"DBS Group Holdings Ltd is an investment holding company. The Company performs its operation through its subsidiary, DBS Bank Ltd, which is engaged in a range of commercial banking and financial services, principally in Asia. The Company's operating segments include Consumer Banking/Wealth Management; Institutional Banking; Treasury, and Others. The Consumer Banking/Wealth Management segment provides individual customers with a range of banking and related financial services. The Institutional Banking segment provides financial services and products to institutional clients, including bank and non-bank financial institutions, government-linked companies, corporates, and small and medium-sized businesses. The Treasury segment provides treasury services to corporations, institutional and private investors, financial institutions and other market participants. The Others segment includes a range of activities from corporate decisions."
4,GENS.SI,"Genting Singapore Ltd is an investment holding company. The Company, through its subsidiaries, is engaged in the development and operation of integrated resort, operation of casinos, provision of sales and marketing support services to leisure and hospitality related businesses and investments. It operates through leisure and hospitality operations segment within Singapore. The operations in other geographical areas in the Asia Pacific (excluding Singapore) include development of an integrated resort in Korea and other investments. It is engaged in the development and operation of integrated resorts, consisting of gaming; hospitality; meetings, incentives, conferences and exhibitions (MICE); leisure, and entertainment facilities. It owns Resorts World Sentosa in Singapore, a destination resort that offers a casino, Universal Studios Singapore theme park, Adventure Cove Waterpark, S.E.A. Aquarium, MICE facilities, hotels, Michelin-starred restaurants and specialty retail outlets."
5,AEMN.SI,"Ascendas Real Estate Investment Trust (Ascendas Reit) is a business space and industrial real estate investment trust. Ascendas Reit has properties located across Singapore, Australia, the United Kingdom (U.K.) and the United States (U.S.). The Singapore portfolio includes Business & Science Park properties, Amenities and Retail properties, Light Industrial properties, and Logistics & Distribution Centers. The Australian portfolio comprises logistics and suburban office properties in the cities of Sydney, Melbourne, Brisbane and Perth. The U.K. portfolio comprises logistics properties located in the industrial areas across various regions in the U.K. including Yorkshire and the Humber, North West England, East and West Midlands, South East England and East of England. The U.S. portfolio comprises business park properties located across the cities of San Diego, Raleigh and Portland. Ascendas Funds Management (S) Limited is the manager of Ascendas Reit."
6,KEPE.SI,"Keppel DC REIT (the trust) is a Singapore-based data center real estate investment trust (REIT). The Trust is focused on investing in a portfolio of real estate assets used primarily for data center purposes, as well as real estate related assets. The Company's lease type consists of Colocation, Fully fitted, and Shell and core. Its portfolio comprises approximately 19 data centers, across Asia Pacific and Europe. Its portfolio includes Intellicentre 2 Data Centre, iseek Data Centre, Gore Hill Data Centre, maincubes Data Centre, Keppel DC Dublin 1, Keppel DC Dublin 2, Milan Data Centre, Basis Bay Data Centre, Keppel DC Singapore 1, Keppel DC Singapore 2, Keppel DC Singapore 3, Keppel DC Singapore 4, Almere Data Centre and Cardiff Data Centre. Ltd. The Company also operates a property with two data centre buildings in the Netherlands, Eindhoven Campus. The trust’s manager is Keppel DC REIT Management Pte."
7,CMLT.SI,"CapitaLand Integrated Commercial Trust, formerly CapitaLand Mall Trust, is a Singapore-based real estate investment trust (REIT). The Trust owns and invests in income-producing assets, which are used for retail purposes primarily in Singapore. The Trust has approximately 15 shopping malls and 10 office assets located in the suburban areas and downtown core of Singapore and Germany. Its portfolio includes Tampines Mall, Junction 8, Funan, IMM Building, Plaza Singapura, Bugis Junction, JCube, Raffles City Singapore, Lot One Shoppers' Mall, 90 out of 91 strata lots in Bukit Panjang Plaza, The Atrium@Orchard, Clarke Quay, Bugis+, Bedok Mall and Westgate. The Company’s investment manager is CapitaLand Integrated Commercial Trust Management Limited."
8,JCYC.SI,"Jardine Cycle & Carriage Limited is an investment holding company. The Company is focused on investing in businesses based on the themes of urbanization and the consumer class. The Company has interest in Astra, a diversified group in Indonesia, which is also the automotive group in Southeast Asia. It also has interests in Vietnam through Truong Hai Auto Corporation, Refrigeration Electrical Engineering Corporation and Vinamilk, as well as Siam City Cement Public Company, which operates in South Vietnam, Thailand, Sri Lanka, Cambodia and Bangladesh. The other investments in the Company’s portfolio are the Cycle & Carriage businesses in Singapore, Malaysia and Myanmar, and Tunas Ridean in Indonesia. Its motor businesses are managed by Jardine International Motors."
9,DAIR.SI,"Dairy Farm International Holdings Limited is a company primarily engaged in retail business. Along with subsidiaries, the Company operates its business through four segments. The Food segment is mainly involved in the operation of supermarkets, hypermarkets and convenience stores through brands under the names of Wellcome, Yonghui, Cold Storage, Market Place, Jasons, 7-Eleven, and among others. The Health and Beauty segment is principally engaged in health and beauty business through brands under the names of Wanning, Guardian, Rose Pharmacy, and among others. The Home Furnishings segment is mainly engaged in household products business through its homeware brand under the name of IKEA. The Restaurants segment is mainly involved in chain catering business through its associated company MAXIM'S CATERERS LIMITED."
