,Instrument,Business Description
0,2388.HK,"BOC Hong Kong (Holdings) Limited is an investment holding company principally engaged in the provision of banking and related financial services. The Company operates its business through four segments: Personal Banking, Corporate Banking, Treasury and Insurance. The Company’s principal subsidiaries include Bank of China (Hong Kong) Limited, BOC Group Life Assurance Company Limited, Chiyu Banking Corporation Limited, BOC Credit Card (International) Limited and Po Sang Securities and Futures Limited."
1,2318.HK,"Ping An Insurance (Group) Company of China, Ltd. is a personal financial services provider. The Company provides insurance, banking, investment, and Internet finance products and services. The Company operates its businesses through four segments. The Insurance segment provides life insurance and property insurance, including term, whole-life, endowment, annuity, automobile and health insurance. The Banking segment is engaged in loan and intermediary businesses with corporate customers and retail business. The Assets management segment is engaged in security, trust and other assets management businesses, including investment, brokerage, trading and asset management services. The Internet Financing segment is engaged in the provision of Internet finance products and services."
2,0941.HK,"China Mobile Limited is an investment holding company principally engaged in telecommunication and related businesses. Its main businesses include Mobile businesses, Wireline Broadband businesses and Internet of Things (IoT) businesses. Mobile businesses include two categories of services. Voice services include local calls, domestic and international long distance calls, roaming services and voice value-added services. Data services include short message services and multimedia message services, wireless data traffic services and application and information services, such as Mobile Music, Mobile Reading and Mobile Video, among others. Wireline Broadband businesses include the provision of wireline broadband and related services. The Company also provides customer services, including phone bill enquiry, among others. The Company mainly operates businesses in Mainland China."
3,2331.HK,"Li Ning Company Limited is principally engaged in brand development, design, manufacture and sale of sport-related footwear, apparel, equipment and accessories in the People’s Republic of China (the PRC). The Company is also engaged in the manufacture, development, marketing, distribution and sales of sports products under several other brands, including Double Happiness (table tennis), AIGLE (outdoor sports) and Lotto (sports fashion). Through its subsidiaries, the Company is also engaged in the provision of information technology service."
4,0175.HK,"Geely Automobile Holdings Ltd is an investment holding company principally engaged in the production and sales of automobiles. The Company mainly develops, manufactures and sells automobiles, including cars, sport utility vehicles (SUVs), new energy and electrified vehicles. The Company's car types include home, travel and sports. The Company's new energy and electrified vehicles include electric vehicles, battery electric vehicles, hybrid electric vehicles, mild hybrid electric vehicles and plug-in hybrid electric vehicles. In addition, the Company produces and sells automobile parts and related automobile components. The Company also sells licenses for its intellectual property."
5,0002.HK,"CLP Holdings Limitedis an investment holding company mainly engaged in the generation and supply of electricity. The Company operates a portfolio of generating assets, harnessing a wide range of fuels including coal, gas, nuclear, wind, hydro and solar. Its business also includes transmission and distribution, and electricity and gas retail activities. Along with subsidiaries, the Company operates its business through five segments: the Hong Kong segment, the Mainland China segment, the India segment, the Southeast Asia and Taiwan segment, and the Australia segment. The Hong Kong segment operates a vertically-integrated regulated business. It is involved of generation, distribution and provision of electricity supply."
6,0388.HK,"Hong Kong Exchanges and Clearing Limited is principally engaged in the operation of stock exchanges. The Company operates through five business segments. The Cash segment includes various equity products traded on the Cash Market platforms, the Shanghai Stock Exchange and the Shenzhen Stock Exchange. The Equity and Financial Derivatives segment includes derivatives products traded on Hong Kong Futures Exchange Limited (HKFE) and the Stock Exchange of Hong Kong Limited (SEHK) and other related activities. The Commodities segment includes the operations of the London Metal Exchange (LME). The Clearing segment includes the operations of various clearing houses, such as Hong Kong Securities Clearing Company Limited, the SEHK Options Clearing House Limited, HKFE Clearing Corporation Limited, over the counter (OTC) Clearing Hong Kong Limited and LME Clear Limited. The Platform and Infrastructure segment provides users with access to the platform and infrastructure of the Company."
7,0003.HK,"The Hong Kong and China Gas Company Limited is a company principally engaged in production, distribution and marketing of gas, water supply. The Company operates through four segments: the Gas, Water and Related Businesses segment, the New Energy segment, the Property segment, and the Other segments. The Gas, Water and Related Businesses segment is engaged in the gas, water and related businesses including utility businesses in Mainland China, and Hong Kong gas business. Utility businesses in Mainland China include city gas operations, construction of natural gas pipelines and natural gas storage facilities, water supply and wastewater operations. In addition, it also manufactures and sells home appliances, kitchen furnishings, and household goods. Hong Kong gas business includes production, distribution and sales of gas to residential and commercial markets."
8,9988.HK,"Alibaba Group Holding Ltd is a holding company that provides the technology infrastructure and marketing reach to help merchants, brands and other businesses to leverage the power of new technology to engage with users and customers to operate. The Company operates four business segments. The Core Commerce segment provides China retail, China wholesale, International retail, International wholesale, Cainiao logistics services and local consumer services through Taobao Marketplace and Tmall. The Cloud Computing segment provides complete suite of cloud services, including database, storage, network virtualization services, big data analytics and others. The Digital Media and Entertainment segment provides consumer services beyond the core business operations. The Innovation Initiatives and Others segment is to innovate and deliver new services and products."
9,1113.HK,"CK Asset Holdings Limited, formerly Cheung Kong Property Holdings Limited is an investment holding company mainly engaged in the property businesses. The Company is involved in the property development, property Investment, hotel and serviced suite operation, property and project management. In addition, the Company is engaged in aircraft leasing. The Company operates its business in Hong Kong, The Mainland, and Singapore."
10,0968.HK,"Xinyi Solar Holdings Limited is an investment holding company principally engaged in the manufacturing and sale of solar glass. Along with subsidiaries, the Company operates its business through three segments. The Sales of Solar Glass segment is involved in the production and sale of solar glass products. The solar glass products include ultra-clear processed glass (PV) raw glass, as well as other PV processed glass such as ultra-clear PV tempered glass, ultra-clear PV anti-reflective coating glass and back glass. The Solar Farm and Solar Power Generation segment is involved in the operation of utility-scale ground mounted solar farms. The Engineering Procurement and Construction (EPC) Services segment is engaged in the provision of EPC services for solar farms."
11,2018.HK,"AAC Technologies Holdings Inc. is an investment holding company principally engaged in the manufacture and sale of miniaturized acoustic components. The Company’s main products include speaker boxes, speakers, receivers and Micro Electro-Mechanical System (MEMS) microphones. The Company’s products are applied in smart phones, tablets, wearables and notebooks. The Company also delivers integrated solutions, including haptics vibrators, Radio Frequency (RF) Mechanical and optical components. The Company distributes its products in domestic market and to overseas markets."
12,0011.HK,"Hang Seng Bank Ltd is a company principally engaged in the commercial banking business. The Company operates its business through four segments. The Wealth and Personal Banking segment engages in provision of personal banking, consumer lending, time deposits, mortgages and personal loans, credit cards, insurance and wealth management services. The Commercial Banking segment engages in the corporate lending, trade and receivable finance, payments and cash management, treasury and foreign exchange, general insurance, key-person insurance, investment services and corporate wealth management. The Global Banking and Markets segment provides tailored financial solutions. The Other segment engages in the properties, equity shares investment."
13,2269.HK,"WuXi Biologics Cayman Inc is an investment holding company principally engaged in provision of discovery, development and manufacturing of biologics services. The Company's technology platforms include WuXiBody TM bispecific antibody technology platform and antibody drug conjugates (ADC) technology platform. It has brought in several new projects into its pipeline. The Company has a vaccine manufacturing facility and produces vaccines for customers to supply the global market. The Company conducts its businesses within the China market and to overseas markets, such as North America, Europe and other markets."
14,0001.HK,"CK Hutchison Holdings Limited is a conglomerate operating diverse businesses in many countries around the world. The Company operates its business through four segments. Ports and Related Services segment operates ports and terminals in Asia, the Middle East, Africa, Europe, the Americas and Australia. Retail segment operates various health and beauty chains in Europe and Asia. It also operates supermarkets, consumer electronics as well as bottled water and beverage products manufacturing and sale in Hong Kong and Mainland China. Infrastructure segment has diversified investments in energy, transportation, water, waste management, waste-to-energy, household infrastructure and infrastructure related businesses all around the world. Telecommunications segment operates telecommunications services, offering a wide range of telecommunications and digital services in Europe, Asia and Australia."
15,0688.HK,"China Overseas Land & Investment Ltd. is a Hong Kong-based investment holding company principally engaged in property businesses. The Company operates its businesses through three segments. The Property Development segment is engaged in the development of residential and commercial properties. The Property Investment segment is engaged in the investment in properties for rental. Other Operations segment is engaged in the provision of real estate management services, as well as construction and building design consultancy services."
16,6862.HK,"Haidilao International Holding Ltd is a China-based company principally engaged in the restaurant operation business. The Company is mainly engaged in the operation of hotpot chain restaurants under the brand of Haidilao. The Company is also involved in the takeaway business, as well as the sales of condiments and ingredients. The Company operates its businesses mainly in the domestic market."
17,0017.HK,"New World Development Co Ltd is an investment holding company mainly engaged in the property development. The Company operates its business through eight segments. The Property Development segment engages in the construction of the residential units, including MOUNT PAVILIA, The Masterpiece, FLEUR PAVILIA and the Double Cove series, among others. The Construction segment constructs commercial and residential projects, and government and institutional related projects. The Insurance segment sells life insurance and medical insurance products. The Property Investment segment engages in the property investment, its property investment portfolio includes commercial buildings and offices. The Roads segment operates toll roads and expressways. The Hotel Operations segment operates hotel business in China and Southeast Asia. The Aviation segment engages in commercial aircraft leasing business. The Other segment is engaged in facility management and free duty business."
