,Instrument,Business Description
0,SAN.MC,"Banco Santander, S.A. is a Spain-based company engaged as a retail and commercial bank. The Banks segments include Continental Europe, the United Kingdom, Latin America and the United States. The Continental Europe segment covers all businesses in the Continental Europe. The United Kingdom segment includes the businesses developed by various units and branches in the country. The Latin America segment embraces all its financial activities conducted through its banks and subsidiaries in the region. The United States segment includes the Intermediate Holding Company (IHC) and its subsidiaries Santander Bank, Banco Santander Puerto Rico, Santander Consumer USA, Banco Santander International, Santander Investment Securities, and the Santander branch in New York. The Company's commercial model satisfies the needs of all types of customers: individuals with various income levels."
1,ICAG.MC,"International Consolidated Airlines Group, S.A. is an airline company that holds the interests in airline and ancillary operations. Its segments include British Airways, Iberia, Vueling, Aer Lingus and Other Group companies. It combines the airlines in the United Kingdom, Spain and Ireland. It has approximately 573 aircrafts to over 268 destinations. The Company operates various aircraft fleet services, including Airbus A318, Airbus A319, Airbus A340-600, Boeing 787-800, Embraer E190 and Boeing 777-200, among others. The Company, through its subsidiaries, is engaged in providing airline marketing, airline operations, insurance, aircraft maintenance, storage and custody services, air freight operations and cargo transport services. The Company offers its services in cities, including London, Madrid, Barcelona, Rome and Dublin. The Company's brands include British Airways, Iberia, LEVEL, Vueling, Aer Lingus, IAG Cargo and Avios."
2,AMA.MC,"Amadeus IT Group SA, formerly Amadeus IT Holding SA, is a Spain-based company engaged in the provision of information technology (IT) services primarily for the tourism and travel industries. The Company’s activities are divided into two business segments: Distribution and IT Solutions. The Distribution division offers Global Distribution System (GDS), a worldwide computerized reservation system (CRS) used as a single point of access for booking airline seats, hotel rooms and other travel-related services by travel agencies and travel management companies. The IT Solutions division provides a range of technology solutions that automate core processes for travel providers. Its customers include full service carriers and low-cost airlines, hotel managers, rail operators, cruise and ferry operators, travel insurers and car rental companies, among others. The Company operates through numerous subsidiaries in Europe, the Americas, Asia, Africa and Australia."
3,AENA.MC,"Aena SME SA, formerly Aena SA, is a Spain-based company primarily engaged in the airports operation. Its activities are divided into four segments: Airports, which comprises Aeronautical subdivision, responsible for the management of airports, jetways, security, handling, cargo and fuel services, among others, as well as Commercial subdivision, including duty-free and specialty stores, restaurant services, car rental, as well as banking services and advertising; Services outside the terminal, which manages real estate assets, such as parking lots, warehouses and lands; International, which comprises operations of Company’s subsidiary, Aena Desarrollo Internacional SA, that invests in other airport owners principally in Mexico, Colombia and the United Kingdom; and Others, encompassing corporate activities. It manages tourism, hub and regional airports, as well as heliports and general aviation areas. Furthermore, its destination range comprises Europe, the Americas, Asia and Africa."
4,TEF.MC,"Telefonica, S.A. is an integrated and diversified telecommunications group operating in Europe and Latin America. The Company's services and products include Mobile business, Fixed-line telephony business and Digital services. Its segments include Telefonica Spain, Telefonica Brazil, Telefonica Germany, Telefonica United Kingdom and Telefonica Hispanoamerica (formed by the Company's operators in Argentina, Chile, Peru, Colombia, Mexico, Venezuela, Ecuador and Uruguay). These segments are engaged in activities relating to wireline, wireless, cable, data, Internet and television (TV) businesses and other digital services in accordance with each location. It offers a range of mobile and related services and products to personal and business customers. It offers traditional fixed telecommunication services, Internet and broadband multimedia services and data and business-solutions services. It offers a range of digital services, such as Internet of Things (IoT)."
5,ELE.MC,"Endesa SA is a Spain-based holding company engaged in the business of electricity and gas generation, distribution, and sale, as well as related services. Its segments include Generation, along with Supply; Distribution, and Structure, including the balances and transactions of holding companies and financing companies. It is engaged in electricity business in its industrial and commercial areas. It is also engaged in the exploitation of primary energy resources; the provision of industrial services, particularly in the areas of telecommunications, water and gas, and investing in other companies. It generates, distributes and sells electricity mainly in Spain and Portugal. It also supplies electricity and gas to other European markets, in particular Germany, France, Belgium and the Netherlands, from its platform in Spain and Portugal. It is engaged in supplying value added services and products to customers. It distributes electricity to the consumption points."
6,ENAG.MC,"Enagas SA is a Spain-based company primarily engaged in the gas transportation. The Company's activities are divided into three business segments: Infrastructure, Technical management and Unregulated activities. The Infrastructure division is structured into three areas: Gas transport, which offers gas transmission through pipelines network; Regasification, which transforms liquefied natural gas (LNG) into gas form and stores it in cryogenic tanks, and Storage, which operates underground natural gas storage facilities. The Technical management division focuses on coordinating the access, storage, transportation and distribution process, maintaining gas infrastructure and ensuring the continuity and security of gas supply. The Unregulated activities division includes deregulated operations and transactions. The Company is present in a number of countries, such as Spain, Greece, Albania, Italy, Mexico, Chile and Peru."
7,ACS.MC,"Acs Actividades de Construccion y Servicios SA, formerly ACS Actividades de Construccion y Servicios SA, is a Spain-based holding company primarily engaged in the construction and engineering sector, as well as communications. The Company's business is divided into three segments: Construction, which includes civil construction works, residence and non-residential building, concession activity, mining and real estate; Industrial Services, involved in engineering, installation and maintenance of industrial infrastructure in energy, communication and controlling system sectors; and Environment, which comprises such services as street cleaning, waste collection and transportation, waste recycling, commercial and industrial management of water circulation and urban gardening."
8,REP.MC,"Repsol, S.A. (Repsol) is an integrated energy company. The Company's segments include Upstream, Downstream, and Corporation and others. The Upstream segment carries out oil and natural gas exploration and production activities, and manages its project portfolio. The Downstream segment includes covers the supply and trading of crude oil and other products; oil refining and marketing of oil products, and the production and marketing of chemicals. It owns and operates five refineries in Spain (Cartagena, A Coruna, Bilbao, Puertollano and Tarragona) with a combined distillation capacity of approximately 900 thousand barrels of oil per day. The Company operates La Pampilla refinery in Peru, which has an installed capacity of approximately 120 thousand barrels of oil per day. Its Chemicals division produces and commercializes a range of products, and its activities range from basic petrochemicals to derivatives."
9,SGREN.MC,"Siemens Gamesa Renewable Energy SA, formerly Gamesa Corporacion Tecnologica SA, is a Spain-based company engaged in the renewable energy equipment manufacture. The Company specializes in the promotion and development of wind farms, as well as the engineering, design, production and sale of wind turbines. Its activities are divided into two business segments: Wind Turbines and Operation and maintenance (O&M). The Wind Turbines division offers wind turbines for various pitch and speed technology, as well as provides development, construction and sale of energy plants. The O&M division is responsible for the management, monitoring and maintenance of wind farms. In addition, through Gamesa Electric, the Company develops electronic equipment, such as power station inverters, electrical system components, motors and generators, as well as drives and converters. It operates through numerous subsidiaries in Spain, Brazil, Mexico, India, China and the United States, among others."
