,Instrument,Business Description
0,SKG.I,"Smurfit Kappa Group plc is a provider of paper-based packaging products. The Company manufactures, distributes and sells containerboard, corrugated containers and other paper-based packaging products. It operates through two segments: Europe and the Americas. The Europe segment includes a system of mills and plants that produces a line of containerboard that is converted into corrugates containers. In addition, to other types of paper-based packaging and bag-in-box operations. The Americas segment, which includes forestry and other types of paper, such as boxboard, sack paper and graphic paper, and paper-based packaging, such as folding cartons and paper sacks."
1,FBH.I,"FBD Holdings plc is an Ireland-based holding company. The Company's principal activities are underwriting of general insurance business and financial services. The Company's segments include underwriting and financial services. It is a property and casualty insurer catering to farmers, private individuals and business owners. The Company's financial services operations include premium instalment services and life, pension and investment broking. The Company offers car insurance, home insurance, business insurance and farm insurance. In addition to insurance, the Company offers advice to both individuals and businesses. It provides business insurance for shop; pub; manufacturers, distribution and wholesale; restaurant, cafe and takeaway; commercial vehicle insurance, and motor fleet. The Company provides farm insurance for farm dwelling house and contents, outbuildings and stock, personal accident cover, livestock cover, and tractor and other farm machinery."
2,CRN.I,"Cairn Homes plc is an Ireland-based homebuilder company. The Company's principal activity is constructing new homes. It operates through the building and property development segment. The Company acquires Greenfield or brownfield sites in Ireland that are suitable for residential development, with an emphasis on Dublin and the Dublin commuter belt, as well as other urban centers. The Company's portfolio of developments includes Parkside, which is situated between the Malahide Road and Fr. Collins Park, over 10 kilometers from Dublin city center comprising over 50 acres; Marianella, which is located in the suburb of Rathgar, approximately 4.2 kilometers south of Saint Stephen's Green in Dublin city center; Hanover Quay, which is located in the South Dublin docklands Strategic Development Zone, and Cherrywood, which includes the construction of a retail-led, mixed use town center and over 3,800 apartments and houses."
3,DQ7A.I,"Donegal Investment Group plc is engaged in the business of development, purchase and sale of seed potatoes, the manufacture, sale and distribution of farm inputs and dairy products. The Company's segments include Produce, Food-Agri and Property, and Associates. The Produce segment includes the growth, sales and distribution of seed potatoes and organic produce. The Produce segment comprises the seed potato business IPM Potato Group (IPM), AJ Allan in Scotland, Donegal Potatoes and An Grianan Grain. The Food-Agri and Property segment is engaged in the manufacture, sale and distribution of farm inputs and dairy products, and rental and sale of property assets. The Associates segment includes the Company's investments in Monaghan Middlebrook Mushrooms, North Western Livestock Holdings and Leapgrange. Its specialty dairy business produces a range of dairy-based yogurt products. The Company's geographical segments include Island of Ireland, Europe and the Rest of the World."
4,FDPF.I,"FD Technologies plc, formerly First Derivatives plc, is engaged in the consulting, business services and technology. The Company is focused on data-driven businesses that unlock the value of insight, hindsight, and foresight to drive organizations. It enables to provide end-to-end solutions for customers. The Company’s segments include KX, First Derivative and MRP. The KX segment offers technology for real-time intelligence, deployable for edge, cloud and on-premise use cases. KX comprises the financial technology and industry segments of software and services. Its First Derivative segment is a provider of products and consulting services to the capital markets industry. It supports institutions in designing, developing, implementing and supporting a range of mission critical data and trading systems across front, middle and back-office operations. The Company’s MRP segment is a platform for enterprise-class predictive accounts-based marketing (ABM) solutions."
5,ORM.I,"Ormonde Mining PLC is an Ireland-based mineral resource company. The Company is engaged in acquisition, exploration and development of mineral resource projects in Spain. The Company operated projects are Salamance and Zamora Gold and La Zarza project. The Company’s Salamanca-Zamora project is located in Castilla y Leon Region of Western Spain. The Company holds interests in two permits Peralonso Gold Prospect and Cabeza de Caballo Gold in the Salamanca Province approximately 69 square kilometers (km), and two permits in the Zamora Province Pino de Oro Gold Project approximately 37 square km. The La Zarza project located in the prolific Iberian Pyrite Belt, which covers a polymetallic massive sulfide body dominated by pyrite but containing zones of copper, zinc and gold mineralization."
6,OVB.I,"Ovoca Bio plc (Ovoca) is an Ireland-based biopharmaceutical company. The Company is focused on identifying and developing therapeutics targeting the treatment of female sexual dysfunction. The Company’s product BP101 is a synthetic peptide, administered through a nasal spray that is being developed for the treatment of female sexual dysfunction-hypoactive sexual desire disorder (HSDD)."
7,AIBG.I,"AIB Group PLC is a financial services company. The Company provides a range of services to retail, business and corporate customers. Its segments include Retail Banking; Corporate, Institutional & Business Banking (CIB) and AIB UK. Retail Banking includes business lines, including mortgages, consumer lending, SME lending, asset-backed lending, wealth management, daily banking and general insurance. CIB provides institutional, corporate and business banking services. CIB serves customers through sector specialist teams including, corporate banking; real estate finance; business banking and energy; climate action and infrastructure. AIB UK offers retail and business banking services. It includes a corporate and commercial bank supporting businesses in Great Britain (Allied Irish Bank (GB)) and a retail and business bank in Northern Ireland (AIB (NI))."
8,HBRN.I,"Hibernia REIT plc (Hibernia) is a real estate investment trust (REIT). The Company is engaged in property investment, primarily commercial properties in the Irish Dublin market. The Company operates through six segments, including Office assets, Industrial assets, Residential assets, Office Development assets, Other assets, and Central assets and costs. The Company has approximately 32 properties. The Company has approximately 53 tenants. The Company's projects include One Dockland Central (1DC); Guild House (2DC); The Forum; 1 Sir John Rogerson's Quay (1 SJRQ); The Observatory Building; 1 Windmill Lane (1 WML); The Hanover Building; 11 Lime Street; 8-12 Hanover Street East; Central Quay; South Dock House; Cumberland House; Marine House; 1 Earlsfort Terrace; Hardwicke House; Montague House; Harcourt Square; 39 Harcourt Street; 35-37 Camden Street; The Chancery Building; Cannon Place; Dundrum View; Block 3, Wyckham Point, and Gateway Site."
9,BIRG.I,"Bank of Ireland Group plc is an Ireland-based financial services company. The Company provides a broad range of banking and other financial services. Its services include current account and deposit services, overdrafts, term loans, business and corporate lending, international asset financing, leasing, installment credit, invoice discounting, foreign exchange facilities, interest and exchange rate hedging instruments, life assurance, pension and protection products. It operates through five operating segments: Retail Ireland, Bank of Ireland Life, Retail UK, Corporate and Treasury and Group Centre. It operates through approximately 250 branches and approximately 1,750 self-service devices in the Republic of Ireland. The Company also operates in the United Kingdom through approximately 11,500 branches and approximately 2,500 ATMs via the Company’s relationship as financial services partner with the United Kingdom Post Office. It also operates in the United States and European markets."
