,Instrument,Business Description
0,AFKS.MM,"AFK Sistema PAO is a Russia-based diversified holding company operating primarily in Russia and the Commonwealth of Independent States. The investments of the Company comprises stakes in Russian businesses in a range of sectors, including telecommunications, electric power, real estate, retail, high technology, paper and packaging, pharmaceutical, medical and healthcare services, agriculture, finance services, hospitality and tourism, among other industries. It invests in a range of private and public companies. The Company's investment portfolio includes MTS, Segezha Group, Agroholding STEPPE, Medsi, RTI and MTS Bank, among others."
1,SBER.MM,"Sberbank Rossii PAO is a Russia-based company, which is primarily focused on the financial services industry. The Company operates as a commercial bank and provides services to individual and corporate clients. Its offerings for individual clients include deposits, credit cards issuing, money transfers, depositary cells, consumer loans, mortgages, utility payments, online banking, mutual funds, among others. The Company's corporate products portfolio includes corporate loans, asset management, payroll projects, leasing, online banking, cash and settlement services, among others. In addition, the Company offers a wide range of services to financial institutions, such as correspondent accounts, custody services, and interbank lending, among others."
2,TATN_p.MM,"Tatneft' PAO is a subsurface user, operator and supplier of oil and gas resources, and manufacturer of petrochemical products. The Company operates through three segments: Exploration and production; Refining and marketing, and Petrochemical products. The Exploration and production segment consists of exploration, development, extraction and sale of own crude oil. The Refining and marketing segment consists of purchases and sales of crude oil and refined products from third parties, own refining activities and retailing operations. The Petrochemical products segment consists of production and sales of tires, and petrochemical raw materials and refined products, which are used in production of tires. The Company and its subsidiaries are engaged in crude oil exploration, development and production principally in the Republic of Tatarstan. The Company is also engaged in refining and marketing of crude oil and refined products, as well as production and marketing of petrochemicals."
3,GMKN.MM,"GMK Noril'skiy nikel' PAO is a Russia-based mining and metallurgical enterprise. The Company is engaged in the exploration, extraction, refining of ore and nonmetallic minerals, and sale of base and precious metals produced from ore, such as gold, silver, nickel, palladium, platinum, rhodium, cobalt and others. The Company's operating segments include GMK Group, which includes mining and metallurgy operations, energy, repair and maintenance services located at Taimyr Peninsula; Group KGMK, which includes mining and metallurgy operations, energy, exploration activities located at the Kola Peninsula; Norilsk Nickel Harjavalta, which includes refinery operations located in Finland; other metallurgical, which includes other metallurgy operations and exploration activities, and other non-metallurgical, such as trading, supply chain management, transport services, energy and utility, research and other activities located in Russia and abroad."
4,ROSN.MM,"NK Rosneft’ PAO (Oil Company Rosneft PJSC) is a Russia-based company engaged in exploration, development, production and sale of crude oil and gas, as well as refining, transportation and sale of petroleum products. It has three business segments. The exploration and production segment is engaged in field exploration and development, and production of crude oil and natural gas. The refining, marketing and distribution segment is engaged in processing crude oil and other hydrocarbons into petroleum products, as well as the purchase, sale and transportation of oil and oil products. It has numerous subsidiaries and affiliated companies. The Company operates domestically and abroad."
5,POGR.MM,"Petropavlovsk PLC is a gold mining company. The Company operates gold mines in Russia. The Company's segments include Pioneer, Pokrovskiy, Malomir and Albyn hard-rock gold mines, and Corporate and other segment. The Pokrovskiy, Pioneer, Malomir and Albyn hard-rock gold mines are engaged in gold and silver production, as well as field exploration and mine development. Its other projects include Visokoe and Tokur assets, which are at an advanced stage of development. Pioneer is located on the south side of the Mongolo-Okhotskiy fold/thrust line. Albyn mine has a total project area of approximately 1,160 square kilometers. Pokrovskiy is located on the south side of the Mongolo-Okhotskiy regional belt, approximately 40 kilometers south of Pioneer. Malomir is in the north east of the Amur region, approximately 670 kilometers from Pokrovskiy."
6,MGNT.MM,"Magnit PAO is a Russia-based holding company, which operates in the retail and distribution of consumer goods under the Magnit name. The Company’s activity is divided into one segment: retail sales of consumer goods. Its segment operates through four types of stores and in various states within the Russian Federation: Convenience stores; Hypermarkets; Magnit Family and Drogerie stores. The Company offers a wide range of products, such as food and tobacco products, clothes, shoes, as well as personal care, household cleaning products, cosmetics and perfumery goods. Additionally, the Company operates an in-house logistics system consisting over than 37 distribution centers, which are located in the Volga Federal region, Central Federal region, Southern Federal region, Urals region and in the North-West Federal region. It also operates as wholesale hypermarkets and pharmacies, including pharmacies integrated into drogerie stores."
7,TRNF_p.MM,"Transneft' PAO, also known as AK Transneft' OAO (Aktsionernaya kompaniya po transportu nefti Transneft’ AK or Transneft OJSC) is a Russia-based company engaged in the oil and gas transportation industry. It operates approximately 70 000 kilometers of pipelines and more than 500 pump stations. The Company operates such oil transport systems as Baltic Pipeline System, Baltic Pipeline System-2, Eastern Siberia-Pacific Ocean Oil Pipeline and Purpe-Samotlor Pipeline System, among others. Transneft' PAO offers its services on both domestic and foreign markets, including Poland, Hungary, Slovakia, Latvia, China, Uzbekistan, Belarus and others. The Company also has numerous subsidiaries located domestically."
8,FIXPDR.MM,"Fix Price Group Ltd is a holding company based in Russia. The company operates through it's subsidiaries as variety value retailers, in Russia operating under the trade mark Fix Price. The Company's operations are conducted through a chain of convenience stores located in Russian Federation, Belarus, Kazahstan and Uzbekistan. The Company is also engaged in wholesale operations by servicing a franchisees."
9,SBER_p.MM,"Sberbank Rossii PAO is a Russia-based company, which is primarily focused on the financial services industry. The Company operates as a commercial bank and provides services to individual and corporate clients. Its offerings for individual clients include deposits, credit cards issuing, money transfers, depositary cells, consumer loans, mortgages, utility payments, online banking, mutual funds, among others. The Company's corporate products portfolio includes corporate loans, asset management, payroll projects, leasing, online banking, cash and settlement services, among others. In addition, the Company offers a wide range of services to financial institutions, such as correspondent accounts, custody services, and interbank lending, among others."
10,NLMK.MM,"Novolipetsk Steel PAO is a Russia-based vertically integrated steel company. Novolipetsk Steel PAO produces a wide range of flat and long steel products, including slabs, hot-rolled and cold-rolled sheet, galvanized, pre-painted and electrical steel, rebar and metal ware. The Company’s products are used in a variety of industries, from construction and machine-building to the manufacture of power generation equipment and offshore windmills. Its crude steel production capacity is over 17 million tons per year. All Company’s mining assets are located domestically, as well as 94% of its steelmaking capacities. In addition, Novolipetsk Steel PAO's rolling assets are located in the Russian Federation (56%), Europe (25%) and the United States (19%)."
11,YNDX.MM,"Yandex N.V. is an Internet and technology company, and operates Internet search engine. The Company's segments include Search and Portal, E-commerce, Taxi, Classifieds and Experimental businesses. The Company's Search and Portal segment offers a range of services in Russia, Ukraine, Belarus and Kazakhstan, among which are search, location-based, personalized and mobile services, that enable the Company's users to find relevant and objective information to communicate and connect over the Internet, from both their desktops and mobile devices. The Company's search engine offers access to a range of information available online. The Company's Yandex.Market gives retailers a platform to reach customers seeking specific retailer, product or price information. As of December 31, 2016, Yandex.Taxi was operating in 46 cities across Russia, Georgia, Armenia, Kazakhstan, Belarus and Ukraine. The Company's Classifieds business unit includes Auto.ru, Yandex.Realty, Yandex.Jobs and Yandex.Travel."
12,TATN.MM,"Tatneft' PAO is a subsurface user, operator and supplier of oil and gas resources, and manufacturer of petrochemical products. The Company operates through three segments: Exploration and production; Refining and marketing, and Petrochemical products. The Exploration and production segment consists of exploration, development, extraction and sale of own crude oil. The Refining and marketing segment consists of purchases and sales of crude oil and refined products from third parties, own refining activities and retailing operations. The Petrochemical products segment consists of production and sales of tires, and petrochemical raw materials and refined products, which are used in production of tires. The Company and its subsidiaries are engaged in crude oil exploration, development and production principally in the Republic of Tatarstan. The Company is also engaged in refining and marketing of crude oil and refined products, as well as production and marketing of petrochemicals."
