,Instrument,Business Description
0,CJJD.OQ,"China Jo-Jo Drugstores Holdings Inc is a China-based retailer and distributor of pharmaceutical and other healthcare products. The Company operates in four business segments. The Retail Drugstores segment sells prescription and over the counter (OTC) medicines, traditional Chinese medicine (TCM), dietary supplements, medical devices, and sundry items to retail customers. The Online Pharmacy segment sells OTC drugs, dietary supplements, medical devices and sundry items through its own and third-party platforms. The Drug Wholesale segment includes supplying the Company’s own retail drugstores and selling them to other drug vendors and hospitals. The Herb Farming segment cultivates selected herbs for sales to other drug vendors. The Company is also involved in online sales and clinic services."
1,MMMB.OQ,"MamaMancini's Holdings, Inc. is a manufacturer and distributor of beef meatballs with sauce, turkey meatballs with sauce, and other similar meats and sauces. The Company is engaged in marketing a line of all-natural specialty prepared, frozen and refrigerated foods. Its primary products include beef and turkey meatballs, meat loaf, chicken, sausage-related products and pasta entrees, all with slow cooked Italian Sauce. In addition, the Company continues to diversify its product line by introducing new products, such as ready to serve dinners, single-size Pasta Bowls, bulk deli, packaged refrigerated and frozen products. The products are also sold in the frozen food and fresh meat sections. The Company’s customers are located throughout the United States, with concentrations in the Northeast and Southeast."
2,ELYM.OQ,"Eliem Therapeutics, Inc. is a clinical-stage biotechnology company. The Company focuses on developing therapies for neuronal excitability disorders that addresses unmet needs in chronic pain, psychiatry, epilepsy, and other disorders of the peripheral and central nervous systems. The Company offers two lead clinical-stage candidates: ETX-810 and ETX-155. ETX-810 is a palmitoylethanolamide (PEA) prodrug developed for the treatment of diabetic peripheral neuropathic pain (DPNP) and pain associated with lumbosacral radiculopathy (LSRP). ETX-810 is being evaluated in two Phase II a clinical trial. ETX-155 is a neurosteroid gamma-aminobutyric acid type A (GABAA) receptor positive allosteric modulator (PAM) developed for major depressive disorder (MDD), perimenopausal depression (PMD) and focal onset seizures (FOS). The Company provides two programs in addition to its clinical candidates, namely Kv7.2/3 program and anxiolytic."
3,TASK.OQ,"TaskUs, Inc., is a digital outsourcing company. The Company is focused on serving high-growth technology companies to represent, protect and grow their brands. The Company's omni-channel delivery model is focused on providing its clients three key services: digital customer experience, content security and artificial intelligence (AI) operations. Digital Customer Experience principally consists of omni-channel customer care services. Content Security consists of review and disposition of user and advertiser generated content. AI Operations principally consists of data labeling, annotation and transcription services. The Company has approximately 100 clients spanning various industry segments within the Digital Economy, including social media, e-commerce, gaming, food delivery and ride sharing, health information technology (HiTech) and financial technology (FinTech). It also offers back office supports, customer experience consulting, and business process optimization services."
4,FANG.OQ,"Diamondback Energy, Inc. is an independent oil and natural gas company. The Company focuses on the acquisition, development, exploration and exploitation of unconventional onshore oil and natural gas reserves in the Permian Basin in West Texas. As of December 31, 2016, the Company's total net acreage position in the Permian Basin was approximately 105,894 net acres. As of December 31, 2016, the Company, through its subsidiary, Viper Energy Partners LP (Viper), owned mineral interests underlying approximately 107,568 gross acres primarily in Midland County, Texas in the Permian Basin. The Permian Basin area covers a portion of western Texas and eastern New Mexico. The Company's reserves are located in the Permian Basin of West Texas, in particular in the Clearfork, Spraberry, Wolfcamp, Cline, Strawn and Atoka formations. The Company refers to the Clearfork, Spraberry, Wolfcamp, Strawn and Atoka formations collectively as the Wolfberry play."
5,PHAT.OQ,"Phathom Pharmaceuticals, Inc. is a late clinical-stage biopharmaceutical company, which is focused on developing and commercializing treatments for gastrointestinal (GI) diseases. The Company’s pipeline product candidate, vonoprazan is an oral small molecule potassium-competitive acid blocker (P-CAB). P-CABs are a class of medicines that block acid secretion in the stomach. Vonoprazan is effects and has demonstrated clinical benefits in the treatment of gastroesophageal reflux disease (GERD), and in combination with antibiotics for the treatment of Helicobacter pylori (H. pylori) infection. GERD and H. pylori infection are acid-related GI diseases and impact millions of people. GERD is a disease that develops when the reflux of acidic stomach contents causes troublesome symptoms and/or complications. Approximately 30% of GERD patients have erosive esophagitis. H. pylori is a bacterial pathogen."
6,FRAF.OQ,"Franklin Financial Services Corporation is a bank holding company. The Company conducts business through its banking subsidiary, Farmers and Merchants Trust Company of Chambersburg (the Bank). The Bank is a chartered commercial bank and trust company. The Bank is engaged in general commercial, retail banking and trust services associated with community banks. The Bank offers a range of banking services to businesses, individuals, and governmental entities. These services include accepting and maintaining checking, savings, and time deposit accounts, providing investment and trust services, making loans, providing safe deposit facilities and many others. The Bank's investment and trust services department offers personal and corporate trust services associated with community bank trust departments, including estate planning and administration, corporate and personal trust fund management, pension, profit sharing and other employee benefit funds management, and custodial services."
7,OMP.OQ,"Oasis Midstream Partners LP is a master limited partnership company. The Company owns, develops, operates and acquires a diversified portfolio of midstream assets in North America that are integral to the oil and natural gas operations exclusively within the Williston Basin. The Company’s midstream operations are performed within the Williston Basin and the Delaware Basin. The Company’s midstream services include gas gathering, compression, processing, gas lift supply and natural gas liquids (NGLs) storage services; crude oil gathering, terminaling and transportation services; produced and flowback water gathering and disposal services, and freshwater supply and distribution services. The Company’s subsidiaries include Bighorn DevCo LLC, Bobcat DevCo LLC, Beartooth DevCo LLC and Panther DevCo LLC."
8,QTRX.OQ,"Quanterix Corporation develops ultra-sensitive digital immunoassay platform and tools for life science research and diagnostics. The Company offers single molecule array (Simoa) platform, which uses single molecule measurements to detect protein biomarkers. The Company is also focusing to enable and develop novel therapies and diagnostics to facilitate in healthcare for earlier detection, monitoring, prognosis and, ultimately, prevention of disease. Simoa focuses on research and clinical testing applications and significantly advances enzyme-linked immunosorbent assay (ELISA) technology which is capable of unprecedented protein detection sensitivity. It also focuses on research and diagnostics for brain injuries, heart disease, cancer and other infectious diseases with its technology. The Company offers Simoa HD-1 analyzer, which is an automated immunoassay platform with multiplexing and custom assay capability."
9,SDAC.OQ,"Sustainable Development Acquisition I Corp is a blank check company. The Company is formed for the purpose of effecting a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses or entities. The Company has not selected any specific business combination target. The Company intends to identify, acquire and operate a business that helps to address the global challenges identified by the United National Sustainable Development Goals (UN SDGs)."
