,Instrument,Business Description
0,6857.T,"ADVANTEST CORPORATION is a Japan-based company mainly engaged in the manufacture and sale of semiconductor and component test system products and mechatronics related products, as well as the related research, development and maintenance services business. The Company operates in three business segments. The Semiconductor and Component Test Systems segment is engaged in the provision of test system products such as System on Chip (SoC) test systems and memory test systems for semiconductor and electronic parts industries. The Mechatronics Related segment is engaged in the provision of test handlers, device interfaces and nanotechnology related products. The Services and Others segment is engaged in the provision of customer solutions, system level test solutions such as Solid State Drives (SSDs), and support services, as well as the used products sale business and the equipment leasing business."
1,8267.T,"AEON CO., LTD. is a pure holding company that develops comprehensive finance, developers, services and other businesses in a complex manner, focusing on retail businesses centered on the general merchandise stores (GMS) business. The Company operates in seven business segments. The GMS segment mainly operates general supermarkets, boxed lunch specialty shops. The Supermarket (SM) segment operates supermarkets, discount stores, convenience stores and small supermarkets. The Health & Wellness segment operates drug stores, dispensing pharmacies. The Integrated Financial segment operates the credit card business, fee business, banking business, among others. The Developer segment develops and leases shopping centers. The Service and Specialty Store segment operates specialty stores that sell general facility management services, amusement, food service, family casual fashion, women's wear, shoes. The International segment operates retail businesses in the ASEAN region and China."
2,5201.T,"AGC Inc., formerly Asahi Glass Company, Limited, is a glass manufacturer. The Glass segment manufactures and sells float plate glass, figured glass, low-E glass, processed glass for construction use, hardened glass and laminated glass for automobiles, and solar glass, among others. The Electronics segment is engaged in the manufacture and sale of glass substrates for display devices, special glass and peripheral components for display, optoelectronics parts, and glass frit paste, among others. The Chemical segment offers chloride vinyl monomers, sodium hydroxide, urethane raw materials, gas, solvent, fluorine resin, water and oil repellent, pharmaceutical and agrochemical intermediates and bulk and others. In addition, the Company is also involved in the manufacture and sale of ceramic products, and the provision of logistics and financial services."
3,2802.T,"Ajinomoto Co., Inc. is a food company. The Company operates in four business segments. Japanese Food segment’s and Overseas Food segment’s main products include seasonings and processed foods, frozen foods, coffees, as well as umami seasonings and sweeteners for processing. Life Support segment’s main products include animal nutrition and chemical products. Healthcare segment’s main products include amino acids for pharmaceuticals and foods. The Company also conducts business such as contract manufacturing, fats and oils, material packaging, as well as service providing, among others."
4,6770.T,"ALPS ALPINE CO., LTD., formerly Alps Electric Co., Ltd., engages in electronic components business. The Company has three business segments. The Electronic Components segment involves in development, manufacturing and sale of a range of electronic components. The Automotive Infotainment business involves in development, manufacturing and sale of audio, information and communication equipment. The Logistics business involves in provision of transportation, storage and forwarding services. The Company also provides system development services, office services, as well as finance and leasing services."
5,6113.T,"Amada Co Ltd is a Japan-based company mainly engaged in the development, manufacture and sale of metal processing equipment and metal machine tools, as well as the provision of related services. The Company operates in two segments. The Metal Processing Equipment segment is engaged in the manufacture and sale of products such as laser machines, punch and laser combined processing equipment, press brakes, bending robots, shirring, plate processing system lines, factory automation (FA) computers and software, as well as welding equipment such as precision laser equipment and resistance welding equipment. The Metal Machine Tool segment is engaged in the manufacture and sale of cutting products such as metal cutting saws, shape steel cutting equipment, drilling equipment and metal cutting saws, press products such as mechanical presses, as well as machine tools such as grinding machines. The Company is also engaged in the real estate leasing business and car leasing business."
6,9202.T,"ANA Holdings Inc is a Japan-based holding company principally engaged in the aviation business. The Company operates through four business segments. The Aviation segment conducts regular and irregular air transportation of passengers and cargo domestic and international flights. The Aviation-related segment provides services associated with air transportation such as airport handling and maintenance, and various services at the airport to customers and provide reservation information services by telephone. The Travel segment is engaged in the development and sale of packaged travel products, mainly made from airline tickets and accommodation. The Trading Companies segment mainly engaged in the import and export of aviation-related materials and mail orders. It is also engaged in the building management and temporary staffing business."
7,8304.T,"Aozora Bank, Ltd. is a Japan-based bank that operates banking, financial products trading, trust, investment operation and investment advisory businesses. The Bank operates in two business segments. The Banking segment is engaged in the provision of banking services, including deposit, loan, domestic and foreign currency exchange, securities investment business, as well as debt services. The Others segment is engaged in the securities business, as well as the trust business, financial products trading, debt management and collection, investment operation and investment advisory businesses."
8,2502.T,"Asahi Group Holdings, Ltd. is a Japan-based holding company principally engaged in the manufacture and sale of liquors, beverages and food in Japan and overseas markets. The Company operates in five business segments. Alcoholic Beverage segment is involved in the manufacture and sale of alcoholic beverages, such as beer, low-malt beer, shochu and whiskey, as well as the restaurant business and the wholesale business. Beverage segment is involved in the manufacture and sale of soft drinks. Food segment is involved in the manufacture and sale of food and medicine. International segment is involved in the manufacture and sale of beer and other liquor products, as well as soft drinks. Others segment is engaged in the logistics business."
9,3407.T,"ASAHI KASEI CORPORATION is mainly engaged in material business, housing business and others. The Company operates in three business segments. The Materials segment includes fiber business, including capra fiber, polyurethane fiber, nonwoven fabric, nylon 66 fiber, chemical business, including petrochemicals, high performance polymer, high performance materials and consumer goods, separators for lithium secondary batteries, separators for lead storage batteries, mixed signal LSI and other electronic businesses. The Housing segment includes housing business, such as construction contracting, real estate, renovation, and other housing related businesses, and the building materials business, including lightweight aerated concrete, heat insulation materials, foundation piles, structural materials. The Healthcare segment consists of pharmaceuticals such as medical drugs and diagnostics, medical business and critical care business. It also includes engineering, staffing business and others."
10,4503.T,"Astellas Pharma Inc is a Japan-based company mainly engaged in the research, development, manufacture and sales of pharmaceutical products. The Company mainly operates Pharmaceutical Products business segment. The main products include XTANDI, BETANIS, MIRABETRIC, BETMIGA and new products ZOSPATA, EVERENZO and ENHOLTUMAB VEDOTIN, among others."
11,7832.T,"Bandai Namco Holdings Inc. is a Japan-based holding company engaged in entertainment business. The Company operates in five business segments. The Toys and Hobby segment is engaged in the manufacture and sale of toys, candy and food, products for vending machines, cards, models, apparels, daily necessities and stationeries. The Network Entertainment segment is engaged in the planning, development and distribution of network contents. The Real Entertainment segment is engaged in the planning, manufacture and sale of arcade games, as well as the planning and management of amusement facilities. The Visual and Music Production segment is engaged in planning, production and sale of video and music content and packaged software. The IP Creation segment is engaged in the production of animations and the management of copyrights. The Company is also engaged in the transportation and storage of goods, real estate management, as well as the management and guidance of group companies."
12,5108.T,"BRIDGESTONE CORPORATION is a Japan-based company principally engaged in the tire business. The Company operates its business through two business segments. Tire segment is involved in the provision of tire tubes for passenger cars, trucks, buses, construction and mining vehicles, industrial vehicles, agricultural machinery, aircraft and motorcycles. The Segment also provides tire related products, retread materials and related technologies, automobile maintenance and repair services, as well as tire raw materials. Diversification segment provides chemical products, such as automobile related parts, urethane foam and related goods, electronic precision parts, industrial materials related goods and building materials related products, roofing materials, as well as sports goods, such as golf balls and golf clubs. The Segment also provides bicycles and bicycle-related products and conducts finance business."
13,7751.T,"Canon Inc. is mainly engaged in the development, production, sale of office equipment, imaging systems, medical systems, industrial equipment and the provision of related services. The Company operates in four business segments. The Office segment provides office multifunction machines, laser multifunction machines, laser printers, digital continuous slip printers, digital cut sheet planters, wide format printers, and document solutions. The Imaging System segment's products include lens-interchangeable digital cameras, compact digital cameras, digital video cameras, digital cinema cameras and others. The Industrial Equipment and Others segment provides semiconductor exposure devices, FPD exposure devices, vacuum thin film forming devices, organic EL display manufacturing devices, die bonders, micromotors, network cameras, handy terminals and others. The Medical System segment provides digital radiography, X-ray diagnostic equipment, ultrasound diagnostic equipment and others."
14,6952.T,"CASIO COMPUTER CO.,LTD. is a Japan-based company mainly engaged in the development, manufacture and sale of consumer and system products, as well as the provision of related services. The Company operates through three business segments. The Consumer segment is engaged in the provision of watches, clocks, electronic dictionaries, electronic calculators, electronic stationeries, electronic musical instruments and digital cameras. The Systems segment is engaged in the provision of handheld terminals, electronic cash registers, management support systems and data projectors. The Others segment is engaged in the provision of molded parts and molds."
15,9022.T,"Central Japan Railway Company is a Japan-based company. The Company is engaged in railway and related business. The Company operate the business in the Tokaido Shinkansen, which is the main transportation artery in Japan that connects Tokyo, Nagoya, and Osaka, and 12 conventional lines centered on urban transportation in the Nagoya and Shizuoka areas."
16,8331.T,"The Chiba Bank, Ltd. is a Japan-based bank mainly engaged in the banking business and the financial services business. The Bank is engaged in the banking business, stores maintenance and management business, accounting business, employment placement business, receivables management and collection business, securities business, credit guarantee business, collection business, credit card business, leasing business, software development and information processing business, venture capital business, investment management and advisory business, research and consulting business, fintech research business, as well as the planning and development of financial services."
17,9502.T,"Chubu Electric Power Co Inc is a Japan-based company mainly engaged in the electricity and energy business. The Company has three business segments. The Sales segment is engaged in the comprehensive energy services. The Power Network segment is engaged in the provision of power network services. The JERA segment is engaged in the upstream and procurement of fuel, wholesale of power generation and gas. The Company is also engaged in the sales of liquefied natural gas, the design, operation and maintenance of energy equipment, telecommunication construction business, the advertising, leasing and insurance agency business, the construction, inspection and repair of electrical facilities, the leasing and management of real estate, the maintenance of thermal and nuclear power plants, the acceptance, storage, gasification and delivery of liquefied natural gas, the provision of information processing services, the software business and others. It is also engaged in biomass power generation."
18,4519.T,"CHUGAI PHARMACEUTICAL CO., LTD. is a Japan-based company mainly engaged in the research, development, manufacture, sale, import and export of pharmaceutical products. The pharmaceutical products and medical devices for patients include ACTEMRA, Avastin, ALAGLIO, Aresensa, Kadosaira, Gazaiba, Seruseputo, Zeruborafu, Zeroda, Taruseba, Tecentoriku, Pajeta and other products. The products are mainly applied to the treatment of cancer, kidney diseases, kidney transplantation, bone and joint diseases such as rheumatoid arthritis, osteoporosis, knee osteoarthritis and locomotive syndrome, influenza, hemophilia and other diseases. The Company is also engaged in the provision of management services, transportation and storage services, as well as drug information literature research services. The Company operates within the domestic market and to overseas markets, including Switzerland, United Kingdom, Germany, France, China, Singapore, Korea and the United States."
19,7762.T,"Citizen Watch Co., Ltd. mainly engages in watch business, machine tools business, device business, electronic machinery business and others. The Company operates in five business segments. The Watch segment manufactures and sells watches and movements. The Machine Tools segment manufactures and sells numerical control (NC) automatic lathes and others. The Device segment provides light-emitting diode (LED), crystal oscillators, micro displays, switches and automobile parts. The Electronic Machinery segment manufactures and sells printers, healthcare equipment and calculators, among others. The Others segment purchases and sells jewelry products and others. Brands include CITIZEN, LICENSE, Quality & Quantity (Q&Q), among others."
20,1721.T,"COMSYS Holdings Corporation is a Japan-based company mainly engaged in the provision of construction services for telecommunications facilities, as well as information services. The Company has eight business segments. The Nippon COMSYS Group segment is engaged in the construction of telecommunications facilities focusing on Nippon Telegraph and Telephone Corporation (NTT) group. The SANWA COMSYS Engineering Group segment is engaged in the construction of telecommunications facilities focusing on new common carriers (NCCs). The TOSYS Group segment, TSUKEN Group segment, NDS Group segment, SYSKEN Group segment and Hokuriku Denwa Kouji Group segment are engaged in the telecommunications facility construction business in the Shinetsu, the Hokkaido, the Tokai and Hokuriku, the Kyushu and the Hokuriku areas. The COMSYS JOHO SYSTEM Group segment is engaged in the information processing business. The Company is also engaged in the staffing business and the shared service business."
21,7186.T,"Concordia Financial Group, Ltd. is a Japan-based company mainly engaged in the banking business. The Company is engaged in the banking business, securities business, leasing business, information services and research business, venture capital business, credit guarantee business, credit card business, securities investment trust consignment business, as well as the paid employment placement business, administrative agency business, management business and related business. The Company mainly operates in Yokohama and East Japan."
22,8253.T,"Credit Saison Co.,Ltd. is a Japan-based company mainly engaged in the provision of credit services. The Company operates in five business segments. The Credit Service segment provides credit card and servicer services. The Lease segment is engaged in the leasing business. The Finance segment provides credit guarantee business and other finance-related business. The Real Estate-related segment is engaged in real estate and real estate leasing businesses. The Entertainment segment is engaged in the operation of amusement business."
23,4751.T,"CyberAgent Inc is a Japan-based company mainly engaged in the media business, game business, Internet advertising business, investment development business and others. The Company operates in five business segments. The Media segment is engaged in the operation of websites such as Ameba, ABEMA and tapple. The Game segment is engaged in the development and operation of games for smartphones. The Internet Advertising segment is engaged in the advertising agency business, artificial intelligence (AI) business and advertising agency business specialized for smartphones. The Investment Development segment is engaged in the establishment and operation of funds, as well as the corporate venture capital business. The Other segment is engaged in the operation of fan sites and smartphone medias, and the sports business. The Company is also engaged in the leasing, management and operation of real estate, and the provision of construction and design supervision services."
24,7912.T,"Dai Nippon Printing Co., Ltd. is mainly engaged in the printing business and soft drink business. The Company operates in four business segments. The Information Communication segment involves in the manufacture and sale of publishing and commercial printed matters and business forms, photographic materials, and conducts education and publishing distribution businesses. The Life and Industry segment involves in the manufacture and sale of packaging materials, construction materials, as well as industrial materials. The Electronics segment manufactures and sells electronic precision parts and others. The Soft Drink segment involves in the manufacture and sale of soda drink, mineral water, among others."
25,8750.T,"Dai-ichi Life Holdings, Inc. is a Japan-based company mainly engaged in the insurance business. The Company operates through three segments. The Domestic Life Insurance segment is engaged in the individual insurance, individual annuity insurance, group insurance, group annuity insurance and other life insurance business, the non-life insurance business, as well as the life insurance related business, such as the acquisition of securities, real estate and monetary claims. The Overseas Insurance segment is engaged in the insurance business overseas. The Other segment is mainly engaged in the asset management related business."
26,4568.T,"Daiichi Sankyo Co Ltd is a Japan-based company mainly engaged in the manufacture and sale of pharmaceuticals. The Company is involved in the research, development, manufacture and sale of pharmaceuticals, as well as the provision of intermediates and basic materials for pharmaceutical producing in Japan, the United States, Europe and other markets. The Company is also engaged in the research, development, manufacture and sale of over-the-counter drugs and vaccines, the provision of administrative services such as human resources and accounting services, real estate leasing and insurance agency business."
27,6367.T,"DAIKIN INDUSTRIES, LTD. is a Japan-based company principally engaged in the manufacture and sale of air conditioners, refrigerators and chemical products. The Company operates in two business segments. Air Conditioner & Refrigerator segment manufactures, constructs and sells residential, commercial, marine air conditioners and refrigerator products. Chemical segment is involved in the manufacture and sale of chemical products, such as fluorocarbon gas, fluororesin and chemical machinery. The Company also conducts oil machinery business, special machinery business and electronic system business."
28,4506.T,"Sumitomo Dainippon Pharma Co., Ltd., is a pharmaceutical company. The Company operates in four segments. The Japan segment manufactures and sells medical drugs. The North America segment manufactures, develops, purchases and sells ethical drugs. The China segment manufactures and sells ethical drugs through its consolidated subsidiary. The Other Overseas division is involved in the development of its products in Europe. The Company is also engaged in the manufacture, purchase, sale and supply of food materials and additives, chemical products, veterinary drugs, diagnostic products and inspection services of clinical pathology for animal, the manufacture of extracts, as well as the storage, delivery and clinical inspection of drugs."
29,1925.T,"Daiwa House Industry Co., Ltd. is engaged in the business of housing, commercial facilities and urban development. The Company's segments include Single-Family Houses Business, which consists of orders of single-family houses and sales of packages of new houses with land; Rental Housing Business, which consists of its operation in rental housing development, construction, management, operation and real estate agency services; Condominiums Business, which consists of development, sale and management of condominiums; Existing Home Business, which consists of renovation and real estate agency services; Commercial Facilities Business, which consists of development, construction, management and operation of commercial facilities, and Business and Corporate Facilities Business, which consists of development and construction of logistics, manufacturing facilities, medical and nursing facilities, and building, management and operation of temporary facilities."
30,8601.T,"Daiwa Securities Group Inc is a Japan-based company mainly engaged in the securities related business and other investment and financial business. The Company operates through four business segments. Retail segment is engaged in the provision of financial products and services for individuals and unlisted corporates. Wholesale segment is engaged in the global markets business, including the sale and trading of stocks, bonds and others, as well as the global investment banking business, including securities underwriting, merger and acquisition (M&A) advisory and others. Asset Management segment is engaged in the establishment and management of investment trusts, and the provision of investment advisory and management services for pension assets. Investment segment is engaged in the provision of investment recovery in existing projects, and the creation of new investment funds. The Company is also engaged in the management, banking, information and real estate leasing business."
