,Instrument,Business Description
0,UNF.N,"UniFirst Corporation designs, manufactures, personalizes, rents, cleans, delivers, and sells uniforms and protective clothes. Its segments include U.S. and Canadian Rental and Cleaning, Manufacturing (MFG), Specialty Garments and First Aid. The U.S. and Canadian Rental and Cleaning segment purchases, rents, cleans, delivers, and sells uniforms and protective clothing and non-garment items in the United States and Canada. The MFG segment designs and manufactures uniforms and non-garment items primarily to provide these goods to the U.S. and Canadian Rental and Cleaning reporting segment. The Specialty Garments purchases, rents, cleans, delivers and sells, specialty garments and non-garment items for nuclear and cleanroom applications and provides cleanroom cleaning services at limited customer locations. The First Aid segment sells first aid cabinet services and other safety supplies and provides safety training, as well as maintains wholesale distribution and pill packaging operations."
1,UVV.N,"Universal Corporation is a leaf tobacco supplier. The Company operates through two segments: Tobacco Operations and Ingredients Operations. Its Tobacco Operations segment involves selecting, procuring, financing, processing, packing, storing, and shipping leaf tobacco for sale to manufacturers of consumer tobacco products. Through its various operating subsidiaries, it contracts, purchases, processes, and sells flue-cured and burley tobaccos, as well as dark air-cured and oriental tobaccos. The Flue-cured, burley, and oriental tobaccos are used in the manufacture of cigarettes as well as in shisha, and dark air-cured tobaccos are used in the manufacture of cigars, natural wrapped cigars, and cigarillos products. The Ingredients Operations segment provides its customers with range of plant-based ingredients for both human and pet consumption. The plant-based ingredients platform provides specialty vegetable and fruit-based ingredients for the food and beverage end markets."
2,DVN.N,"Devon Energy Corporation (Devon) is an independent energy company. The Company operates through its U.S operating segment. Its U.S operating segment is engaged exploration, development and production of oil, natural gas and natural gas liquids (NGL). The Company’s operations are focused in four core oil producing areas: the Delaware Basin, Eagle Ford, Powder River Basin and Anadarko Basin. The Company’s Delaware Basin operates approximately eight rigs that offers exploration and development opportunities from geologic reservoirs, including the oil-rich Wolfcamp, Bone Spring, Leonard, Delaware formations. Its Delaware Basin assets also include WPX. The Company's Eagle Ford is focused on developments in DeWitt County, Texas. The Powder River Basin asset is focused on oil opportunities targeting several oil objectives, including the Turner, Parkman, Teapot and Niobrara formations. The Company's Anadarko Basin is located primarily in Oklahoma’s Canadian, Kingfisher and Blaine counties"
3,RDSa.N,"The Royal Dutch Shell plc is a company based in the Netherlands that explores for crude oil and natural gas around the world, both in conventional fields and from sources, such as tight rock, shale and coal formations. Its segments include Integrated Gas, Upstream, Downstream and Corporate. The Integrated Gas segment is engaged in the liquefaction and transportation of gas and the conversion of natural gas to liquids to provide fuels and other products, as well as projects with an integrated activity, ranging from producing to commercializing gas. The Upstream segment includes the operations of Upstream, which is engaged in the exploration for and extraction of crude oil, natural gas and natural gas liquids, and the marketing and transportation of oil and gas, and Oil Sands, which is engaged in the extraction of bitumen from mined oil sands and conversion into synthetic crude oil. The Downstream segment is engaged in oil products and chemicals manufacturing, and marketing activities."
4,VVI.N,"Viad Corp is a provider of experiential leisure travel and face-to-face events and marketing experiences company. The Company's segments include GES North America, GES EMEA, and Pursuit. Its GES offers a range of services and technology to event organizers and corporate brand marketers, including Core Services, Event Technology, and Audio-visual. Its Pursuit is a collection of destination travel experiences. Its GES provides a suite of services for event organizers and corporate brand marketers across four live event markets: Exhibitions, Conferences, Corporate Events, and Consumer Events. In addition, GES offers clients a suite of audio-visual services. Its Pursuit is composed of four lines of business: attractions, including food and beverage services and retail operations; hospitality, including food and beverage services and retail operations; transportation, and travel planning."
5,WEI.N,"Weidai Ltd. is a China-based company principally engaged in the provision of auto-backed financing solutions. The Company mainly provides small and micro enterprise owners with accessible credit service. Its platform connects borrowers, the majority of which are small and micro enterprise owners, with both online investors and institutional funding partners. The Company also provides other secured and unsecured loan services. The Company’s lending decisions are generally made within 30 minutes of application after information collection and automobile appraisal, and loans are generally disbursed within the same day, including weekends, delivering superior user experience."
6,STON.N,"Stonemor Inc. is a provider of funeral and cemetery products and services in the death care industry. The Company's segments include Cemetery Operations and Funeral Home Operations. Cemetery Operations segment consists of sale of cemetery merchandise, which includes markers, bases, vaults, caskets and cremation niches and its cemetery services, which include opening and closing services, cremation services and fees for the installation of cemetery merchandise. Funeral Home Operations segment consists of sales of funeral home merchandise, which includes caskets and other funeral related items and service, which include services such as family consultation, the removal of and preparation of remains and the use of funeral home facilities for visitation and prayer services. Funeral Home Operations segment also include the sale of term and whole life insurance on an agency basis, in which it earn a commission from the sales of these insurance policies."
7,TRI.N,"Thomson Reuters Corp is a provider of business information services. It operates through five segments: Legal Professionals, Corporates, Tax & Accounting Professionals, Reuters News and Global Print. Legal Professionals segment serves law firms and governments with research and workflow products, focusing on legal research powered by technologies and integrated legal workflow solutions. Corporates segment serves corporate customers, including the global accounting firms, with its offerings across legal, tax, regulatory and compliance functions. Tax & Accounting Professionals segment serves tax, accounting and audit professionals in accounting firms with research and workflow products, focusing on tax offerings and automating tax workflows. Reuters News segment supplies business, financial, national and international news to professionals via desktop terminals. Global Print segment provides legal and tax information in print format to customers. It operates in over 75 countries."
8,AFG.N,"American Financial Group, Inc. (AFG) is an insurance holding company. The Company is engaged in property and casualty insurance. The Company, through Great American Insurance Group, focuses on commercial products for businesses. It has two segments: Property and casualty insurance and Other. It reports its property and casualty insurance business in specialty sub-segments, including Property and transportation, Specialty casualty and Specialty financial. Its Property and transportation include physical damage and liability coverage for buses and trucks. Its Specialty casualty includes primarily excess and surplus, executive and professional liability, general liability, umbrella and excess liability. Its Specialty financial includes risk management insurance programs for lending and leasing institutions fidelity and surety products and trade credit insurance."
9,NMR.N,"Nomura Holdings, Inc. is a Japan-based company mainly engaged in the securities, investment and other financial business to individuals, corporations, financial institutions and governments across the world. The Company has three business segments. The Sales segment is engaged in the provision of investment consultation services to individual clients in Japan. The Asset Management segment is engaged in the development and management of investment trusts, and the provision of investment advisory services. The Wholesale segment is engaged in the sale and trading of bonds, equity securities, derivatives and foreign exchange, as well as the provision of investment banking services, such as the bonds and securities underwriting business, merger and acquisition (M & A) business and financial advisory services. The Company is also engaged in the merchant banking business. The Company operates within the domestic market and to overseas markets, including the Americas, Europe, Asia and Oceania."
10,VRT.N,"Vertiv Holdings Co. is a provider of critical digital infrastructure technologies and life cycle services for data centers, communication networks, and commercial and industrial environments. The Company's business segments include Americas, Asia Pacific, and Europe, Middle East & Africa (EMEA). The Company's principal product and service offerings include critical infrastructure and solutions, which includes alternate current (AC) and direct current (DC) power management, thermal management, and integrated modular solutions; integrated rack solutions includes racks, rack power, rack power distribution, rack thermal systems, and configurable integrated solutions, and hardware for managing information technology (IT) equipment; and services and spares includes preventative maintenance, acceptance testing, engineering and consulting, performance assessments, remote monitoring, training, spare parts, and digital critical infrastructure software."
11,FCPT.N,"Four Corners Property Trust, Inc. is a self-administered company and real estate investment trust (REIT), which owns, acquires and leases properties for use in the restaurant, food service-related and retail industries. It operates through two segments: real estate operations and restaurant operations. Its real estate operations segment consists of rental revenues primarily generated by leasing restaurant properties to tenants through triple-net lease arrangements under which the tenant is primarily responsible for ongoing costs relating to the properties. Its restaurant operations segment is conducted through its taxable REIT subsidiary, Kerrow Holdings, LLC, and consists of its Kerrow Restaurant Operating Business. Its properties are located in Florida, Texas, Georgia, Ohio, Michigan, Pennsylvania, Wisconsin, Alabama, South Carolina, Minnesota, Arkansas, Louisiana, Kansas and Missouri."
12,RGA.N,"Reinsurance Group of America, Incorporated is an insurance holding company. The Company is a provider of traditional life and health reinsurance and financial solutions with operations in the United States, Latin America, Canada, Europe, the Middle East, Africa, Asia and Australia. Its traditional reinsurance includes individual and group life and health, disability, long-term care and critical illness reinsurance. Its financial solutions include longevity reinsurance, asset-intensive products, primarily annuities, financial reinsurance, capital solutions and stable value products. The Company operates through geographic-based and business-based operational segments: U.S. and Latin America; Canada; Europe, Middle East and Africa (EMEA); Asia Pacific; and Corporate and Other. The Company's Geographic-based operations are further segmented into traditional and financial solutions businesses."
