,Instrument,Business Description
0,SALM.OL,"SalMar ASA is a Norway-based company active in the fish farming and processing sector. The Company is primarily engaged in the production of farmed salmon. The Company, along with its subsidiaries, is organized into two business segments: Fish Farming and Sales & Processing. The Fish Farming segment is divided into three regions: fish farming in central Norway (SalMar Central Norway), which holds production licenses; fish farming in northern Norway (SalMar Northern Norway), which holds licenses for the production of farmed salmon, and fish farming elsewhere (Rauma Segment), which owns and operates marine-phase production licenses. The Sales & Processing segment sells the entire Company’s volume of harvested fish. The Company produces fry and smolt at six separate facilities. The Company’s subsidiaries include Salmar Settefisk AS, Salmar Farming AS, Salmar Nord AS and Salmar Processing AS, among others."
1,GJFG.OL,"Gjensidige Forsikring ASA is a Norway-based general insurance provider. It is the parent company within the Gjensidige group. Its product portfolio comprises such types of insurance, as car, home, vacation home, personal property, boat, valuables, life and health, pet, travel, student abroad and youth insurance. The Group offers its insurance products to private and commercial customers in Norway, Sweden, Denmark, Latvia, Estonia and Lithuania. In addition it offers online banking, loans and savings. The Company's subsidiaries include Gjensidiges Arbejdsskadeforsikring A/S, Gjensidige Baltic AAS, Gjensidige Bank Holding AS, Gjensidige Norge AS and Gjensidige Pensjon og Sparing Holding AS, and PZU Lietuva, among others."
2,SUBC.OL,"Subsea 7 S.A. is a provider of seabed-to-surface engineering, construction and services contractor to the offshore energy industry. The Company's segments include SURF and Conventional, i-Tech Services and Corporate. The SURF and Conventional segment includes Subsea Umbilicals, Risers and Flowlines (SURF) activities related to the engineering, procurement, construction (EPC) and installation of systems offshore, including the long-term Pipelay Support Vessel (PLSV) contracts in Brazil, and conventional services, including the fabrication, installation, extension and refurbishment of fixed and floating platforms and associated pipelines in shallow water environments. The i-Tech Services segment includes activities associated with the provision of Inspection, Maintenance and Repair (IMR) services, integrity management of subsea infrastructure and remote intervention support. The Corporate segment includes activities associated with the provision of renewables and heavy lifting services."
3,NEL.OL,"Nel ASA, formerly Diagenic ASA, is a Norway-based company that is engaged in the renewable energy equipment and services sector. The Company delivers solutions to produce, store and distribute hydrogen from renewable energy. Nel ASA serves industries, energy and gas companies with hydrogen technology. The Company’s hydrogen solutions cover the entire value chain from hydrogen production technologies to manufacturing of hydrogen fueling stations, providing fuel cell electric vehicles with the same fueling and long range as conventional vehicles. The Company’s subsidiaries are: H2 Logic A/S in Denmark; Hyme AS, Nel Fuel AS, New Nel Hydrogen Holding AS and RotoBoost H2 AS in Norway, as well as Proton Energy Systems Inc based in the United States."
4,NHY.OL,"Norsk Hydro ASA (Hydro) is an integrated aluminum company with operations in various activities along the aluminum industry's value chain. The Company operates through six segments: Bauxite & Alumina, which includes bauxite mining activities, production of alumina and related commercial activities, primarily the sale of alumina; Primary Metal, which includes primary aluminum production and casting activities; Metal Markets, which include sales activities relating to products from the its primary metal plants and operational responsibility for Hydro's stand-alone remelters, as well as physical and financial metal trading activities; Rolled Products, which include Hydro's rolling mills; Energy, which includes energy sourcing for Hydro's aluminum operations around the world, and Other and eliminations, which consists of its captive insurance company Industriforsikring, its industry parks, internal service providers, operation of Sapa and other activities."
5,FRO.OL,"Frontline Ltd. is a shipping company. The Company is engaged in the seaborne transportation of crude oil and oil products. Its tankers segment includes crude oil tankers and product tankers. As of December 31, 2016, the Company's fleet consisted of 28 vessels owned by the Company (seven very large crude carriers (VLCCs), 10 Suezmax tankers and 11 Aframax/LR2 tankers); 13 vessels that are under capital leases (11 VLCCs and two Suezmax tankers); one VLCC that is recorded as an investment in finance lease; four vessels chartered-in for periods of 12 months, including extension options (two VLCCs and two Suezmax tankers); two VLCCs where cost/revenue is split equally with a third party (of which one is chartered-in by it and one by a third party); three medium range product tankers that are chartered-in on short term time charters with a remaining duration of less than two months, and five vessels that are under commercial management (two Suezmax tankers and three Aframax oil tankers)."
6,BAKKA.OL,"P/F Bakkafrost is a fish farming company, based in the Faroe Islands. Its main business area is aquaculture and it consists of three segments: Fish Farming; Value Added Products (VAP); and Production and Sale of Fish Meal, Oil and Feed. It is engaged in all production steps of sea farming, from salmon roe to harvested fish. The salmon is partly sold for salmon products and exported to foreign seafood processing companies. In addition, it operates VAP processing facilities, in which the fresh salmon is used as raw material for production of value added salmon. Through its subsidiary, Havsbrun, it produces fish oil, fish meal, fish feed and smolt. The Company operates licenses on 19 farming sites, located in 18 different fjords. The Company primarily sells its products on the European market, as well as in the United States. In April 2014, Bakkafrost BF, via subsidiary Havsbrun, purchased further 41.15% in Hanstholm Fiskemelsfabrik and now holds 81.01% stake."
7,MPCC.OL,"MPC Container Ships ASA, formerly MPC Container Ships AS, is a Norway-based company active in the shipping industry. Its primary business activity is to invest in and operate maritime assets in the container shipping segment. The Company manages portfolio of container ships with a focus on the feeder vessels between 1,000 and 3,000 twenty-foot equivalent unit (TEU). The portfolio comprises around 20 vessels. The Company operates as a holding entity for a group of subsidiaries, which are engaged in ship-owning activity or conduct general partner operations."
8,TEL.OL,"Telenor ASA is a telecommunication company. The Company's segments include Norway, Sweden, Denmark, Hungary, Bulgaria, Montenegro & Serbia, dtac-Thailand, Digi-Malaysia, Grameenphone-Bangladesh, Pakistan, Myanmar, Broadcast and Other units. The Company's main products and services are mobile communication, fixed line communication and broadcasting activities. The Company's mobile communication business mainly includes voice, data, Internet, content services, customer equipment and messaging. Its fixed services comprise telephony, Internet and television, leased lines, as well as data services and managed services. Its broadcast activities comprise Canal Digital DTH in the Nordics, satellite broadcasting and terrestrial radio and television transmission in Norway and Belgium. Its Other units consist of International wholesale, Telenor Digital, corporate functions and others."
9,AKRBP.OL,"Aker BP ASA, formerly Det norske Oljeselskap ASA, is a Norway-based oil company engaged in the exploration, development and production of petroleum resources on the Norwegian continental shelf, including the North Sea, the Norwegian Sea and the Barents Sea. The Company has production assets in Alvheim, Hod, Vilje, Boyla, Volund, Valhall, Ula, Tambar, Atla, Enoch, Varg, Skarv, Jotun, Jette, among others. The Company works on various development projects, such as Ivar Aasen, Gina Krog and Johan Sverdrup. The Company operates domestically through number of branch offices in Trondheim, Stavanger, Harstad and Sandnessjoen. The Company operates primarily in the mature areas of the North Sea. The remaining resources are invested primarily in the Barents Sea and in the more immature areas in the North Sea."
