,Instrument,Business Description
0,ATCOa.ST,"Atlas Copco AB is a Sweden-based industrial company. The Company offers customers compressors, air treatment systems, vacuum solutions, industrial power tools and assembly systems, and power and flow solutions. The Company divides its activities into four segments: Compressor Technique, Vacuum Technique, Industrial Technique and Power Technique. Compressor Technique provides industrial compressors, vacuum solutions, gas and process compressors and expanders, air and gas treatment equipment and air management systems. Vacuum Technique provides vacuum products, exhaust management systems, valves and related products. Industrial Technique provides , industrial power tools and assembly solutions, including tightening, bolting, riveting, adhesive dispensing, assurance products, material removal, software and service. The Power Technique business area provides air, power and flow solutions through products such as mobile compressors, pumps, light towers and generators."
1,SINCH.ST,"Sinch AB (publ), formerly CLX Communications AB (publ), is a Sweden-based company primarily engaged in the provision of cloud computing services under the brand Sinch. It operates a communication platform, which enables business entities to communicate with their customers. The Company's activities are divided into four operating segments: Enterprise Division, Operator Division, Sinch Voice & Video, and Vehicle. The Enterprise division is responsible for handling messages for enterprises via Short Message Service (SMS), voice and mobile data, among others. The Operator segment provides software, licenses and technical support to mobile operators. The Sinch Voice & Video segment covers the Company's real-time voice and video products. The Vehicle segment offers a mobile video marketing platform."
2,SAND.ST,"Sandvik AB (Sandvik) is an engineering company in mining and rock excavation, metal-cutting and materials technology. The Company is engaged in the developing, manufacturing and marketing processed products and services. Its segments include Sandvik Machining Solutions, Sandvik Mining and Rock Technology, Sandvik Materials Technology and Other Operations. It operates in the areas of Mining, which includes delivering drill rigs; Engineering, which includes tools and tooling systems; Energy, which offers solutions for energy production; Automotive, which includes cemented-carbide tools and tooling systems; Construction, which provides solutions for the construction industry, and Aerospace, which works with aerospace companies. Its various product categories include metal-cutting tools and tooling systems; mining equipment and tools; construction equipment and tools; stainless steels, special alloys and titanium; furnace products and heating systems, and industrial processing systems."
3,ATCOb.ST,"Atlas Copco AB is a Sweden-based industrial company. The Company offers customers compressors, air treatment systems, vacuum solutions, industrial power tools and assembly systems, and power and flow solutions. The Company divides its activities into four segments: Compressor Technique, Vacuum Technique, Industrial Technique and Power Technique. Compressor Technique provides industrial compressors, vacuum solutions, gas and process compressors and expanders, air and gas treatment equipment and air management systems. Vacuum Technique provides vacuum products, exhaust management systems, valves and related products. Industrial Technique provides , industrial power tools and assembly solutions, including tightening, bolting, riveting, adhesive dispensing, assurance products, material removal, software and service. The Power Technique business area provides air, power and flow solutions through products such as mobile compressors, pumps, light towers and generators."
4,AZN.ST,"AstraZeneca PLC is a biopharmaceutical company. It focuses on discovery and development of products, which are then manufactured, marketed and sold. It focuses on three main therapy areas: Oncology, Cardiovascular, Renal & Metabolic (CVRM) and Respiratory, while selectively pursuing therapies in Autoimmunity, Infection and Neuroscience. In CVRM, it is expanding its portfolio into the cardiovascular-renal area with roxadustat, as well as investing to explore the benefits of its SGLT2 and GLP-1 franchises in chronic kidney disease (CKD) and heart failure (HF). It has approximately 38 projects in Phase I, including 26 new molecular entities (NMEs), and 12 oncology combination projects. It has approximately 43 projects in Phase II, including 25 NMEs; six additional indications for projects that have reached phase II, and 12 oncology combination projects. It has approximately 22 projects in late-stage development, either in Phase III/pivotal Phase II studies or under regulatory review."
5,ESSITYb.ST,"Essity AB (publ) is a Sweden-based hygiene and health company that develops, produces, markets and sells personal care and tissue products. The Company conducts sales in about 150 countries under such brands, as TENA for incontinence products and Tork for Away-from-Home tissue, as well as under other brands, such as Bodyform, Velvet, Cushelle and Plenty. The Company’s medical brands comprise Leukoplast, Cutimed, JOBST, Delta Cast, Delta Lite and Actimove."
6,ELUXb.ST,"AB Electrolux provides household appliances and appliances for professional use. The Company offers designs and sustainable solutions, under brands including Electrolux, AEG, Zanussi and Frigidaire. The Company's segments include Major Appliances Europe, Middle East and Africa; Major Appliances Latin America; Major Appliances Asia/Pacific; Small Appliances and Professional Products. The Company's business areas include kitchen, laundry, small appliances and home care and services. The Company's Major Appliances and Small Appliances are producing appliances for the consumer market. Products within Major Appliances comprise of refrigerators, freezers, cookers, dryers, washing machines, dishwashers, room air-conditioners and microwave ovens. Small appliances include vacuum cleaners and other small appliances. Professional Products consists of foodservice equipment and laundry solutions for professional users."
7,ALFA.ST,"Alfa Laval AB is a Sweden-based company engaged in the development, manufacture and marketing of products and solutions for heat transfer, separation and fluid handling. The Company’s products are used in various industries, including production of chemicals, starch, paper, metals, sugar and ethanol. Its solutions are also used onboard vessels and in the engineering sector, mining industry and refinery sector, as well as for treating wastewater and creating a comfortable indoor climate. The Company's operations are divided into four business divisions that serve external customers: Energy, Food and Water, Marine, and Greenhouse. Additionally, it operates one shared division for procurement, production and distribution."
8,ASSAb.ST,"Assa Abloy AB is a Sweden-based company engaged in the secure door opening solutions. It is organized into five segments: Europe, Middle East and Africa (EMEA), North and South America (Americas), Asia, Australia and New Zealand (Asia Pacific), Global Technologies and Entrance Systems. The EMEA, Americas and Asia Pacific segments manufacture mechanical and electromechanical locks, digital door locks, security doors and hardware in their respective geographical markets. The Global Technologies segment operates in the product areas of access control systems, secure card issuance, identification technology and hotel locks. The Entrance Systems segment supplies entrance automation products and services."
9,INVEb.ST,"Investor AB is a Sweden-based industrial holding company. Its operations are divided into three business segments: Listed Core Investments, EQT and Patricia Industries. The Listed Core Investments segment consists of listed holdings, which embrace ABB, AstraZeneca, Atlas Copco, Electrolux, Ericsson, Husqvarna, Nasdaq, Saab, SEB, Sobi and Wartsila. The EQT segment consists of the holdings in EQT private equity company. The Patricia Industries includes the wholly-owned subsidiaries, 3 Scandinavia and the former IGC portfolio, as well as all other financial investments, except EQT and the Company’s trading portfolio. The wholly-owned subsidiaries include Aleris, BraunAbility, Laborie, Molnlycke, Permobil, The Grand Group and Vectura."
