,Instrument,Business Description
0,ALSS.LS,"Altri SGPS SA (Altri) is a Portugal-based holding company primarily involved in the production of bleached paper pulp from eucalyptus. The Company is also present in electric energy from forest renewable sources, namely industrial cogeneration from black liquor and biomass. Additionally, it is engaged in activity of the management of investments. The Company operates through a numerous subsidiaries, which are active in the production and sale of paper pulp, such as Caima - Industria de Celulose SA, Celbi - Celulose da Beira Industrial SA and Celtejo - Empresa de Celulose do Tejo SA and as various subsidiaries active in the management of forest resources, including Altri Florestal SA, as well as joint venture of EDP Bioelectrica, among others."
1,CORA.LS,"Corticeira Amorim SGPS SA (Corticeira Amorim) is a Portugal-based holding company engaged in the cork industry. The Company organizes its activities into five business divisions: Raw Materials, Cork Stoppers, Coverings, Cork Composites and Isolations. In the Raw Materials division, the Company is active in the purchase, storage and initial preparation of cork. The Cork Stoppers division produces and supplies various types of bottle caps, mainly for the wine industry. The Coverings division is active in the production of cork-based laminates. The Cork Composites and the Isolations units produce thermal, acoustic and anti-vibration insulation products, among others. The Company and its subsidiaries operate in Portugal, Spain, Tunisia, the United States, Australia, Germany, China, Italy, Argentina, France and Netherlands, among others. The Company is a subsidiary of Amorim Capital SGPS SA."
2,NBA.LS,"Novabase SGPS SA is a Portugal-based company active in the provision of information technology (IT) solutions. The Company provides services for a range of sectors, including finance, public administration, healthcare, energy and utilities, as well as telecommunications. The Company organizes its activities into two business segments: Business Solutions and Venture Capital. The Business Solutions division provides IT technology, management and system design. The Venture Capital division identifies and develops Portuguese information and communications technology (ICT) business projects, which are in early development or expanding and have potential synergies with the Company. In addition, it offers IT contracting, which includes staffing services for IT projects."
3,SEM.LS,"Semapa Sociedade de Investimento e Gestao SGPS SA is a Portugal-based holding company engaged in three business segments: Paper and Pulp; Cement and Derivatives, and Environment. The Paper and Pulp business segment, operated by the subsidiary Portucel SA, is engaged in the production and sale of cellulose pulp and paper, as well as in the forestry and agricultural production. The Cement and Derivatives business segment, operated by the subsidiary Secil - Companhia Geral de Cal e Cimento SA, is engaged in the manufacture and sale of cement, ready-mix concrete, dry pre-prepared mortars, precast concrete and hydraulic lime. The Environment business segment, operated by the subsidiary ETSA - Investimentos SGPS SA, is involved in the collection, transport, storage, processing and recovery of animal by-products, as well as in the collection and recycling of used cooking oil. The Company, through its subsidiaries, operates in Tunisia, Spain, Angola, Poland and France, among others."
4,RENE.LS,"Ren Redes Energeticas Nacionais SGPS SA (REN) is a Portugal-based holding company involved in the energy sector. The Company’s activities are divided into three business segments. The Electricity segment is primarily engaged in the transmission of high-voltage electricity and overall technical management of the National Electricity System. The Gas segment transports natural gas at high-pressure and underground storage natural gas, as well as offers technical management of the National Natural Gas System. The Telecommunication segment, which operates through Rentelecom, includes a range of services, such as infrastructure, managed services, consultancy, operation of telecommunication infrastructure and rental of fiber optic cables."
5,EDPR.LS,"EDP Renovaveis SA, also known as EDPR, is a Spain-based company active in the renewable energy sector. The Company concentrates on the production of energy from renewable resources. The Company's activities comprise the development, operation and maintenance of such electric power stations as hydroelectric, wind, solar, tidal, biomass and waste plants, among others. It operates in Spain, Portugal, Belgium, France, Italy, Poland, Romania, the United Kingdom, Brasil, the United States, as well as Canada."
6,IBS.LS,"Ibersol SGPS SA is a Portugal-based company primarily engaged in the operation of restaurants. It is active in Portugal and Spain. The Company divides its activities into six business areas: Restaurants and Delivery; Counters; Travel; Coffee Kiosks; Catering, and Concessions. In the Restaurants and Delivery area, it is involved in the operation of restaurant chains under brand names of Pizza Hut, Pasta Caffe and Pizza Movil. In the Counters area, it operates restaurant chains under banners KFC, O Kilo, Burger King and Pans, as well as The Eat-Out Group brand names. The Travel business sector includes the provision of foodservices on highways and airports. The Coffee Kiosks sector consists of coffee retailers under the brand name Delta. In the Catering sector, it is active in the preparation of meals. The Concessions sector includes the management of concessions for provision of foodservices in number of spots in Portugal, such as Serralves Museum and Casa da Musica, among others."
7,PHRA.LS,"PHAROL, SGPS S.A., formerly Portugal Telecom, SGPS, S.A., is an open company. PHAROL's assets include Oi, S.A., debt securities of Rio Forte Investments S.A. (Rio Forte) and the Call Option of Oi. The Company manages its direct and indirect interest in Oi, S.A. The Company's subsidiaries include Bratel BV, Bratel Brasil, S.A., PTB2, S.A. and Pharol Brasil."
8,NOS.LS,"NOS SGPS SA, known as Zon Optimus SGPS SA, is a Portugal-based company engaged in the broadcasting and telecommunication industry. It was created as a result of a merger between ZON Multimedia Servicos de Telecomunicacoes e Multimedia SGPS SA (ZON) and Optimus - SGPS SA (OPTIMUS). The Company is active in the distribution of cable and satellite television; the production of movies, series, sport and children’s channels, and management of the advertising space on pay television (TV) channels and in cinemas. It is also involved in the provision of a range of mobile and wired communications services to residential and corporate customers, including voice, data, television (TV) and roaming services. Additionally, it operates in the audiovisual sector, which includes video production and sale, cinema distribution and exhibition, and the acquisition and negotiation of pay TV and video-on-demand rights. The Company is a subsidiary of ZOPT SGPS SA."
9,GALP.LS,"Galp Energia SGPS SA (Galp) is a Portugal-based holding company engaged in the oil and gas industry. Galp’s activities are divided into three business segments: Exploration and Production; Refining and Marketing, and Gas and Power. In the Exploration and Production segment, the Company explores, develops and produces oil and natural gas, operating in approximately 40 projects worldwide. In the Refining and Distribution area, Galp Energia SGPS SA is active in the operation of oil and gas refineries for the production of gasoline, as well as in the marketing of petroleum. The Company operates two refineries in Portugal. In the Gas and Power segment, Galp Energia SGPS SA is mainly engaged in the distribution and marketing of natural gas, as well as in the generation and sale of electricity."
