,Instrument,Business Description
0,SLHN.S,"Swiss Life Holding AG is a Switzerland-based holding company and provider of life insurance and pension solutions and services. The Company's business is divided into seven segments: Insurance Switzerland, Insurance France, Insurance Germany, Insurance International, Investment Management, AWD and Other. The insurance segments primarily consist of life insurance operations, which offer a range of life, pension, annuity and investment-type policies to both groups and individuals, including disability coverage. The Company focuses primarily on life and pensions in Switzerland, France and Germany and a range of business from Liechtenstein, Luxembourg, Singapore and Dubai. Investment Management refers to the management of assets for institutional clients and the Company’s insurance business, as well as the provision of advice for such clients. AWD comprises the Hanover-based AWD Group, which specialises in financial advisory services for medium and high-income client segments."
1,SCMN.S,"Swisscom AG is a holding company. The Company, through its subsidiaries, provides telecommunication services in Switzerland and Italy. The Company's segments include Swisscom Switzerland, Fastweb, Other Operating Segments and Group Headquarters. Swisscom Switzerland comprises the customer segments, Residential Customers, Enterprise Customers and Wholesale, as well as the information technology (IT), Network and Infrastructure division. Fastweb is an alternative service provider in the Italian fixed-network market for both residential and business customers. The Other Operating Segments includes the Digital Business unit, as well as Participations and Subsidiaries in the areas of payment solutions, network construction and maintenance, radio transmitters, energy management and event solutions. Group Headquarters includes Group Business Steering, Group Strategy and Board Services, Group Communications and Responsibility, Group Security, Group Human Resources and Worklink AG."
2,SGSN.S,"SGS SA is a Switzerland-based company that provides inspection, verification, testing and certification services. Inspection comprises checking the condition and weight of traded goods at transshipment, quality and quantity control, and compliance with regulatory requirements. Testing services are provided through a global network of testing facilities and test the quality, safety and performance of products against health, safety and regulatory standards. Certification services confirm if products, processes, systems or services are compliant with either national or international standards and regulations or customer defined standards. Verification focuses on ensuring that products and services comply with global standards and local regulations. Additionally, the Company offers training services through SGS Academy."
3,UBSG.S,"UBS Group AG is a holding company and conducts its operations through UBS AG and its subsidiaries. The Company comprises Corporate Center and five business divisions: Wealth Management, Wealth Management Americas, Personal & Corporate Banking, Asset Management and the Investment Bank. Wealth Management division provides advice and tailored financial services to wealthy private clients around the world, except those served by Wealth Management Americas. Wealth Management Americas division is a wealth manager in the Americas in terms of financial advisor productivity and invested assets by financial advisor. Personal & Corporate Banking division provides financial products and services to private, corporate and institutional clients in Switzerland. Asset Management division provides investment management products and services, platform solutions and advisory support. Investment Bank division provides investment advice, financial solutions and capital markets access."
4,SRENH.S,"Swiss Re AG is a Switzerland-based wholesale provider of reinsurance, insurance and other insurance-based forms of risk transfer. The Company operates in four segments: Property&Casualty Reinsurance, Life&Health Reinsurance, Corporate Solutions and Life Capital. Its Reinsurance Unit provides premiums and fee income through Property&Casualty and Life&Health segments. Its Corporate Solutions segment is engaged in serving mid-sized and large corporations, with product offerings ranging from traditional property and casualty insurance to customized solutions. Its Admin Re segment provides risk and capital management solutions by which the Company acquires closed books of in-force life and health insurance business, entire lines of business, or the entire capital stock of life insurance companies. Its open and closed life insurance books, including Admin Re, are managed under a unit called Life Capital."
5,ROG.S,"Roche Holding AG (Roche) is a research-based healthcare company. The Company's operating businesses are organized into two divisions: Pharmaceuticals and Diagnostics. The Pharmaceuticals Division consists of two business segments: Roche Pharmaceuticals and Chugai. The Diagnostics Division consists of four business areas: Diabetes Care, Molecular Diagnostics, Professional Diagnostics and Tissue Diagnostics. The Company develops medicines for various disease areas, including oncology, immunology, infectious diseases, ophthalmology and neuroscience. Its pharmaceutical products include Anaprox, Avastin, Bactrim, Bondronat, CellCept, Cotellic, Dilatrend, Dormicum, Invirase, Kadcyla, Kytril (Kevatril), Lariam, MabThera, Madopar, Neupogen, Pegasys, Perjeta, Pulmozyme, Rocaltrol, Rocephin and Roferon-A. The Company offers products for researchers, including cell analysis, gene expression, genome sequencing and nucleic acid purification."
6,GEBN.S,"Geberit AG is a Switzerland-based provider of sanitary products and systems for the residential, commercial, new construction and renovation markets. It markets products under the Geberit brand and operates through three segments: Sanitary systems, Piping Systems and Ceramics. The Sanitary Systems segment specializes in installation systems, cisterns and mechanisms, faucets and flushing systems and waste fittings and traps. The Piping systems segment includes building drainage systems and supply systems. The Ceramics segment focuses on bathroom ceramics and complementary ceramic products. The Company owns approximately 40 production sites and operates through subsidiaries in over 40 countries."
7,PGHN.S,"Partners Group Holding AG is a Switzerland-based global private markets investment management firm. It manages a broad range of customized portfolios for an international clientele of institutional investors. The Company operates in the following business segments: Private equity which refers to investments made in private companies; Private debt which refers to debt financing for private corporations or projects, which allows investors to access investment opportunities that are not available in the public corporate bond market; Private real estate which refers to investments made in private real estate assets, including a range of investment opportunities, from housing complexes and office space to shopping centers and industrial buildings, and Private Infrastructure which refers to investments made in private infrastructure assets, such as transportation, communication, power conventional, power renewable, energy infrastructure, water, social infrastructure and waste management."
8,ABBN.S,"Abb Ltd is a holding company. The Company's segments include Electrification Products, Robotics and Motion, Industrial Automation, Power Grids, and Corporate and Other. It operates through four divisions: Electrification Products, Robotics and Motion, Industrial Automation and Power Grids. It is engaged in serving customers in utilities, industry and transport and infrastructure. The Electrification Products segment manufactures and sells products and services including low and medium-voltage switchgear, breakers, switches and control products. The Robotics and Motion segment manufactures and sells motors, generators, variable speed drives and robots and robotics. The Industrial Automation segment develops and sells control and plant optimization systems, and automation products and solutions. The Power Grids segment supplies power and automation products, systems, and service and software solutions."
9,ALCC.S,"Alcon AG is a Switzerland-based company specialized in the medical industry. The Company operates mainly as an eye care device company. Alcon AG reports its activities into two segments: Surgical and Vision Care. The surgical segment provides a line of ophthalmic surgical products that enable surgeons to achieve accurate results. Its surgical portfolio includes technologies and devices for cataract, retinal, refractive surgery, as well as advanced technology intraocular lenses (ATIOLs) to treat cataracts and refractive errors, such as presbyopia and astigmatism. The surgical segment also includes advanced viscoelastics, surgical solutions, surgical packs and other disposable products for cataract and vitreoretinal surgery. The Vision Care segment manufactures contact lenses and lens care products, such as products for dry eye, contact lens care, ocular allergies, as well as ocular vitamins and redness relievers. The Company also offers continuing education for eye care professionals."
