,Instrument,Business Description
0,HDFC.BO,"Housing Development Finance Corporation Limited is an India-based holding company. The Company is engaged in financing by way of loans for the purchase or construction of residential houses, commercial real estate and certain other purposes, in India. The Company's segments include loans, life insurance, general insurance, asset management and others. It offers insurance products, such as motor, health, travel, home and personal accident in the retail division, and customized products, such as property, marine, aviation and liability insurance in the corporate division. It also provides portfolio management, mutual fund, property investment management, project management, investment consultancy and property related services. Its distribution network includes over 4,520 branches and approximately 12,000 automated teller machines in over 2,590 locations. Its subsidiaries include HDFC Investments Ltd., HDFC Trustee Co. Ltd. and HDFC Asset Management Co. Ltd., among others."
1,TITN.BO,"Titan Company Limited is engaged in offering watches, jewelry and others. The Company's segments include Watches, Jewellery, Eyewear and Others. The Company offers plain and studded gold jewelry brands, such as Tanishq, GoldPlus, Zoya, Mia, which are retailed through Tanishq, GoldPlus, Zoya & Mia stores. The Company offers watches and accessories, such as bags, sunglasses in brands, including Titan, Sonata, Fastrack and sub brands, such as Raga, Xylys and Edge, among others. The Company's watches and accessories are retailed through World of Titan, Helios and Fastrack stores. The Company offers frames, contact lenses, and Sunglasses in brands, such as Eye+. The Company's eyewear brands are retailed through Titan Eye Plus stores. It also offers precision engineering component and sub-assemblies (PECSA) and machine building and automation (MBA) solutions. The Company's subsidiaries include Titan TimeProducts Limited, Favre Leuba AG and Titan Engineering and Automation Limited."
2,ITC.BO,"ITC Limited is a holding company, which is engaged in the marketing of fast moving consumer goods (FMGC). The Company operates through four segments: FMCG; Hotels; Paperboards, Paper and Packaging, and Agri Business. The FMCG segment includes Cigarettes, such as cigarettes and cigars, and Others, such as branded packaged foods businesses (Staples, Snacks and Meals; Dairy and Beverages, and Confections); Apparel; Education and Stationery Products; Personal Care Products; Safety Matches, and Agarbattis. Its Hotels segment includes Hoteliering. Its Paperboards, Paper and Packaging segment includes paperboards; paper, including specialty paper, and packaging, including flexibles. Its Agri Business segment includes Agri commodities, such as soya, spices, coffee and leaf tobacco. Its brands include Aashirvaad, Sunfeast Dark Fantasy, Bingo!, Yumitos, YiPPee!, Candyman, GumOn, Classmate, Fiama Di Wills, Vivel, Superia, Engage, Wills Lifestyle, John Players, Mangaldeep and Aim, among others."
3,HDBK.BO,"HDFC Bank Limited (the Bank) is a holding company. The Bank offers a range of banking services covering commercial and investment banking on the wholesale side and transactional/branch banking on the retail side. It also offers financial services. The Bank's segments include Treasury, Retail banking, Wholesale banking and Other banking business. The Treasury segment primarily consists of net interest earnings from the Bank's investment portfolio, money market borrowing and lending, gains or losses on investment operations and on account of trading in foreign exchange and derivative contracts. The Retail Banking segment serves retail customers through a branch network and other delivery channels, as well as through alternative delivery channels. The Bank provides its corporate and institutional clients a range of commercial and transactional banking products. The Other banking business segment includes income from para banking activities."
4,AXBK.BO,"Axis Bank Limited (the Bank) provides commercial banking operations for retail and corporate customers. The Bank's segments include Treasury, Retail Banking, Corporate/Wholesale Banking and Other Banking Business. Its Treasury operations include investments in sovereign and corporate debt, equity and mutual funds, trading operations, derivative trading and foreign exchange operations on the proprietary account and for customers. Its Retail Banking constitutes lending to individuals/small businesses and activities include liability products, card services, Internet banking, mobile banking and financial advisory services, among others. Its Corporate Banking includes corporate relationships not included under Retail Banking, corporate advisory services, placements and syndication, project appraisals, capital market related services and cash management services. Its Other Banking Business includes para banking activities, such as third-party product distribution and banking transactions."
5,NEST.BO,"Nestle India Limited is an India-based company engaged in food business. The Company operates in the Food segment. The Company's food business incorporates product groups, which include milk products and nutrition, beverages, prepared dishes and cooking aids, and chocolate and confectionery. Its milk products and nutrition include NESTLE BABY & me, and NESTLE NESLAC. Its beverages include coffee products, such as NESCAFE, NESCAFE CLASSIC, NESCAFE Sunrise, NESCAFE Cappuccino and NESCAFE GOLD. Its prepared dishes and cooking aids products include MAGGI, MAGGI Oat Noodles, MAGGI Bhuna Masala, MAGGI Vegetable Atta Noodles, MAGGI Nutri-licious PAZZTA and MAGGI Sauces. The Company's chocolate and confectionery products include Nestle KitKat, Nestle BarOne, Nestle Alpino, Nestle Munch, Nestle CLASSIC, Eclairs and POLO. The Company's plants are located at Moga, Samalkha, Nanjangud, Choladi, Ponda, Bicholim, Pantnagar and Tahliwal."
6,ICBK.BO,"ICICI Bank Limited is a banking company. The Bank is engaged in providing a range of banking and financial services, including commercial banking, retail banking, project and corporate finance, working capital finance, insurance, venture capital and private equity, investment banking, broking and treasury products and services. The Bank's business segments are Retail banking, Wholesale banking, Treasury, Other banking, Life insurance, General insurance and Others. It has a network of approximately 18,210 branches and automated teller machines (ATMs). The Bank has approximately 110 Touch Banking branches across over 30 cities. Its international banking is focused on providing solutions for the international banking requirements of its Indian corporate clients and leveraging economic corridors between India and the rest of the world. The Bank caters to the financial needs of women entrepreneurs through its Self-Help Group (SHG) program as a part of its microfinance initiatives."
7,RELI.BO,"Reliance Industries Limited is an India-based company, which operates in the Refining, Petrochemicals, Oil and Gas, Organised Retail, Digital Services and Financial Services segments. The Refining segment includes production and marketing operations of the petroleum products. The Petrochemicals segment includes production and marketing operations of petrochemical products. The Oil and Gas segment includes exploration, development and production of crude oil and natural gas. The Organised Retail segment includes organized retail business in India. The Digital Services segment includes provision of a range of digital services in India and investment in telecom infrastructure business. The Financial Services segment comprises of management and deployment of identified resources of the Company to various activities including non-banking financial services and insurance broking. The Others segment includes textile, special economic zone (SEZ) development and media."
8,TEML.BO,"Tech Mahindra Limited is engaged in the business of computer programming, consultancy and related services. The Company's segments include Information Technology (IT) Services and Business Processing Outsourcing (BPO). The Company operates in various sectors, including telecom business and enterprise solutions business. The telecom business provides consulting-led integrated portfolio services to customers, which are telecom equipment manufacturers, telecom service providers and IT infrastructure services, and BPO, as well as enterprise services (banking, financial services and insurance (BFSI), retail and logistics, and manufacturing, among others) of IT and IT-enabled services delivered through a network of various locations around the world. The enterprise solutions business provides IT services, including IT enabled services, application development and maintenance, consulting and enterprise business solutions, extended engineering solutions and infrastructure management services."
9,TCS.BO,"Tata Consultancy Services Limited (TCS) is engaged in providing information technology (IT) services, digital and business solutions. The Company's segments include banking, finance and insurance services (BFSI); manufacturing; retail and consumer packaged goods (CPG); telecom, media and entertainment, and others, such as energy, resources and utilities, hi-tech, life science and healthcare, s-Governance, travel, transportation and hospitality, and other products. Its services portfolio consists of IT and assurance services, business intelligence and performance management, business process services, cloud services, connected marketing solutions, consulting, engineering and industrial services, enterprise solutions, IT infrastructure services, mobility products and services and platform solutions. Its software offerings include Digital Software and Solutions, TCS BaNCS and TCS MasterCraft, among others. It serves industries, including insurance, healthcare, retail, telecom and others."
