,Instrument,Business Description
0,NHF.AX,"nib holdings limited is an Australia-based health and medical insurance company. The Company operates as a private health insurer. The Company also underwrites and distributes private health insurance to residents as well as international students and visitors to Australia. The Company operates through four segments: Australian Residents Health Insurance, New Zealand Residents Health Insurance, International (Inbound) Health Insurance and nib Travel. Australian Residents Health Insurance segment includes products offering within the Australian private health insurance industry. New Zealand Residents Health Insurance segment includes products offering within the New Zealand private health insurance industry. International (Inbound) Health Insurance segment includes health insurance products for international students and workers. nib Travel segment includes distribution of travel insurance products. It provides approximately 200,000 international students and workers in Australia."
1,PBH.AX,"PointsBet Holdings Limited is an Australia-based corporate bookmaker. The Company has developed a cloud-based wagering platform through which it offers sports and racing wagering products. The Company’s product offering includes Fixed Odds Sports, Fixed Odds Racing, PointsBetting and iGaming. The Company offers Website and mobile applications in the United States and Australia. The Company offers various products and features, including Same Game Multi in Australia, and Parlay Booster and In-Play Parlays in the United States. In addition, it provides a fully translated Spanish sportsbooks site in the United States. Its subsidiaries include PointsBet Australia Pty Ltd, PointsBet Pty Ltd and PB Software Inc. The Company’s reportable segments are as follows: Australian Trading, Technology and United States."
2,CGC.AX,"Costa Group Holdings Limited is an Australia-based horticulture company. Its principal activities include growing of mushrooms, berries, glasshouse grown tomatoes, citrus, avocados, and other selected fruits within Australia; packing, marketing and distribution of fruit and vegetables within Australia and to export markets; provision of chilled logistics warehousing and services within Australia and licensing of blueberry varieties and berry farming in international markets. It operates through three segments: Produce, Costa Farms & Logistics (CF&L) and International. Produce segment operates in five core categories: berries, mushrooms, glasshouse grown tomatoes, citrus, and avocados. CF&L segment incorporates interrelated logistics, wholesale, and marketing operations within Australia. International segment comprises royalty income from licensing of Costa's blueberry varietals in Australia and internationally, and international berry farming operations in Morocco and China."
3,ECX.AX,"Eclipx Group Limited is an Australia-based financial services company. The Company's principal activities include fleet leasing, fleet management ,diversified financial services, novated leasing, vehicle sales, commercial equipment finance and consumer motor vehicle finance solutions. The Company's segment includes Australia Commercial, Novated, and New Zealand Commercial. Australia commercial segment specializes in fleet leasing and management that operates under the trading names of FleetPlus and FleetPartners. Novated segment specializes in novated leasing and salary packaging. It operates in Australia under the trading names of FleetChoice, FleetPlus and FleetPartners. New Zealand Commercial segment specializes in fleet leasing and management and operates under the trading names of FleetPlus and FleetPartners. The Company's brand includes FleetPartners, FleetPlus, FleetChoice and AutoSelect."
4,CCX.AX,"City Chic Collective Ltd is an Australia-based multi-channel retailer. The Company specializes in plus-size women’s apparel, footwear and accessories. Its brands include City Chic, Avenue, Evans, CCX, Hips & Curves and Fox & Royal. City Chic and CCX appeal to fashion forward women and its multi-channel model comprises of a network of approximately 89 stores across Australia and New Zealand (ANZ), and websites operating in ANZ and the United States. Avenue and Evans target a customer base across conservative and fashion segments, both with a long history and online customer following. Hips & Curves in the United States, Fox & Royal in ANZ and the United Kingdom are online intimates brands. City Chic Collective owns European-based online marketplace Navabi and also sells its collective of brands through third-party marketplace and wholesale partners in the United States, Canada, United Kingdom and Europe."
5,IFM.AX,"Infomedia Ltd is an Australia-based technology solutions company. The Company is focused on development and supply of Software as a Service (SaaS) offerings, which include electronic catalog parts and service quoting software systems for the automotive industry. It also provides information management and provision of data analytics to assist automakers and dealers to optimize operations and improve customer retention. The Company operates through three segments: Asia Pacific; Europe, Middle East and Africa (EMEA), and the Americas, representing the combined North, Central and South America. The Company's parts and service includes Microcat EPC, Microcat Market, Microcat Partsbridge, Superservice Menus, Superservice Triage, Superservice Register and Superservice Connect. Its data insights platform, Infodrive, which combines data analytics with the skills in aftersales to drive predictive marketing and dealer performance programs for automakers."
6,JBH.AX,"JB Hi-Fi Ltd is an Australia-based company engaged in the retailing of home consumer products. The Company operates through three segments: JB Hi-Fi Australia (JB Aust), JB Hi-Fi New Zealand (JB NZ), and The Good Guys (TGG). The JB Hi-Fi is a retailer of technology and consumer electronics with a position with a young tech-savvy demographic. The Good Guys is a retailer of home appliances and consumer electronics with a position with home-making families and generation X demographics. It offers various products, such as consumer electronics and technology products, including televisions, audio equipment, computers and cameras; telecommunications products and services; home appliances, including whitegoods, cooking products, heating and cooling products, small appliances and kitchen accessories and software, including music, movies and games."
7,CVN.AX,"Carnarvon Petroleum Limited is engaged in oil and gas exploration, development and production. The Company project includes Dorado Project, Buffalo Project, Taurus Project, Condor Project, Eagle Project, Pepper Project, Outtrim Project and Labyrinth Project. Its Dorado Project holds WA-435-P, WA-436-P, WA-437-P and WA-438-P exploration permit in Roebuck Basin, which covers an area of approximately 21,652 square kilometer (km2), which is located approximately 110 kilometers (km) from the coast, offshore of Port Hedland in Western Australia. Its Buffalo Project is located in the Bonaparte Basin, which covers an area of approximately 1342 square kilometer (km2). Its Taurus Project holds WA-523-P exploration permit in Bonaparte Basin, which covers an area of approximately 2900 km2. Its Condor Project holds AC/P62 exploration permit in Bonaparte Basin, which covers approximately 1512.2 km2. Its Eagle Project holds AC/P63 exploration permit in Bonaparte Basin."
8,HSN.AX,"Hansen Technologies Limited is an Australia-based company, which provides software and services. The Company offers its services to energy, water and communications industries. It helps its clients to create, deliver and engage with their customers, to manage and analyze customer data, and control critical revenue management and customer support processes. The Company's segments include Billing, which represents the sale of billing applications and the provision of consulting services related to billing systems. Its geographical segments include APAC, which covers regions such as Australia, New Zealand and Asia; Americas, which covers regions such as North America, Central America and Latin America, and EMEA, which covers regions such as Europe, the Middle East and Africa."
9,EOS.AX,"Electro Optic Systems Holdings Limited is an Australia-based technology company. The Company operates in three sectors: Defense, Space and Communications. The Company’s Defense Systems develops, manufactures and markets fire control, surveillance and weapon systems to approved military customers. Its Space Systems specializes in the design, manufacture, delivery and operation of sensors and systems for space domain awareness (SDA) and space control. The Company’s Communications Systems develops and provides global satellite communications products, systems and services. The Communications Systems specializes in optical, microwave and on-the-move radio and satellite systems that deliver telecommunications anywhere in the world. The Company's products incorporate electro-optic applications based on its technologies in software, laser, electronics, optronics, gimbals, telescopes and beam directors and mechanisms."
10,BWP.AX,"BWP Trust is an Australia-based real estate investment trust. The Company invests in and manage commercial properties throughout Australia. It provides unitholders with long-term capital growth. It owns approximately 74 investment properties across Queensland, New South Wales and Australian Capital Territory, Victoria, Western Australia and South Australia. Its properties include Fyshwick, Tuggeranong, Artarmon, Greenacre, Hoxton Park, Rydalmere, Minchinbury, Wallsend, Arundel, Browns Plains, Cannon Hill, North Lakes, Mile End, Bayswater, Coburg, Hawthorn, Maribyrnong, Port Melbourne, Balcatta, Harrisdale, Gladstone, West Ipswich, Rocklea, Broadmeadows, Nunawading, Villawood, Manly West, Ellenbrook, Villawood, Bethania, Brendale, Cockburn, Sunbury and Mentone."
11,OSH.AX,"Oil Search Limited is an oil and gas exploration and production company. The Company is engaged in the exploration for oil and gas fields and the development and production of such fields. The Company's segments include PNG Business Unit (PNG BU), Exploration and Other. The PNG BU segment is engaged in the development, production and sale of liquefied natural gas (LNG), crude oil, natural gas, condensate, naphtha, other refined products and electricity from the Company's interest in its operated assets for Papua New Guinea crude oil and Hides gas-to-electricity operations and from the Company's interest in the PNG LNG Project. The Exploration segment is engaged in the exploration and evaluation of crude oil and gas in Papua New Guinea. The Other segment includes the Company's ownership of drilling rigs, investment and development towards the Company's power strategy and corporate activities. The PNG LNG Project is a 6.9-million tons per annum (MTPA) integrated LNG project."
12,GNC.AX,"GrainCorp Limited is an Australia-based food ingredients company. The Company operates through two segments: Agribusiness and Processing. The Agribusiness segment provides grains and oils supply chain business with diversified international grains and oils. Its Agribusiness segment provides commodities and products, including wheat, coarse grains (including barley, sorghum and corn), oilseeds, pulses and organics. The Processing segment is engaged in a vertically integrated edible oils crushing, processing, manufacturing and distribution business with a footprint across both Australia and New Zealand. The Company operates two oilseed crushing facilities, which are used to produce canola oil and canola meal in Victoria and Western Australia. It also operates two processing plants in Victoria for refining, bleaching, deodorizing and blending edible fats and oils to produce ingredients for the food industry. The Company also operates in the United Kingdom, Europe, Asia and North America."
