,Instrument,Business Description
0,MEL.NZ,"Meridian Energy Limited is engaged in the business of generation, trading and retailing of electricity, and the sale of complementary products and services. The Company operates through three segments: Wholesale, Retail and International. The Wholesale segment includes activity associated with its New Zealand generation of electricity and its sale into the wholesale electricity market; purchase of electricity, and development of renewable electricity generation opportunities. The Retail segment includes activity associated with retailing of electricity and complementary products through its two brands: Meridian and Powershop in New Zealand. The International segment includes activity associated with its generation of electricity and sale into the wholesale electricity market; retailing of electricity through the Powershop brand in Australia, and licensing of the Powershop platform in the United Kingdom. The Company supplies electricity to power homes, businesses and farms."
1,IPL.NZ,"Investore Property Limited is a property company. The Company is engaged in commercial property ownership business. The Company invests in large format retail property assets in New Zealand. The Company's portfolio is spread across geographical areas, including Other South Island, Waikato, Other North Island, Wellington, Otago, Canterbury and Auckland. Its property portfolio includes features, such as leases structured as net leases; property or land able to be converted into large format retail real estate through asset management activities, such as change of use, leasing, development and redevelopment initiatives; anchor tenants that occupy over 50% of the net lettable area of the property, and uses that include grocery, bulky goods retailing, factory outlets, general merchandise and convenience retailing."
2,VHP.NZ,"Vital Healthcare Property Trust is a New Zealand-based unit trust. The Trust's principal activity is the investment in high quality health sector related properties. The Trust operates in both Australia and New Zealand. Its tenants are hospital and healthcare operators, providing a range of medical and health services and carry out vital research. The principal objectives of the Trust are to acquire or design, build, manage and enhance properties associated with the provision of healthcare services; build the Trust's capital base; maximize the return to investors, consistent with the objective of the stable, long-term development of the property portfolio; provide investors with access to scale properties in a diversified portfolio across healthcare sectors; maintain a structured, low-risk capital and treasury management policy, and focus on the New Zealand and Australian markets. The Trust is managed by Vital Healthcare Management Limited."
3,GMT.NZ,"Goodman Property Trust (GMT) is a New Zealand-based unit trust that provides warehouse and logistics space. GMT’s investment strategy is focused on the Auckland urban logistics market. Its portfolio of 11 estates includes over 150 individual warehouse and logistics facilities. Its largest estates are Highbrook Business Park in East Tamaki, M20 Business Park in Wiri, Savill Link in Otahuhu and The Gate Industry Park in Penrose. Goodman (NZ) Limited is the manager of the Trust."
4,MCY.NZ,"Mercury NZ Limited, formerly Mighty River Power Limited, is engaged in energy retail business. The Company is an electricity retailor and generator, which is engaged in providing energy services to homes, businesses and industrial customers throughout New Zealand. The Company's segments include Energy Markets and Other Segments. The Energy Markets segment encompasses activities associated with the production, sale and trading of energy and related services and products, and generation development activities. The Other Segments includes metering and international geothermal development and operations. The Company sells electricity, through multiple retail brands, including GLOBUG, Tiny Mighty and Bosco. Its generation consists of two fuel sources: hydro and geothermal. It operates approximately nine hydro plants along the Waikato River. The Company supplies metering infrastructure and services to the utility sector across New Zealand."
5,THL.NZ,"Tourism Holdings Limited is engaged in the manufacture, rental and sale of motorhomes and other tourism related activities. The principal activity of the Company includes motorhome rental, attractions and travel applications. Its segments include New Zealand Rentals, Tourism Group, Australia Rentals, United States Rentals and Other. The New Zealand Rentals segment includes rental of Maui, Britz and Mighty motorhomes, and the sale of motorhomes sold under the RV Super Centre retail brand. The Tourism Group segment includes Kiwi Experience and the Waitomo Caves Group experiences. The Australia Rentals segment includes rental of Maui, Britz and Mighty motorhomes and four wheel drive (4WD) vehicles, and the sale of motorhomes sold under the RV Sales Centre retail brand. The United States Rentals segment includes rental and sale of Road Bear and Britz recreational vehicles (RVs). The Other segment includes Mighway and Geozone. Its subsidiaries include JJ Motorcars Inc. and THL Oz Pty Ltd."
6,SKT.NZ,"Sky Network Television Limited is a New Zealand-based media company. The Company operates as a provider of sport and entertainment media services in New Zealand and overseas. The Company delivers a range of content to its customers, including movies, television series, music, sports, documentaries and news. It operates as a provider of multi-channel, pay television and free-to-air television services in New Zealand. The Company's subsidiaries include SKY DMX Music Limited, which is engaged in operating the SKY DMX commercial music business; SKY Ventures Limited, which provides investment and sponsorship in the field of information and broadcast technology; Sky Investment Holdings Limited, which is engaged in investment activities; Rugby Pass Limited and Lightbox New Zealand Limited, which provides streaming services; Rugby Pass Asia Pte Ltd, which provides management services, and Believe It Or Not Limited, which is engaged in providing quizzes for the hotel entertainment industry."
7,PCT.NZ,"Precinct Properties New Zealand Limited is engaged in investing prime central business district (CBD) properties in New Zealand. The Company owns inner-city business space in Auckland and Wellington. The Company's property comprises over 300,000 square meters over approximately 10 buildings. The Company's Aukland and Wellington properties include AMP Centre, ANZ Centre, Bowen Campus, Central on Midland Park, Deloitte House, HSBC House, Mason Brothers Building, Mayfair House, PwC Tower, Pastoral House, State Insurance Tower, Zurich House, 1-3 The Terrace, 12 Madden Street and 157 Lambton Quay. The Company offers its buildings to the businesses and government organizations, including Air New Zealand, ANZ, Microsoft, PwC, The Treasury, State Insurance and Zurich. The Company's site in Wynyard Quarter comprises approximately 1.1 hectares of land area and focuses on developing over 46,000 square meters. The Company is managed by AMP Haumi Management Limited."
8,GNE.NZ,"Genesis Energy Limited is an energy company involved in the generation of electricity, retailing and trading of energy, and the development and procurement of fuel sources. The Company operates through four segments: Customer experience, Energy management, Oil and gas, and Corporate. The Customer experience segment is engaged in supplying of energy (electricity, gas and liquefied petroleum gas (LPG)) and related services to end user customers. The Energy management segment is engaged in the generation and trading of electricity and related products. The segment includes electricity sales to the wholesale electricity market, derivatives entered into to fix the price of electricity, and wholesale gas and coal sales. The Oil and gas segment is engaged in the exploration, development, production and sale of gas, LPG and light oil. The Corporate segment is engaged in new generation investigation and development, fuel management, information systems and property management, among others."
9,HGH.NZ,"Heartland Group Holdings Limited is a financial services group which operates through its subsidiary Heartland Bank Limited. It focuses on banking products in three markets which includes Household, Business and Rural. Household includes investment products, consumer lending, reverse mortgages and motor vehicle lending. Business includes working capital and plant and equipment finance distributed through its relationship managers, partners and intermediaries. It provides finance for small-to-medium sized businesses available online including through its digital platform. Rural includes rural loans and livestock finance distributed through its relationship managers and alliance partners. The Company provides reverse mortgage loans and also provides funding to partners in the Small Business and Consumer Lending sectors. The Company operates in New Zealand and Australia."
10,FPH.NZ,"Fisher & Paykel Healthcare Corporation Limited designs, manufactures and markets medical device products and systems for use in respiratory care, acute care, surgery and the treatment of obstructive sleep apnea. The Company’s segment includes North America, which includes all activities controlled by entities or employees based in the United States and Canada; Europe, which includes all activities controlled by entities or employees based in the United Kingdom, France, Germany, Sweden, Turkey and Russia, and Asia-Pacific, which includes all activities controlled by entities or employees based in Australia, Japan, India, China, South Korea, Taiwan and Hong Kong, and Other segment includes New Zealand, Latin America, Africa, the Middle East and other countries."
11,CEN.NZ,"Contact Energy Limited is an energy generator and digital retailer, which is engaged in providing electricity, natural gas and liquefied petroleum gas (LPG), and broadband services. It generates electricity through hydro, geothermal and thermal sources. The Company operates through two segments: Generation segment and Customer segment. The Generation segment is engaged in the business of selling electricity to the wholesale electricity market and to the Customer segment. The Customer segment delivers, services and distributes energy to customers. It sells electricity, gas and LPG products and services to residential, small business, commercial and industrial customers. The Company's stations include Ahuroa and Stratford in Taranaki; Ohaaki, Poihipi and Te Rapa in Waikato, Te Huka and Te Mihi in Taupo Wairakei in Taupo, and Whirinaki in Hawke’s Bay. It is also involved in the development of geothermal energy projects."
12,SUM.NZ,"Summerset Group Holdings Limited is a retirement village operator and developer of villages in New Zealand. The Company operates through the provision of integrated retirement villages in New Zealand segment. It also provides a continuum of care. It offers various care services ranging from individualized supported living services. It offers a choice of independent living options, including villas, townhouses and apartments. Its support services include housekeeping, cleaning, daily newspaper delivery, and personal laundry, ironing and bed linen services. Its on-demand services include companionship visits, personal shopping, home and spring-cleaning, car washing and grooming, and help walking or minding customer's pets. It offers a range of food services to its residents. It also offers over three in-home care and support options, including Supported Living, Supported Living Plus and Premium Care. The Company's care options include in-home care, serviced apartments and care center."
13,RBD.NZ,"Restaurant Brands New Zealand Limited is engaged in the operation of quick service and takeaway restaurant concepts in New Zealand. The Company's brands include KFC, Pizza Hut, Carl's Jr and Taco Bell. The Company operates the New Zealand franchises for KFC, which is a fast food restaurant chain; Pizza Hut, which offers fast food online ordering system for pizzas, and Carl's Jr, which offers burgers, beverages and breakfasts. The Company has approximately 286 stores, including over 101 KFC New Zealand, 62 KFC Australia, 37 Taco Bell Hawaii, 24 Pizza Hut New Zealand, 38 Pizza Hut Hawaii, 69 KFC California (including 11 multi-brand KFC-Taco Bell stores) and 18 Carl’s Jr. New Zealand stores."
