,Instrument,Business Description
0,SAE.TA,"Shufersal Ltd is engaged in the operation of a chain of supermarkets in Israel. The Company operates through three segments, which include The retail segment, The real estate segment and Credit card customers' club management segment. The Company operates approximately 280 stores across the nation. The retail segment includes the retail marketing of food and other products in the Company's branches, and the manufacture of frozen and fresh baked products that are sold mainly in the Company's branches. The real state segment includes various types of freehold and leasehold properties, including commercial centers and other properties. The Credit card customers' club management segment includes operating the credit card activity and providing credit by means of credit cards, providing financial services, and providing intermediation and distribution services of various financial products to the credit card holders and private customers."
1,ARPT.TA,"Airport City Ltd is an Israel-based company engaged in the real estate sector. The Company is engaged in two fields: income-yielding properties and residential projects. The Company’s properties, in Israel and abroad, include central bus stations, parking lots, shopping and commercial centers, shopping malls, office buildings, logistical centers and gas stations. The Company is engaged in initiating, planning, developing, acquiring, managing, improving and realizing investments in the area of real estate in Israel and abroad. In addition, the Company holds a number of hotels in Europe and in Israel. Airport City Ltd is the entrepreneur, designer, developer and owner of Airport City industrial park. The Company’s shareholders are Bank Leumi Investment Company Ltd, The JOEL Group Jerusalem Oil Exploration Ltd and Parol Investments and Trade 1999 Ltd."
2,PHOE1.TA,"Phoenix Holdings Ltd, formerly known as Phoenix Holdings Co Ltd, is an Israel-based holding company. The Company provides a range of products and services through two segments: Insurance and Investments. The insurance segment offering includes car insurance, home insurance, mortgage insurance, travel insurance, life insurance and health insurance, among others. The Investment segment provides wide range of long-term savings solutions, investment products and platforms for independent trading in the capital market. The Company is active locally."
3,OPCE.TA,"OPC Energy Ltd is an Israel-based company, which is engaged in the production and supply of electricity. The Company is engaged in the development, construction and operation of power stations and installations for the production of electricity. The Company's activity in the generation and supply of electricity focuses on the production of electricity using conventional technology and cogeneration technology. The Company's photovoltaic projects include: Rotem Power Plant, owned by Rotem and Veridis, which operates using conventional technology, and Hadera Power Plant, which is owned by Hadera and operates in cogeneration technology, which is a power plant that produces both electricity and steam. The Rotem Power Plant is a dual-fuel station, such as natural gas and diesel, with an installed capacity of approximately 500 megawatts. Rotem Power Plant supplies electricity to more than 20 private customers under long-term agreements. The Hadera Power Plant is also a dual-fuel station."
4,DSCT.TA,"Israel Discount Bank Ltd is an Israel-based company that is engaged in banking activities. It provides a full spectrum of corporate and retail financial products and services to its clients, both in Israel and in other financial centers around the world. Domestically, the Group is comprised of commercial banks and financial services companies active in credit cards, investment banking, portfolio management, trustee services and leasing. . Israel Discount Bank Ltd has four wholly owned subsidiaries: Discount Bancorp, Inc., Mercantile Discount Bank Ltd., Israel Credit Cards Ltd., Discount Capital Ltd.."
5,LUMI.TA,"Bank Leumi Le Israel BM (the Bank) is an Israel-based financial institution. It operates in Israel and abroad through subsidiaries comprised of banking and non-banking corporations. It operates through seven business segments: Households, providing banking services to households and individuals; Small Businesses, providing banking services to small businesses and local authorities; Corporate Banking, providing banking and financial services to large and international companies for their operations worldwide; Commercial Banking, providing banking and financial services to medium-sized companies and interested parties (Middle Market); Private Banking, providing financial services and solutions to local and global private customers with a large portfolio of financial assets; Financial Management and Capital Markets, providing proprietary activity and trading rooms and servicing institutional clients and foreign financial institutions, as well as Other."
6,LPSN.TA,"LivePerson, Inc. (LivePerson) is a provider of mobile and online business messaging technologies. The Company's segments include Business and Consumer. The Business segment enables brands to power the Conversational Cloud’s sophisticated intelligence engine to connect with consumers through an integrated suite of mobile and online business messaging technologies. The Consumer segment facilitates online transactions between experts and users seeking information and knowledge for a fee via mobile and online messaging. LivePerson’s hosted platforms harness human, artificial intelligence (AI) and bot-powered messaging on mobile apps, mobile and desktop Web browsers, short message service (SMS), social media and third-party consumer messaging platforms. Its business-to-business services are all managed from a single user interface. LivePerson provides professional services and value-added business consulting to support complete deployment and optimization of its enterprise solution."
7,MLSR.TA,Melisron Ltd is an Israel-based investment company. The Company and its subsidiaries owns and manages high-quality income-generating properties located in Israel’s cities. The Company focuses on retail properties such as shopping malls and offices.
8,STRS.TA,"Strauss Group Ltd is an Israel-based company. The Company are a group of industrial and commercial companies engaged mainly in the development, manufacture, sale and marketing of a variety of branded food and beverage products and servicing and sale of water filtration, purification and carbonation systems. The activity of the Company is divided into: Strauss Israel, which comprises two business segments Health & Wellness and Fun & Indulgence; Strauss Coffee, which comprises two segments: Israel Coffee which includes the coffee company's headquarters and the International Coffee operation; the International Dips & Spreads segment; the Strauss Water segment; and other activities as the Other Operations segment, which includes, among others, Strauss Group’s FoodTech incubator, The Kitchen Hub, and other Group Headquarters activities."
9,BEZQ.TA,"Bezeq Israeli Telecommunication Corp Ltd is an Israel-based telecommunication provider. The Company implements a provides telecommunications operations and services, including domestic fixed-line, cellular and international communication services, multi-channel satellite television broadcasts, Internet infrastructure and access services, customer call centers, maintenance and development of communications infrastructures, communications services to other communications providers, television and radio broadcasts, and supply and maintenance of equipment on customer premises. Bezeq Israeli Telecommunication Corp Ltd operates three subsidiaries, Pelephone Communications Ltd, Bezeq International Ltd and Walla! Communications Ltd, as well as one affiliated company namely DBS Satellite Services."
