,Instrument,Business Description
0,TSU.TO,"Trisura Group Ltd is a Canada-based international specialty insurance provider operating in the Surety, Risk Solutions, Corporate Insurance and Reinsurance niche segments of the market. Surety bonds includes Commercial Surety, Contract Surety and Developer Surety. Risk Solutions includes specialty insurance contracts managed by program administrators. Products offered by Corporate Insurance business are: directors’ and officers’ insurance for public, private and non-profit enterprises; professional liability insurance for both enterprises and professionals; technology and cyber liability insurance for enterprises; commercial package insurance for both enterprises and professionals, and fidelity insurance for both commercial enterprises and financial institutions. The Company operates insurance business through subsidiaries such as Trisura Guarantee Insurance Company, Trisura Specialty Insurance Company and Trisura International Insurance Ltd."
1,DOL.TO,"Dollarama Inc. is a Canada-based company that has retail operations across Canadian province. The Company offers an assortment of general merchandise, consumable products and seasonal products, including private label and nationally branded products. It operates through its subsidiaries, including Dollarama L.P and Dollarama International Inc. (DII). Dollarama L.P operates the chain of stores in Canada and performs related logistical and administrative support activities. DII sells merchandise and renders services to customers outside of Canada and also owns interest in Dollarcity, a value retailer that offers a broad assortment of consumable products, general merchandise and seasonal items at select, fixed price points through its stores located in Colombia, El Salvador and Guatemala. It offers products under various departments, such as Easter, school and office, home, kitchen, food, health and beauty, cleaning, hardware, party, electronics and pets."
2,GOOS.TO,"Canada Goose Holdings Inc. is a Canada-based company engaged in designs, manufactures and sells performance apparel for men, women, youth, children and babies. The Company’s apparel collections include various styles of parkas, lightweight down jackets, rainwear, wind wear, knitwear, footwear and accessories for fall, winter, and spring seasons. The Company operates through three segments: Direct-to-Consumer (DTC), Wholesale and Other. The DTC segment comprises sales through country-specific e-commerce platforms and its Company-owned retail stores located in shopping locations. The Wholesale segment comprises sales made to a mix of functional and fashionable retailers, including various department stores, outdoor specialty stores and individual shops, and to international distributors, who are partners that have exclusive rights to an entire market. Within the Other segment, comparative information also includes sales of personal protective equipment (PPE)."
3,SOY.TO,"SunOpta Inc. is focused on the manufacturing of plant-based and fruit-based food and beverage products for sale to retail customers, foodservice distributors, branded food companies, and food manufacturers. The Company operates through two segments: Plant-Based Food and Beverages, and Fruit-Based Foods and Beverages. The Plant Foods and Beverages segment offers a full line of plant-based beverages and liquid and dry ingredients (utilizing almond, soy, coconut, oat, hemp, and other bases), as well as broths, teas and nutritional beverages. The Fruit-Based Foods and Beverages segment offers individually quick frozen (IQF) fruit for retail, IQF and bulk frozen fruit for foodservice (including purees, fruit cups and smoothies), and custom fruit preparations for industrial use. It also offers non-dairy beverages brands such as Dream and Westsoy."
4,OR.TO,"Osisko Gold Royalties Ltd is a precious metal royalty company. The Company holds a North American focused portfolio of royalties, streams and precious metal offtakes. The Company also owns exploration-phase royalty and metal stream assets. Its portfolio is supported Canadian Malartic mine, which is the gold mine in Canada."
5,CU.TO,"Canadian Utilities Ltd is a Canada-based company that offers services in the areas of electricity, pipelines & liquids and retail energy. The Company’s segments include Electricity, Pipelines & Liquids and Corporate & Other. The Electricity segment includes ATCO Electric, ATCO Power, Alberta PowerLine and ATCO Power Australia. Together these businesses provide electricity generation, transmission, distribution and related infrastructure solutions in Alberta, Ontario, the Yukon, the Northwest Territories, Australia and Mexico. The Pipelines & Liquids segment includes ATCO Gas, ATCO Pipelines, ATCO Gas Australia, and ATCO Energy Solutions. These businesses provide integrated natural gas transmission, distribution and storage, industrial water solutions and related infrastructure development throughout Alberta, the Lloydminster area of Saskatchewan, Western Australia and Mexico. Corporate & Other segment includes ATCO Energy, a retail electricity and natural gas business in Alberta."
6,MX.TO,"Methanex Corp is a Canada-based producer and supplier of methanol to international markets in North America, Asia Pacific, Europe and South America. The Company operates three plants in New Zealand supply methanol primarily to customers in Asia Pacific. It operates two plants in Geismar, two plants in Trinidad, Titan and Atlas and supplies to methanol markets around the globe. Its joint venture in Egypt is located on the Mediterranean Sea and primarily supplies methanol to the domestic and European market. Its plant in Medicine Hat, Alberta, supplies methanol to customers in North America. Its two plants in Punta Arenas, Chile supply methanol to customers in South America and around the globe. The Company’s wholly owned subsidiary, Waterfront Shipping, operates its fleet which is made up of deep-sea tankers ranging from 3,000 to 50,000 deadweight tons of capacity."
7,SIL.TO,"SilverCrest Metals Inc. is a Canada-based precious metals exploration company. The Company is engaged in the acquisition and exploration of mineral property interests in Mexico. The Company's projects include Las Chispas, El Picacho, Cruz de Mayo and Other projects, including the Silver Angel Property (Angel de Plata) and the Estacion Llano Property. The Las Chispas property is located approximately 180 kilometers (km) northeast of Hermosillo, Sonora, Mexico. The El Picacho property is located approximately 85 road kilometers northeast of the Company’s Las Chispas Project. The Cruz de Mayo property is located in the State of Sonora, Mexico, approximately 22 km northwest of the town of Cumpas and 163 km northeast of Hermosillo. The Silver Angel property is located approximately 165 km northeast of Hermosillo, Sonora, Mexico. The Estacion Llano property is located approximately 140 kilometers north of Hermosillo, Sonora, Mexico."
8,ENB.TO,"Enbridge Inc. is an energy infrastructure company with business platforms that include a network of crude oil, liquids and natural gas pipelines, regulated natural gas distribution utilities and renewable power generation. It operates through five segments: Liquids Pipelines, Gas Transmission and Midstream, Gas Distribution, Green Power and Transmission, and Energy Services. Liquids Pipelines consists of pipelines and related terminals that transport various grades of crude oil and other liquid hydrocarbons. Gas Transmission and Midstream consists of its investments in natural gas pipelines and gathering and processing facilities, including US Gas Transmission, and Canadian Gas Transmission and Midstream. Gas Distribution consists of its natural gas utility operations. Green Power and Transmission consists of investments in renewable energy assets and transmission facilities. The Energy Services businesses undertake physical commodity marketing activity and logistical services."
9,NGD.TO,"New Gold Inc. is a Canada-based intermediate mining company that owns assets in Canada and Mexico. The Company’s projects and assets include Rainy River Mine, New Afton Mine, Blackwater Mine and Cerro San Pedro. The Rainy River Mine is a gold-silver mine located approximately 65 kilometers northwest of Fort Frances, Ontario, in the southern half of Richardson Township. The New Afton is a gold-copper mine in West of Kamloops, British Columbia, Canada, approximately 10 kilometers west of Kamloops, approximately 350 kilometers northeast of Vancouver. The Company holds an 8% gold stream on the Artemis Gold Blackwater project, located in British Columbia, Canada. The Cerro San Pedro Mine approximately 20 kilometers northwest of San Luis Potosi, Cerro San Pedro, Mexico."
10,X.TO,"TMX Group Ltd is Canada-based company, which operates in global markets and builds digital communities and analytic solutions that facilitate the funding of businesses, traders and investors. The Company’s operating segments include capital formation, equities and fixed income trading and clearing, derivatives trading and clearing and global solutions, insights and analytics. The capital formation expands the capital market community to facilitate capital raising for issuers and to provide access to alternative sources of capital. It includes Toronto stock exchange (TSX) and TSX venture exchange (TSXV). The derivatives trading and clearing segment includes new product creation and leverage market position. It includes Montreal exchange and Canadian derivatives clearing corporation (CDCC)."
11,RBA.TO,"Ritchie Bros. Auctioneers Inc. is engaged in asset management and disposition of used industrial equipment and other durable assets. Through its unreserved auctions, online marketplaces, and private brokerage services, it sells a range of used and unused equipment, including earthmoving equipment, truck trailers, government surplus, oil and gas equipment and other industrial assets. Its segment includes Auctions and Marketplaces (A&M) and Other. Auctions and Marketplaces segment includes its live on-site auctions, its online auctions and marketplaces, and its brokerage service. Other segment includes Ritchie Bros. Financial Services (RBFS), Mascus online services, and value-added services and make-ready activities, including the Company’s equipment refurbishment services, Asset Appraisal Services, and Ritchie Bros. Logistical Services."
12,POW.TO,"Power Corporation of Canada is a diversified management and holding company. The Company has interest in the financial services, renewable energy, communications and other business sectors. Its principal asset is the controlling interest in Power Financial Corporation (Power Financial). Its segments are Great-West Lifeco Inc. (Lifeco), IGM Financial Inc. (IGM) and Pargesa Holding SA (Pargesa). Lifeco offers life insurance, health insurance, retirement and investment services, and is engaged in the asset management and reinsurance business. IGM is a financial services company operating in Canada, primarily within the advice segment of the financial services market. Pargesa is a holding company with diversified interests in Europe-based companies active in various sectors, such as minerals-based specialty solutions for industry; cement, aggregates and concrete; testing, inspection and certification; wines and spirits, and electricity, natural gas and energy and environmental services."
13,IVN.TO,"Ivanhoe Mines Ltd is a Canada-based mining company. The Company’s segments include the Platreef property, Kamoa Holding joint venture and Kipushi properties. The reportable segments are engaged in the development of mineral properties in South Africa; exploration and development of mineral properties through a joint venture in the Democratic Republic of Congo (DRC); and the upgrading of mining infrastructure and refurbishment of a mine in the DRC respectively. It is focused on three projects in Southern Africa: the development of new mines at the Kamoa-Kakula copper discovery in the Democratic Republic of Congo (DRC) and the Platreef platinum-palladium-nickel-copper-gold discovery in South Africa; and the redevelopment and upgrading of the Kipushi zinc-copper-germanium-silver mine, also in the DRC."
14,PSK.TO,"PrairieSky Royalty Ltd. is a Canada-based company, which offers a portfolio of royalty lands in Canada. The Company’s asset base includes a geologically and geographically diverse portfolio of Fee Lands that encompasses approximately 7.8 million acres with petroleum and/or natural gas rights, an additional 1.1 million acres in coal only titles, and approximately 7.8 million acres of GORR Lands and other acreage. The Fee Lands are predominantly in central and southern Alberta and western Saskatchewan. The Company’s operations include royalty income earned through crude oil, natural gas liquids and natural gas produced on the Royalty Properties."
15,TLRY.TO,"Tilray Inc is engaged in pharmaceutical sector. The Company is a supplier of cannabis products to pharmaceutical distributors. The Company is focused on medical cannabis research, cultivation, processing and distribution of cannabis products worldwide. Through its subsidiary, FHF Holdings Ltd (Manitoba Harvest) manufactures, markets and distributes hemp-based consumer products. The portfolio of Manitoba Harvest includes Hemp Hearts, Hemp Oil, Hemp Yeah! granola, Hemp Yeah! protein powder and Hemp Bliss milk. It also supplies cannabis products to patients in a number of countries spanning five continents through its subsidiaries in Australia, Canada and Germany and it produces medical cannabis in Canada and Europe."
16,DIR_u.TO,"Dream Industrial Real Estate Investment Trust (Trust) is an open-ended real estate investment trust. The Trust's objective is to provide growth to its portfolio and returns to its unitholders. The Trust has approximately 186 assets and 280 industrial buildings comprising approximately 28.9 million square feet of gross leasable area across North America and European industrial markets. Its properties include in Western Canada, Canada, the United States, and Europe. The Trust portfolio consists of distribution buildings, urban logistics buildings, light industrial properties across Canada, the United States and Europe. Its distribution buildings are located close to transportation corridors. Its urban logistics buildings are located close to population centers. Its light industrial buildings are single tenant properties."
17,CM.TO,"Canadian Imperial Bank of Commerce (CIBC) is a global financial institution. CIBC serves its clients through four main business units: Canadian Personal and Small Business Banking, Canadian Commercial Banking and Wealth Management, U.S. Commercial Banking and Wealth Management, and Capital Markets. Canadian Personal and Small Business Banking provides personal and business clients with financial advice, products and services. Canadian Commercial Banking and Wealth Management provides relationship-oriented banking and wealth management services. U.S. Commercial Banking and Wealth Management provides relationship-oriented commercial, personal and small business banking, as well as wealth management services. Capital Markets provides integrated global markets products and services, investment banking advisory and execution, corporate banking solutions and research to corporate, government and institutional clients around the world."
18,REI_u.TO,"RioCan Real Estate Investment Trust (RioCan) is a Canada-based closed-end real estate investment trust. The Trust owns and manages Canada's portfolio of shopping centers with ownership interests in a portfolio of 230 properties with an aggregate net leasable area (NLA) of approximately 39.1 million square feet, including residential rental and 13 development properties. The Trusts property portfolio includes grocery anchored, new format retail, urban retail, mixed use and non-grocery anchored centers of which approximately 190 properties are owned, which includes approximately 186 income properties and four properties under development, and approximately 40 are co-owned through joint arrangements with co-owners including approximately nine under development. The Trusts projects are categorized into urban/mixed use, renovation/backfill and greenfield/expansion."
19,PAAS.TO,"Pan American Silver Corp. is a mining company. The Company is engaged in the production and sale of silver, gold, zinc, lead and copper as well as other related activities, including exploration, extraction, processing, refining and reclamation. It is principally engaged in the operation and development of, and exploration for, silver producing properties. It also produces and sells gold, zinc, lead and copper. Its properties in North and Central America include Timmins, La Colorada, Dolores and Escobal. Its operating properties in South America include Shahuindo, La Arena, Huaron, Morococha, San Vicente and Manantial Espejo. Its exploration and portfolio assets also include La Colorada Skarn and Navidad. The La Colorada consists of approximately 60 claims. Huaron is an underground silver mine located 320 kilometers southwest of Lima by rail and road. The San Vicente underground silver-zinc mine is located in the south of Bolivia in the Province of Sud-Chichas, Department of Potosi."
20,TRI.TO,"Thomson Reuters Corp is a provider of business information services. It operates through five segments: Legal Professionals, Corporates, Tax & Accounting Professionals, Reuters News and Global Print. Legal Professionals segment serves law firms and governments with research and workflow products, focusing on legal research powered by technologies and integrated legal workflow solutions. Corporates segment serves corporate customers, including the global accounting firms, with its offerings across legal, tax, regulatory and compliance functions. Tax & Accounting Professionals segment serves tax, accounting and audit professionals in accounting firms with research and workflow products, focusing on tax offerings and automating tax workflows. Reuters News segment supplies business, financial, national and international news to professionals via desktop terminals. Global Print segment provides legal and tax information in print format to customers. It operates in over 75 countries."
21,CNR.TO,"Canadian National Railway Co is engaged in the rail and related transportation business. The Company's network of approximately 20,000 route miles of track spans Canada and mid-America, connecting approximately three coasts, including the Atlantic, the Pacific and the Gulf of Mexico and serving the cities and ports of Vancouver, Prince Rupert (British Columbia), Montreal, Halifax, New Orleans, and Mobile (Alabama), and the metropolitan areas of Toronto, Edmonton, Winnipeg, Calgary, Chicago, Memphis, Detroit, Duluth (Minnesota)/Superior (Wisconsin), and Jackson (Mississippi), with connections to all points in North America. Its network and connections to all Class I railroads provide its customers access to the three North American Free Trade Agreement nations. It carries over 300 million tons of cargo, serving exporters, importers, retailers, farmers and manufacturers. Its freight includes seven commodity representing a portfolio of goods."
22,AGI.TO,"Alamos Gold Inc. is a Canada-based gold producer. The Company owns and operates the Young-Davidson and Island Gold mines in Canada, as well as the Mulatos mine in Mexico. In addition, the Company owns the Lynn Lake gold project in Manitoba, the Esperanza gold project in Mexico and the Kirazl, Ag Dag and amyurt gold development projects in Turkey. The Young-Davidson gold mine is Canada’s underground gold mines. The Young-Davidson gold mine is located near the town of Matachewan, approximately 60 kilometers west of Kirkland Lake in Northern Ontario, within the Abitibi Greenstone Belt. Island Gold mine is located east of the town of Dubreuilville, approximately 83 kilometers northeast of Wawa in Northern Ontario. The Mulatos mine is the Company’s founding operation, which is located in the Sierra Madre Occidental mountain range in the east-central portion of the State of Sonora, Mexico. The mine is approximately 220 kilometers directly east of the City of Hermosillo."
23,SIA.TO,"Sienna Senior Living Inc. is a Canada-based seniors' living providers. The Company serves the independent living (IL), independent supportive living (ISL), assisted living (AL), memory care (MC) and long-term care (LTC) through the ownership and operation of seniors' living residences in the Provinces of British Columbia and Ontario. Its segments include Retirement and LTC. Retirement segment consists of approximately 27 retirement residences (RRs), five of which are located in the British Columbia and 22 of which are located in the Ontario, and the RR management services business. LTC segment consists of approximately 35 LTC residences located in Ontario, eight seniors' living residences located in British Columbia and the LTC management services business. The Company offers various services, including meal packages, housekeeping, transportation, laundry and long term chronic care."
24,KL.TO,"Kirkland Lake Gold Ltd is a Canada-based gold mining, development and exploration company. It has a diversified portfolio of assets located in the stable mining jurisdictions of Canada and Australia. The Company’s main gold mines are: the Macassa Mine located in northeastern Ontario, Detour Lake mines in Northern Ontario and the Fosterville Gold Mine located in the State of Victoria, Australia. In addition, the Company owns the Holt Mine and the Taylor Mine, which are situated along the Porcupine-Destor Fault Zone, in northeastern Ontario, the Cosmo Gold Mine located in the Northern Territory, Australia and the Stawell Gold Mine located in the State of Victoria, Australia. The Company’s subsidiaries include Crocodile Gold Inc, Detour Gold Corporation and Franc-Or Resources Peru SA."
25,CLS.TO,"Celestica Inc. is an electronics company that designs, manufactures, hardware platforms and supply chain solutions. It offers a range of product manufacturing and related supply chain services to customers, including design and development, new product introduction, engineering services, component sourcing, electronics manufacturing and assembly, testing, complex mechanical assembly, systems integration, precision machining, order fulfillment, logistics, asset management, product licensing, and after-market repair and return services. Its segments include Advanced Technology Solutions (ATS) and Connectivity & Cloud Solutions (CCS). The ATS segment consists of its ATS end market and is comprised of its Aerospace and Defense, Industrial, Energy and Capital Equipment businesses. Its Capital Equipment business is comprised of semiconductor, display, and power and signal distribution equipment businesses. The CCS segment consists of communications and enterprise end markets."
26,CJT.TO,"Cargojet Inc. is a Canada-based company that provides over night air cargo services. The Company’s services include overnight network, international air cargo services, dedicated aircraft charter and dedicated aircraft, crew, maintenance and insurance (AMCI) contracts. It offers over night air cargo service between approximately 14 cities across Canada each business night. Within its overnight network, it also provides domestic air cargo services for a number of international air lines between points in Canada that connect such airlines’ gateways to Canada. It operates an international route operating between Newark, New Jersey, United States of America (USA) and Hamilton, Bermuda and provides a five-day per week air cargo service. It offers a specialty charter service typically in the day time and on weekends. Its ACMI Contracts involves providing a dedicated aircraft on a dedicated route where the customer is responsible for all costs of the operation."
27,DPM.TO,"Dundee Precious Metals Inc. is a Canada-based international mining company. The Company is engaged in the acquisition, exploration, development, mining and processing of precious metal properties. Its operations are located in Namibia and Bulgaria, with exploration in Armenia, Bulgaria and Serbia. Its Chelopech mine is located in central-western Bulgaria approximately 70 kilometers east of Sofia and covers an area of approximately 266 hectares. Its Ada Tepe mine is located at Ada Tepe hill, approximately three kilometers south of the town of Krumovgrad in southeastern Bulgaria. It is an open pit mining operation comprised of a process plant, which employs conventional crushing, grinding and flotation processing for gold extraction. The Company, through Dundee Precious Metals Tsumeb (Pty) Limited (DPMT), operates the Tsumeb smelter in Namibia approximately 430 km north of the capital city of Windhoek."
28,IIP_u.TO,"InterRent Real Estate Investment Trust is a real estate investment trust. The Company is focused on the acquisition, ownership, management and repositioning of multi-residential properties. It owns properties in Greater Toronto Area (GTA), Montreal, the National Capital Region, and relating markets. Its portfolio of properties is located across various locations, such as Ajax, Burlington, Gatineau, Grimsby, Guelph, Hamilton, London, Mississauga, Montreal, Ottawa, St. Catharines, Stratford, Toronto and Trento. Its properties include 10 - 14 Reid Drive, 1276 Dorchester Avenue, 157 Pearl Street, 180 Beausoleil Drive, 197 Cumberland Street, 214 Metcalfe Street, 225 MacLaren Street, 235 Charlotte Street, 3474 Hutchison, 447 Somerset Street West, 475 & 485 King Edward Avenue, 5015-5025 Clanranald, 5051 Clanranald, Britannia Beachfront, Grimsby Apartments, Hamilton Landing, KAPPELE CIRCLE APARTMENTS, La Tour Hampstead and Place Kingsley Apartments."
