,Instrument,Business Description
0,AABA.OQ^J19,"Altaba Inc. is a United States-based independent, non-diversified, closed-end management investment company. The funds assets primarily consist of a mix of cash and cash equivalents. Prior to June 16, 2017, Altaba was known as Yahoo! Inc. Altaba was created from Yahoo! Inc. after the sale of it's operating businesses, at which time Yahoo! Inc. reorganized as an investment company, was renamed Altaba Inc., and began trading under the Nasdaq ticker symbol AABA."
1,ADT.N^E16,"ADT Security Corp is a United States-based security system company. The Company provides monitored security, interactive home and business automation and related monitoring services. The Company's segments include United States and Canada. The Company's United States segment includes sales, installation and monitoring for residential, business, and health customers in the United States and Puerto Rico, as well as corporate expenses and other operating costs associated with support functions in the United States. It's Canada segment includes sales, installation and monitoring for residential, business and health customers."
2,AET.N^K18,"Aetna Inc. is a United States-based diversified healthcare benefits company. The Company provides individuals, employers, healthcare professionals, producers, and other product and services. The Company operates through three segments: Health Care, Group Insurance and Large Case Pensions. It offers a range of traditional, voluntary and consumer-directed health insurance products and related services, including medical, pharmacy, dental, behavioral health, group life and disability plans, medical management capabilities. The Health Care segment consists of medical, pharmacy benefit management services, dental, behavioral health and vision plans offered on both an Insured basis and an employer-funded basis, and emerging businesses products and services."
3,AGN.N^C15,"Allergan, Inc. is a multi-specialty healthcare company. The Company focuses on developing and commercializing pharmaceuticals, biologics, medical devices and over-the-counter (OTC) products. It discovers, develops and commercializes a range of products for the ophthalmic, neurological, medical dermatology, breast aesthetics and other specialty markets. The Company operates in two segments: specialty pharmaceuticals and medical devices. The specialty pharmaceuticals segment produces products, including ophthalmic products for dry eye, glaucoma and retinal disease; Botox for therapeutic and aesthetic indications; skin care products for acne and OTC skin care products, and urologics products. The medical devices segment produces medical devices. It also offers a soft shunt used in minimally invasive glaucoma surgeries (MIGs), XEN45, which is implanted by ophthalmologists in the anterior chamber of the eye through an invasive procedure with a single-use, pre-loaded injector."
4,AGN.N^E20,"Allergan plc is an Ireland-based pharmaceutical company. The Company is focused on developing, manufacturing and commercializing branded pharmaceutical, device, biologic, surgical and regenerative medicine products for patients around the world. The Company's products primarily focus on four key therapeutic areas, including medical aesthetics, eye care, central nervous system and gastroenterology."
5,AKS.N^C20,"AK Steel Holding Corporation (AK Steel) is United States-based company. The Company is a producer of flat-rolled carbon, stainless and electrical steel products primarily for the automotive, infrastructure and manufacturing, including electrical power, and distributors and converters markets. It provides customer solutions with carbon and stainless-steel tubing products, hot- and cold-stamped components, and die design and tooling."
6,ALTR.OQ^L15,"Altera Corporation is a semiconductor company that designs and sells a range of products, including programmable logic devices (PLDs), highly integrated power devices, pre-defined design building blocks and development software. PLDs consist of field-programmable gate arrays (FPGAs), which are semiconductor integrated circuits, or chips, that the Company's customers program to perform desired logic and processing functions in their electronic systems. Highly integrated power devices, known as power system-on-chip devices (PowerSoCs), which simplify and drive the miniaturization of power circuitry found in the electronic systems of the Company's PLD customers. Pre-defined design building blocks, known as intellectual property (IP) cores, which can be licensed by customers to add standard functions to their PLD designs. Development software is used by customers to develop, compile and verify their designs, and then program their designs into the Company's PLDs."
7,ALXN.OQ^G21,"Alexion Pharmaceuticals, Inc. is a biopharmaceutical company. The Company has developed and commercialized two complement inhibitors to treat patients with paroxysmal nocturnal hemoglobinuria (PNH), atypical hemolytic uremic syndrome (aHUS) as well as one complement inhibitor to treat anti-acetylcholine receptor (AChR) antibody-positive generalized myasthenia gravis (gMG) and neuromyelitis optica spectrum disorder (NMOSD) in patients who are anti-aquaporin-4 (AQP4) antibody positive. It also has two enzyme replacement therapies and therapies for patients with life-threatening and ultra-rare metabolic disorders, hypophosphatasia (HPP) and lysosomal acid lipase deficiency (LAL-D). The Company’s marketed products include ULTOMIRIS (ravulizumab-cwvz), SOLIRIS (eculizumab), STRENSIQ (asfotase alfa), KANUMA (sebelipase alfa) and ANDEXXA (coagulation factor Xa - [recombinant] inactivated zhzo)."
8,ANDV.N^J18,"Andeavor, formerly Tesoro Corporation, is an independent petroleum refining, logistics and marketing company. he Company operates through three segments. The Refining operating segment refines crude oil and other feedstocks into transportation fuels, such as gasoline and gasoline blendstocks, jet fuel and diesel fuel, as well as other products, including heavy fuel oils, liquefied petroleum gas and petroleum coke for sale in bulk markets to a range of customers within its markets. The TLLP segment comprises Tesoro Logistics LP's (TLLP) assets and operations, and includes certain crude oil and natural gas gathering assets, natural gas and natural gas liquids (NGLs) processing assets, and crude oil and refined products terminaling, and transportation. The marketing segment sells transportation fuels through branded and unbranded channels."
9,ANR.N^G15,"Alpha Natural Resources Inc is a United States-based, which is engaged in producing coal. The Company is primarily engaged in extracting, processing and marketing steam and metallurgical coal from surface and deep mines, and sell to electric utilities, steel and coke producers, and industrial customers."
