,Doc,Topic,Doc_ID,ticker,sim_sect
0,"Pool Corporation is a distributor of swimming pool supplies, equipment and related leisure products. The Company is a distributor of irrigation and landscape products in the United States. The Company operates sales centers in North America, Europe and Australia through its distribution networks, which includes SCP Distributors (SCP), Superior Pool Products (Superior), Horizon Distributors (Horizon), and National Pool Tile (NPT). The Company's NPT network primarily serves the swimming pool market but does provide some overlap with the irrigation and landscape industries as it offers its brand of pool tile, composite pool finish products and hardscapes. It also offers virtual tools for homeowners to select and design their pool and outdoor environments, working with their chosen contractors to install these products.",-1,0,POOL.OQ,0.7401492
3,"CenterPoint Energy, Inc is a public utility holding company. The Company, through its subsidiaries, owns and operates electric transmission, distribution and generation facilities and natural gas distribution facilities and provides energy performance contracting and sustainable infrastructure services. The Company provides electric transmission service to transmission service customers in the Electric Reliability Council of Texas (ERCOT) region and distribution service to retail electric providers (REPs) serving the Texas Gulf Coast area that includes the city of Houston. It owns and operates natural gas distribution facilities in states and owns and operates pipeline connections through interconnects with various interstate and intrastate pipeline companies and provide temporary delivery of liquefied natural gas (LNG) and compressed natural gas (CNG) throughout the states.",-1,3,CNP.N,0.69341314
4,"Amcor plc is a packaging company. The Company’s segments include Flexibles and Rigid Plastics. The Company offers a range of packaging related products and services, including packaging for beverages, food, healthcare, and personal and home care, tobacco and industrial applications. The Flexibles consists of operations that manufacture flexible and film packaging in the food and beverage, medical and pharmaceutical, fresh produce, snack food, personal care and other industries. The Rigid Plastics consists of operations that manufacture rigid plastic containers for a range of predominantly beverage and food products, including carbonated soft drinks, water, juices, sports drinks, milk-based beverages, spirits and beer, sauces, dressings, spreads and personal care item and plastic caps for a variety of applications.",-1,4,AMCR.N,0.5575219
5155,"Fluor Corporation is a holding company, which provides engineering, procurement, construction, fabrication and modularization, operations, maintenance and asset integrity, as well as project management services. The Company's segments include Energy Solutions, Urban Solutions, Mission Solutions and Other. The Energy Solutions segment is focused on energy transition, chemicals, liquefied natural gas (LNG), and traditional oil and gas opportunities. This segment also provides engineering, procurement and construction (EPC) services for the oil, gas and petrochemical industries. The Urban Solutions segment is focused on mining, metals, advanced technologies, manufacturing, infrastructure and professional staffing services. The Mission Solutions segment is focused on federal agencies across the United States Government and international opportunities. These includes the Department of Energy (DOE), the Department of Defense, the Federal Emergency Management Agency and intelligence agencies.",-1,5155,FLR.N,0.5385518
19,"Carrier Global Corp is a provider of heating, ventilation, and air conditioning (HVAC), refrigeration, fire and security solutions. It operates through three segments: HVAC; Refrigeration; and Fire & Security. The HVAC segment provides products, controls, services and solutions to meet the heating and cooling needs of residential and commercial customers. The Refrigeration segment is comprised of transport refrigeration and commercial refrigeration products and solutions. Its transport refrigeration products and services include refrigeration and monitoring systems for trucks, trailers, shipping containers, intermodal and rail. Its commercial refrigeration equipment solutions preserve freshness of retail food and beverage. Its fire and security products include a range of residential and building systems, including fire, flame, gas, smoke and carbon monoxide detection; fire extinguishers; fire suppression systems, intruder alarms; access control systems and video management systems.",-1,19,CARR.N,0.51803774
190,"American Water Works Company, Inc. is a water and wastewater utility company. The Company's businesses include Market-Based Businesses and Regulated Businesses. Its Market-Based Businesses include the operating segments, Homeowner Services Group and Military Services Group. The Homeowner Services Group provides various warranty protection programs and other home services to residential customers. The Military Services Group enters into long-term contracts with the United States Government to provide water and wastewater services on various military installations. The Company also has contracts with municipal customers to operate and manage water and wastewater facilities and provides other related services through its Contract Services Group. The Regulated Businesses includes the ownership of utilities that provide water and wastewater services to residential, commercial, industrial, public authority, fire service and sale for resale customers.",-1,190,AWK.N,0.5025967
5259,"Spectra Energy LLC is a United States-based natural gas distribution company. The Company owns and operates a diversified portfolio of complementary natural gas-related energy assets. It also owns and operates and diversified portfolio of complementary natural gas-related energy assets. It operates in three key areas of the natural gas industry: gathering and processing, transmission and storage, and distribution. It also provide transmission and storage of natural gas to customers in various regions of the northeastern and southeastern U.S., the Maritime provinces in Canada, the Pacific Northwest in the U.S. and Canada, and in the province of Ontario, Canada. It also provides natural gas sales and distribution services to retail customers in Ontario, and natural gas gathering and processing services to customers in western Canada.",-1,5259,SE.N^B17,0.49684322
353,"Church & Dwight Co., Inc. develops, manufactures and markets a range of consumer household and personal care products and specialty products focused on animal and food production, chemicals and cleaners. Its consumer products are focused principally on the Company’s 13 power brands. It operates through three segments: Consumer Domestic, Consumer International and the Specialty Products Division (SPD). Consumer Domestic segment is engaged in providing household and personal care products. Its household products include laundry, deodorizing, and cleaning products, and personal care products include condoms, pregnancy kits, oral care products, skin care products, hair care products and gummy dietary supplements. Consumer International segment manufactures and sells personal care products to the Consumer Domestic segment. The SPD segment focuses on sales to businesses and participates in three product areas, animal and food production, specialty chemicals and specialty cleaners.",-1,353,CHD.N,0.49403793
168,"A. O. Smith Corporation is a provider of water heating and water treatment solutions. The Company operates through two segments: North America and Rest of World. The Rest of World segment is primarily comprised of China, Europe, and India. Both segments manufacture and market a range of residential and commercial gas and electric water heaters, boilers, tanks, and water treatment products. Both segments primarily manufacture and market in their respective regions of the world. The North America segment also manufactures expansion tanks, commercial solar water heating systems, swimming pool and spa heaters, related products, and parts. The Company's Lochinvar brand is a residential and commercial boiler brands in the United States. It sells its Aquasana branded products directly to consumers through e-commerce as well as on-line retailers. The Company’s water softener branded products and problem well water solutions include Hague, WaterBoss, Water-Right, WaterCare, and Evolve.",-1,168,AOS.N,0.4889933
485,"Xylem Inc. is a water technology company. The Company designs, manufactures and services engineered solutions across a range of critical applications. It is an equipment and service provider for water and wastewater applications with a portfolio of products and services addressing the cycle of water, from collection, distribution and use to the return of water to the environment. The Company operates through three segments: Water Infrastructure, Applied Water, and Measurement & Control Solutions. The Water Infrastructure segment focuses on the transportation and treatment of water, offering a range of products including water, wastewater and storm water pumps, treatment equipment, and controls and systems. The Applied Water segment serves the uses of water and focuses on the residential, commercial and industrial markets. The Measurement & Control Solutions segment develops advanced technology solutions that enables the use and conservation of critical water and energy resources.",-1,485,XYL.N,0.48298478
