Year,Sector,Total Return (%),Annualized Total Return (%),Annual Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Best Day (%),Worst Day (%),Beta,Alpha
2016,-1,11.884,11.884,15.786,0.714,0.971,-10.559,2.878,-5.056,1.158,-0.009
2017,-1,17.882,17.882,8.42,1.962,3.025,-4.252,1.587,-1.765,1.117,-0.025
2018,-1,-16.051,-16.051,16.608,-1.058,-1.321,-25.353,4.191,-3.812,0.934,-0.108
2019,-1,27.923,27.923,13.975,1.766,2.51,-8.9,3.566,-3.118,1.051,-0.019
2020,-1,2.836,2.836,41.114,0.068,0.087,-47.268,11.011,-15.036,1.118,-0.131
2021,-1,27.937,27.937,13.214,2.028,2.823,-6.464,2.44,-2.953,0.996,0.01
2016,0,15.316,15.316,28.832,0.496,0.687,-18.602,7.659,-6.635,1.287,0.008
2017,0,38.501,38.501,14.742,2.218,4.935,-6.82,9.276,-3.128,0.541,0.236
2018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,-5.998,-5.998,15.693,-0.396,-0.527,-13.084,2.391,-3.17,1.0,-0.168
2017,1,16.423,16.423,8.721,1.751,2.664,-5.466,1.548,-1.593,0.878,0.004
2018,1,-4.425,-4.425,17.344,-0.262,-0.34,-19.835,4.612,-4.291,0.956,0.024
2019,1,22.883,22.883,13.933,1.482,2.043,-7.724,3.208,-3.532,0.925,-0.028
2020,1,7.714,7.714,33.643,0.221,0.291,-37.348,7.964,-12.772,0.928,-0.058
2021,1,15.427,15.427,11.06,1.411,1.89,-8.79,1.912,-2.891,0.742,-0.04
2016,10,26.029,26.029,33.596,0.691,1.003,-15.126,7.696,-6.635,1.582,0.067
2017,10,-21.794,-21.794,21.172,-1.166,-1.558,-32.745,5.439,-5.277,1.103,-0.436
2018,10,-39.771,-39.771,27.149,-1.875,-2.362,-49.577,5.136,-4.877,0.979,-0.439
2019,10,3.371,3.371,30.474,0.109,0.147,-31.753,4.555,-6.881,1.382,-0.317
2020,10,-54.549,-54.549,82.861,-0.952,-1.176,-80.185,16.865,-40.467,1.719,-1.033
2021,10,17.663,17.663,36.5,0.485,0.655,-29.117,5.94,-6.529,1.152,-0.133
2016,11,8.365,8.365,17.336,0.465,0.638,-11.417,4.602,-4.772,1.13,-0.038
2017,11,34.896,34.896,10.199,2.947,4.684,-3.825,2.235,-2.02,1.051,0.123
2018,11,2.925,2.925,20.581,0.141,0.19,-21.19,4.746,-4.447,1.083,0.108
2019,11,48.331,48.331,15.921,2.481,3.608,-7.112,3.411,-4.239,1.041,0.132
2020,11,-1.285,-1.285,42.683,-0.03,-0.041,-43.665,12.142,-14.56,1.137,-0.175
2021,11,-5.066,-5.066,17.722,-0.319,-0.387,-17.109,2.868,-5.933,1.056,-0.36
2016,12,-2.533,-2.533,45.2,-0.057,-0.078,-30.626,8.222,-9.003,1.444,-0.178
2017,12,-14.631,-14.631,28.863,-0.55,-0.749,-44.7,6.672,-7.699,1.579,-0.429
2018,12,3.857,3.857,33.901,0.112,0.156,-26.482,9.613,-6.764,1.165,0.124
2019,12,-30.359,-30.359,37.869,-0.957,-1.252,-51.85,6.663,-8.872,1.528,-0.751
2020,12,-22.267,-22.267,83.202,-0.303,-0.383,-77.363,14.773,-38.817,1.383,-0.449
2021,12,46.565,46.565,40.122,1.036,1.357,-24.612,8.075,-10.17,1.492,0.031
2016,13,25.564,25.564,15.74,1.452,2.185,-7.61,3.585,-3.459,0.927,0.132
2017,13,20.206,20.206,13.287,1.391,2.072,-9.933,3.662,-2.686,1.158,-0.012
2018,13,-12.798,-12.798,20.508,-0.67,-0.872,-25.666,5.031,-4.28,0.968,-0.067
2019,13,12.284,12.284,19.343,0.6,0.829,-14.502,3.392,-3.77,1.119,-0.167
2020,13,26.606,26.606,32.155,0.734,1.005,-33.682,7.186,-10.97,0.82,0.119
2021,13,22.419,22.419,15.794,1.393,1.925,-13.2,3.16,-3.469,0.894,-0.013
2016,14,17.289,17.289,16.343,0.98,1.374,-10.44,3.082,-5.964,1.081,0.047
2017,14,14.83,14.83,9.892,1.404,2.099,-7.931,2.8,-2.522,0.897,-0.013
2018,14,-9.57,-9.57,17.133,-0.589,-0.748,-21.997,3.816,-4.051,0.821,-0.041
2019,14,29.182,29.182,13.833,1.855,2.591,-6.841,2.936,-3.304,0.911,0.026
2020,14,-14.396,-14.396,47.37,-0.328,-0.417,-51.565,11.983,-17.745,1.214,-0.328
2021,14,29.787,29.787,16.602,1.708,2.303,-10.745,3.835,-3.718,0.896,0.056
2016,15,20.638,20.638,16.598,1.135,1.612,-10.77,3.092,-5.098,1.082,0.075
2017,15,24.929,24.929,11.961,1.868,2.758,-7.398,2.147,-2.204,1.316,0.0
2018,15,-22.365,-22.365,20.875,-1.218,-1.513,-32.95,4.411,-5.752,1.01,-0.181
2019,15,42.569,42.569,19.883,1.787,2.643,-11.012,4.469,-4.228,1.28,0.032
2020,15,-0.808,-0.808,49.03,-0.017,-0.022,-52.932,14.419,-15.42,1.232,-0.183
2021,15,17.01,17.01,16.917,1.01,1.372,-14.087,3.816,-3.056,1.033,-0.106
2016,16,1.298,1.298,27.311,0.047,0.064,-22.639,6.466,-9.938,1.778,-0.174
2017,16,27.701,27.701,14.77,1.662,2.391,-7.945,2.703,-3.283,1.52,-0.013
2018,16,-30.923,-30.923,23.056,-1.611,-2.014,-43.063,4.774,-5.003,1.157,-0.288
2019,16,17.364,17.364,21.1,0.76,1.044,-20.214,3.797,-4.846,1.392,-0.192
2020,16,13.029,13.029,47.669,0.257,0.343,-48.1,10.355,-13.068,1.244,-0.055
2021,16,46.375,46.375,20.76,1.996,2.737,-10.604,4.354,-4.385,1.435,0.046
2016,17,7.53,7.53,21.507,0.339,0.462,-16.119,3.749,-5.731,1.015,-0.034
2017,17,28.064,28.064,16.088,1.544,2.475,-12.996,2.927,-2.225,1.349,0.02
2018,17,-0.754,-0.754,22.003,-0.035,-0.046,-18.78,4.469,-4.322,0.999,0.066
2019,17,32.499,32.499,18.429,1.53,2.298,-7.401,4.803,-3.366,0.987,0.032
2020,17,0.785,0.785,42.637,0.018,0.024,-41.755,10.697,-13.8,1.084,-0.146
2021,17,30.939,30.939,17.672,1.659,2.387,-10.575,3.961,-3.625,0.964,0.047
2016,19,13.928,13.928,16.464,0.795,1.057,-14.178,2.245,-4.176,0.488,0.08
2017,19,14.283,14.283,10.27,1.305,1.902,-7.842,2.196,-1.969,0.226,0.096
2018,19,6.02,6.02,15.365,0.382,0.51,-9.833,2.596,-4.437,0.265,0.078
2019,19,21.454,21.454,11.998,1.623,2.295,-6.128,2.196,-3.978,0.272,0.126
2020,19,-9.618,-9.618,39.019,-0.259,-0.344,-41.602,10.12,-14.318,0.958,-0.237
2021,19,9.94,9.94,13.684,0.753,0.985,-8.776,2.323,-2.974,0.452,-0.016
2016,20,26.102,26.102,34.381,0.677,0.978,-17.107,6.391,-7.085,1.756,0.049
2017,20,-9.007,-9.007,17.344,-0.546,-0.745,-24.106,2.839,-3.252,1.074,-0.278
2018,20,-25.067,-25.067,24.66,-1.175,-1.495,-35.507,6.869,-5.193,1.09,-0.211
2019,20,9.875,9.875,20.886,0.452,0.632,-20.074,4.143,-4.51,1.147,-0.196
2020,20,-48.372,-48.372,68.827,-0.961,-1.188,-71.991,13.173,-34.588,1.482,-0.872
2021,20,56.7,56.7,27.876,1.753,2.525,-18.38,4.545,-4.678,1.024,0.242
2016,22,19.359,19.359,16.687,1.065,1.569,-10.614,3.517,-4.406,1.012,0.072
2017,22,22.636,22.636,12.08,1.696,2.501,-5.881,3.121,-2.306,0.958,0.042
2018,22,1.841,1.841,17.46,0.105,0.142,-18.237,3.758,-4.385,0.847,0.08
2019,22,26.344,26.344,14.213,1.649,2.289,-9.494,3.169,-3.242,0.747,0.045
2020,22,9.224,9.224,37.095,0.238,0.315,-40.193,12.452,-13.182,0.976,-0.051
2021,22,20.575,20.575,13.963,1.458,2.043,-6.157,3.411,-3.128,0.803,-0.005
2016,23,-1.758,-1.758,18.727,-0.095,-0.128,-16.678,3.459,-5.077,0.95,-0.118
2017,23,9.44,9.44,16.267,0.557,0.786,-10.824,2.781,-3.056,0.914,-0.065
2018,23,-6.532,-6.532,21.656,-0.313,-0.423,-25.847,5.553,-4.061,0.932,0.0
2019,23,10.81,10.81,19.936,0.516,0.684,-22.185,3.14,-5.731,1.148,-0.188
2020,23,-14.219,-14.219,44.44,-0.345,-0.447,-52.182,10.868,-15.864,1.076,-0.306
2021,23,19.252,19.252,18.465,1.037,1.382,-13.74,3.063,-4.009,1.066,-0.093
2016,25,6.971,6.971,19.083,0.355,0.484,-11.88,2.859,-5.435,1.106,-0.049
2017,25,7.219,7.219,14.577,0.48,0.693,-19.284,3.372,-3.252,0.869,-0.078
2018,25,-10.299,-10.299,18.969,-0.575,-0.745,-19.695,3.411,-4.972,0.808,-0.05
2019,25,14.611,14.611,17.024,0.803,1.079,-15.366,3.256,-5.604,0.93,-0.099
