;Vanguard Consumer Discretion ETF (VCR);Vanguard Consumer Staples ETF (VDC);Vanguard Energy ETF (VDE);Vanguard Financials ETF (VFH);Vanguard Health Care ETF (VHT);Vanguard Industrials ETF (VIS);Vanguard Information Tech ETF (VGT);Vanguard Materials ETF (VAW);Vanguard REIT ETF (VNQ);Vanguard Communication Services ETF (VOX);Vanguard Utilities ETF (VPU)
04/01/2016;110.9396133;110.1430893;68.10211945;42.1684494;119.6766586;90.25530243;99.86928558;83.43843079;62.54825974;73.78324127;78.13988495
05/01/2016;110.7369003;110.7914963;68.34794617;42.32803345;120.2278366;90.37332153;99.39152527;83.40242004;63.75525665;74.56816864;78.69080353
06/01/2016;109.4561157;110.324646;65.69301605;41.74285889;118.9968262;88.99346161;98.04258728;81.35965729;63.58052826;74.24706268;78.58228302
07/01/2016;107.1709747;108.9067841;64.05417633;40.59910202;116.3693924;86.5151062;94.88569641;79.07391357;62.34181595;72.72177887;78.00631714
08/01/2016;105.9086456;108.0595169;63.24293137;39.95184326;114.6790085;85.37123871;94.07068634;78.21005249;61.5080452;72.15093994;77.97294617
11/01/2016;106.572052;108.9759521;61.80896378;40.0759697;113.0162048;85.53465271;94.5296936;77.11216736;61.85744095;72.48987579;78.44039154
12/01/2016;107.6501083;109.5724945;61.95645142;40.22670364;114.3207321;86.03394318;95.606987;77.21115112;61.4445076;72.07065582;77.93118286
13/01/2016;104.010498;107.6532059;60.66998291;39.17160797;110.7011337;83.87332153;92.92783356;75.4383316;60.56310272;70.58999634;77.78092194
14/01/2016;104.7107925;107.9990005;63.30850983;39.49966431;113.5306549;84.86286163;94.71707153;76.42823792;60.42016602;71.75848389;79.04138184
15/01/2016;102.6099243;106.3131485;61.51395798;38.67510223;111.9872894;83.29234314;91.89736176;74.93438721;60.00725555;70.28674316;78.28179169
19/01/2016;102.7757797;107.3419647;59.98984146;38.61302567;111.5095749;83.15616608;91.65381622;73.90853119;60.3249054;70.76837921;79.31684113
20/01/2016;101.983345;106.0364914;58.26085663;37.86824799;112.0423965;82.31187439;91.16667938;73.53056335;58.70500565;69.4928894;77.62232971
21/01/2016;103.1996307;106.5033493;60.13734818;37.74411774;111.463623;82.62055206;91.40088654;74.0435257;59.0305748;70.19754028;77.572258
22/01/2016;105.0885773;108.2324524;62.78407669;38.51549149;113.3377609;83.55561066;93.95827484;75.33036041;60.67427826;72.67717743;79.09981537
25/01/2016;103.7801285;107.2900772;59.79316711;37.66432953;112.3639374;82.36637115;92.57185364;72.86463928;60.29314423;72.4095993;78.25672913
26/01/2016;105.3926239;108.310257;62.18590164;38.40911102;113.108078;84.10936737;93.52733612;74.25946808;61.55569077;74.01514435;78.92453003
27/01/2016;103.844635;108.1632767;61.8335495;38.24064255;111.6381912;83.12895203;91.27912903;73.61157227;60.36458588;73.97945404;79.08312988
28/01/2016;104.8858566;109.2007294;63.79196548;38.2938385;108.8545685;83.51929474;92.29083252;73.81854248;59.90403366;73.99731445;80.39366913
29/01/2016;106.3601303;111.5868988;65.53733063;39.30461502;110.7103195;85.80699158;95.48521423;76.26624298;61.13482285;75.76338196;82.08818817
01/02/2016;106.9129715;111.8202896;64.21805573;39.15387726;111.0226593;85.61634064;95.71939087;76.32923126;61.23805618;76.00421906;82.9479599
02/02/2016;104.7937241;110.4197388;62.10395813;38.22291183;109.3231049;83.7462616;93.7802887;75.57333374;60.68222046;74.90711212;83.23177338
03/02/2016;104.4435577;110.2036057;64.43929291;38.24951553;109.8467331;84.8447113;93.56483459;77.75109863;61.08719254;75.79906464;84.30860138
04/02/2016;104.1118546;109.3649826;64.55402374;38.55983353;109.5160294;86.37892151;93.78965759;79.64985657;61.11896896;76.07558441;83.85781097
05/02/2016;100.7578506;109.1401978;63.17739105;37.99238205;107.155014;85.27138519;90.27675629;78.65098572;59.95962143;75.36201477;83.98305511
08/02/2016;98.63858795;108.8289795;62.96432495;37.06142044;105.2257767;84.37265015;88.64678955;76.68920135;58.24444199;73.93486786;83.73265839
09/02/2016;98.24239349;109.3563309;61.46479797;36.91068268;105.9331665;84.61774445;88.23460388;77.47210693;57.17247009;73.13207245;84.05815887
10/02/2016;98.27922821;109.3044815;61.12882996;36.81315994;106.8702164;84.36355591;88.63741302;76.88716888;57.56949234;73.11425781;83.99139404
11/02/2016;98.09494019;108.2324524;60.8584137;35.80239105;105.1798325;82.75672913;88.32826233;75.34836578;56.7516098;73.52457428;82.64745331
12/02/2016;100.0207138;109.8577805;62.42353058;37.09688187;106.6221695;84.48158264;89.62102509;77.48111725;57.40274429;74.53248596;82.3302536
16/02/2016;102.6007156;110.7482681;62.98073196;37.78845596;108.7994537;86.21549988;91.4852066;78.65098572;58.45884323;75.25495911;82.90624237
17/02/2016;104.9687881;111.9499969;64.9637146;38.24064255;110.508194;87.69525146;93.73343658;80.099823;58.959095;76.00421906;82.76434326
18/02/2016;104.2408371;111.4831238;64.34915924;38.05444336;109.5252075;87.64079285;93.1432724;79.70385742;59.55464935;76.37882996;84.02478027
19/02/2016;104.498848;111.7165527;64.03778839;38.11651611;109.6813889;87.42293549;93.51799774;78.92993927;59.89609528;75.70987701;83.49889374
22/02/2016;106.4707031;112.1747665;65.61108398;38.63962173;111.1145325;88.94804382;94.80136108;80.36978912;60.46780396;76.59289551;84.3503418
23/02/2016;106.0191956;112.1315308;63.44779587;38.02783966;110.1223526;88.1309967;93.19011688;78.53399658;60.30901337;76.52155304;84.37536621
24/02/2016;106.6457596;112.5292435;64.0623703;38.00125122;110.590889;88.28534698;94.08943176;79.5598526;60.2375412;77.53839874;84.84282684
25/02/2016;107.7699051;113.8779297;64.18527985;38.54209518;111.9137878;89.34748077;95.19483185;80.43276978;61.46834183;78.02897644;85.62747955
26/02/2016;107.8804779;112.4687347;64.66054535;38.75488663;111.8862076;89.6379776;95.10114288;81.49463654;61.1507225;78.32331848;83.31526184
29/02/2016;107.410553;112.0364456;64.08695984;38.30270767;110.1315231;89.12961578;94.55780029;81.22467804;60.91249847;78.76931;83.54895782
01/03/2016;110.1103287;113.0652466;65.42260742;39.57946014;112.5109253;90.9180069;97.42434692;83.09646606;62.62767792;79.64340973;83.22343445
02/03/2016;110.10112;113.4197159;67.30725861;40.00504684;112.896759;91.17220306;97.67726898;83.27645111;63.08029175;80.7762146;83.80774689
03/03/2016;110.9211807;114.0940781;68.67572021;40.31537628;112.6579132;91.8894043;97.71472931;83.87039948;63.41378403;80.73162842;84.27520752
04/03/2016;110.930397;114.6300812;69.6426239;40.43949509;112.4925537;92.32513428;98.01448822;84.70727539;63.42172241;80.66025543;85.18507385
07/03/2016;110.6816025;114.016243;71.50273895;40.46610641;113.5306549;92.68824768;97.48052979;85.83213806;63.58848953;81.19544983;85.63582611
08/03/2016;109.557457;114.3534241;67.8972702;39.8099823;111.9046021;91.30835724;96.50629425;83.97836304;62.9373436;80.74947357;86.33699799
09/03/2016;109.8983917;115.1747437;69.27389526;39.84545517;111.9413376;91.4717865;97.41496277;84.49130249;63.28674698;80.42835999;86.84619141
10/03/2016;109.9168243;115.0710068;69.10179901;39.81886292;111.8862076;91.33560944;97.19950867;85.00424194;63.05644989;80.33024597;86.90462494
11/03/2016;111.7412491;115.6156769;70.9536972;40.83848953;114.3115387;92.74272919;98.89508057;86.60604858;64.46988678;81.00812531;87.10495758
14/03/2016;112.1466751;115.5464706;70.36373138;40.67889404;113.9073257;92.79719543;98.93253326;86.08411407;64.47781372;80.76731873;87.1133194
15/03/2016;111.8794479;115.6675491;70.02775574;40.58135605;111.7300568;92.51578522;99.14798737;85.31021118;64.50959778;80.18753052;87.3219986
16/03/2016;112.8377457;115.9787598;71.49450684;40.59910202;111.4177017;93.29650116;100.2533646;86.8850174;65.28779602;80.80296326;88.13169861
17/03/2016;113.3537521;116.886528;72.64170837;41.08675003;110.1958389;95.25737762;100.806076;88.86480713;66.20888519;81.47193909;89.09164429
18/03/2016;113.5288162;116.7136459;72.66628265;41.44139481;111.7208786;96.0290451;101.1433182;88.96378326;65.92302704;81.32032013;88.51567078
21/03/2016;113.4945908;116.7778931;72.36490631;41.36226273;112.3439102;96.21421814;101.4225845;88.83821106;65.32802582;81.17682648;88.38708496
22/03/2016;113.1616364;115.9613953;72.10894012;41.28224182;113.6158371;95.94967651;101.544838;88.96469116;65.32802582;80.99744415;88.16017151
23/03/2016;112.1997299;115.8919144;70.15201569;40.90880966;112.5927811;95.18345642;100.7549896;87.69998169;64.97473145;80.32476807;88.63921356
24/03/2016;112.3477173;115.8397903;70.58964539;40.6954155;112.4729462;95.03751373;100.8960419;87.88063812;64.9988327;80.96156311;88.97537994
28/03/2016;112.9211426;116.2827759;70.25935364;40.83768463;112.2056656;95.11045837;100.6609268;88.21489716;65.5849762;81.01537323;88.74005127
29/03/2016;114.1790161;117.3598709;70.54012299;41.05996704;113.643486;95.94967651;102.3723145;88.94662476;67.0062027;82.95265961;90.19399261
30/03/2016;114.7894516;117.8723526;70.76304626;41.28224182;113.7080307;96.28716278;103.068161;89.38926697;66.87773132;83.17687225;89.94187927
31/03/2016;114.7432022;117.5422974;70.86211395;41.22001648;113.643486;95.96790314;102.9929199;88.69367218;67.28723907;83.15893555;90.3704834
01/04/2016;115.205658;118.9668655;69.73915863;41.48674393;115.1642532;96.23243713;103.7733841;89.44347382;67.19891357;84.05580902;90.78229523
04/04/2016;114.1790161;118.6367569;69.18595123;41.27334976;116.2610779;95.11045837;103.2280273;88.49492645;67.10256195;83.96613312;90.32845306
05/04/2016;113.18013;117.8549881;68.69051361;40.7131958;114.8969727;94.49936676;102.1560593;87.92581177;66.66094208;83.25759125;88.66442108
06/04/2016;114.3639984;118.7496872;70.30888367;40.93548584;118.1228714;94.95543671;103.2750015;88.73885345;66.82151031;83.41005707;88.58879089
07/04/2016;112.9488983;117.6552277;69.84650421;40.18861008;116.9246902;94.13448334;101.7892914;87.61864471;66.40398407;82.19029236;88.55517578
08/04/2016;112.8564224;118.2198257;71.48966217;40.35755539;116.3624496;94.70913696;101.8175125;88.41363525;66.77335358;82.39658356;89.01741028
11/04/2016;112.4864426;117.3946304;71.29149628;40.49980927;115.5513763;94.60879517;101.6106567;88.91952515;66.63685608;81.91228485;88.74005127
12/04/2016;113.3465958;118.0982361;73.78513336;41.03328705;116.4546356;95.33852386;102.0808258;89.97647858;67.1186142;82.40556335;89.31996918
13/04/2016;115.10392;117.3772583;73.99980927;41.89574051;117.6528244;96.9074173;103.6793365;91.15087128;66.82151031;82.52214813;88.84931183
14/04/2016;114.9744415;116.8039627;74.0741272;41.94908905;117.9108582;96.86182404;103.5289078;91.04244995;66.45217896;82.57595825;88.69803619
15/04/2016;115.2889099;117.5770493;73.12454987;41.88684464;117.8002701;97.02603149;103.0117264;91.52127075;66.94999695;82.88986206;89.30315399
18/04/2016;116.186058;117.9592438;74.33834839;42.1624794;118.9431763;97.29053497;103.5383072;91.97294617;67.27118683;83.39212799;89.63091278
19/04/2016;115.7421036;118.1416168;75.98975372;42.55369949;119.0906296;97.80136108;102.8989029;93.72550201;67.30332184;83.97509766;89.81581879
20/04/2016;115.8530884;116.7171097;76.74940491;42.87378311;119.8187561;97.72837067;103.1527939;93.53577423;66.16310883;83.90333557;88.04251862
21/04/2016;115.3813934;114.7105865;76.32004547;42.43811798;120.5653152;97.34527588;103.0775528;93.1563797;64.98278046;82.2351532;85.8574295
22/04/2016;115.2519073;115.2925644;77.61639404;42.82933807;121.0261688;97.70100403;101.5354309;93.81583405;65.68936157;83.17687225;86.61380005
25/04/2016;115.2334213;115.978775;76.59252167;42.74930954;120.4547195;96.93478394;101.3379745;93.07506561;66.23537445;83.1140976;86.78187561
