Year,Sector,Total Return (%),Annualized Total Return (%),Annual Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Best Day (%),Worst Day (%),Beta,Alpha
2016,Vanguard Communication Services ETF (VOX),24.541,24.541,15.429,1.425,2.112,-13.57,3.471,-3.382,0.863,0.109
2017,Vanguard Communication Services ETF (VOX),-8.487,-8.487,13.375,-0.666,-0.875,-17.955,2.605,-2.454,0.862,-0.255
2018,Vanguard Communication Services ETF (VOX),-17.184,-17.184,19.006,-0.996,-1.295,-24.586,5.278,-5.108,0.908,-0.141
2019,Vanguard Communication Services ETF (VOX),26.372,26.372,14.966,1.567,2.317,-10.221,4.063,-3.249,1.024,-0.045
2020,Vanguard Communication Services ETF (VOX),27.639,27.639,33.13,0.737,0.981,-33.082,8.384,-12.126,0.903,0.1
2021,Vanguard Communication Services ETF (VOX),22.852,22.852,14.885,1.504,2.008,-7.166,2.883,-3.402,1.08,-0.075
2016,Vanguard Consumer Discretion ETF (VCR),8.62,8.62,14.596,0.568,0.78,-11.682,2.547,-3.708,1.018,-0.049
2017,Vanguard Consumer Discretion ETF (VCR),22.264,22.264,8.03,2.513,3.772,-4.127,1.444,-1.712,0.948,0.021
2018,Vanguard Consumer Discretion ETF (VCR),-3.599,-3.599,19.434,-0.189,-0.253,-23.33,5.945,-4.011,1.058,0.02
2019,Vanguard Consumer Discretion ETF (VCR),26.516,26.516,14.388,1.638,2.375,-9.264,3.456,-3.221,1.061,-0.054
2020,Vanguard Consumer Discretion ETF (VCR),46.618,46.618,35.744,1.071,1.4,-39.595,8.81,-13.963,0.963,0.229
2021,Vanguard Consumer Discretion ETF (VCR),31.725,31.725,15.505,1.933,2.555,-8.564,3.132,-3.662,1.132,-0.008
2016,Vanguard Consumer Staples ETF (VDC),7.686,7.686,11.508,0.645,0.886,-8.955,2.314,-2.793,0.621,-0.006
2017,Vanguard Consumer Staples ETF (VDC),11.479,11.479,7.428,1.469,2.23,-7.145,1.481,-1.317,0.52,0.01
